n,r_g,p,p.adj,Trait1,Trait2
bi_a_b,0.48,0.00990863641719919,0.653970003535147,a,b
bi_a_L,-0.63,0.00030106136941277,0.0198700503812428,a,L
bi_a_Len,-0.066,0.717184949399413,1,a,Len
bi_a_Shape,0.016,0.924311705602834,1,a,Shape
bi_a_TotalFrtCt,0.21,0.326673650270848,1,a,TotalFrtCt
bi_a_TotalWtKg,-0.17,0.518151621117689,1,a,TotalWtKg
bi_a_Width,-0.12,0.507330154507455,1,a,Width
bi_a_WT,-0.23,0.19958771197732,1,a,WT
bi_a_Y3,-0.056,0.841162255270327,1,a,Y3
bi_b_Len,0.024,0.901789087441524,1,b,Len
bi_b_Shape,0.014,0.939541021267627,1,b,Shape
bi_b_TotalFrtCt,0.067,0.759695368094622,1,b,TotalFrtCt
bi_b_TotalWtKg,0.011,0.965920428767893,1,b,TotalWtKg
bi_b_Width,0.032,0.857431822026167,1,b,Width
bi_b_WT,-0.069,0.70664469595487,1,b,WT
bi_b_Y3,0.36,0.181187062639222,1,b,Y3
bi_Brix_a,0.24,0.283330381535526,1,Brix,a
bi_Brix_b,0.58,0.00763189692943778,0.503705197342893,Brix,b
bi_Brix_DM,0.93,7.38328747029726e-08,4.87296973039619e-06,Brix,DM
bi_Brix_L,-0.16,0.482422218994405,1,Brix,L
bi_Brix_Len,-0.22,0.351783446197531,1,Brix,Len
bi_Brix_Shape,-0.28,0.174854659204874,1,Brix,Shape
bi_Brix_TotalFrtCt,-0.26,0.309543269561247,1,Brix,TotalFrtCt
bi_Brix_TotalWtKg,-0.4,0.208608223215296,1,Brix,TotalWtKg
bi_Brix_Width,0.18,0.388225275299309,1,Brix,Width
bi_Brix_WT,0.21,0.325561209583948,1,Brix,WT
bi_Brix_Y3,0.11,0.737012293899012,1,Brix,Y3
bi_DM_a,0.32,0.117571771475202,1,DM,a
bi_DM_b,0.64,0.00120492026151431,0.0795247372599444,DM,b
bi_DM_L,-0.12,0.576213466940037,1,DM,L
bi_DM_Len,-0.04,0.848741675080971,1,DM,Len
bi_DM_Shape,-0.046,0.815349044282041,1,DM,Shape
bi_DM_TotalFrtCt,-0.035,0.881477560935221,1,DM,TotalFrtCt
bi_DM_TotalWtKg,-0.24,0.380915605340323,1,DM,TotalWtKg
bi_DM_Width,0.042,0.830110728093959,1,DM,Width
bi_DM_WT,0.067,0.736299999273296,1,DM,WT
bi_DM_Y3,0.23,0.416648550607518,1,DM,Y3
bi_L_b,-0.34,0.0824978071404929,1,L,b
bi_L_Len,0.29,0.109682767880281,1,L,Len
bi_L_Shape,0.082,0.64532695126653,1,L,Shape
bi_L_TotalFrtCt,-0.035,0.874743565369849,1,L,TotalFrtCt
bi_L_TotalWtKg,0.26,0.295677278988938,1,L,TotalWtKg
bi_L_Width,0.3,0.098099281680096,1,L,Width
bi_L_WT,0.41,0.0210652386536774,1,L,WT
bi_L_Y3,0.15,0.56038546890693,1,L,Y3
bi_Len_Shape,0.77,2.16406448316775e-10,1.42828255889071e-08,Len,Shape
bi_Len_TotalFrtCt,-0.3,0.147344269971309,1,Len,TotalFrtCt
bi_Len_TotalWtKg,0.13,0.613095458033211,1,Len,TotalWtKg
bi_Len_Width,0.36,0.0157524070398707,1,Len,Width
bi_Len_WT,0.52,0.000423111473003779,0.0279253572182494,Len,WT
bi_Len_Y3,-0.049,0.856232351039775,1,Len,Y3
bi_Shape_TotalFrtCt,0.16,0.440198241603181,1,Shape,TotalFrtCt
bi_Shape_TotalWtKg,-0.1,0.668780282684146,1,Shape,TotalWtKg
bi_Shape_Y3,-0.22,0.385196458216261,1,Shape,Y3
bi_TotalFrtCt_TotalWtKg,0.45,0.0659227393146364,1,TotalFrtCt,TotalWtKg
bi_TotalFrtCt_Y3,0.42,0.117495593348611,1,TotalFrtCt,Y3
bi_TotalWtKg_Y3,0.88,0.00525160620811549,0.346606009735622,TotalWtKg,Y3
bi_Width_Shape,-0.32,0.0292104492017293,1,Width,Shape
bi_Width_TotalFrtCt,-0.59,0.00161011882541084,0.106267842477116,Width,TotalFrtCt
bi_Width_TotalWtKg,0.34,0.147421441644025,1,Width,TotalWtKg
bi_Width_WT,0.91,0,0,Width,WT
bi_Width_Y3,0.29,0.239269196187408,1,Width,Y3
bi_WT_Shape,-0.11,0.478078058770094,1,WT,Shape
bi_WT_TotalFrtCt,-0.69,0.000196411269961838,0.0129631438174813,WT,TotalFrtCt
bi_WT_TotalWtKg,0.25,0.280061801167751,1,WT,TotalWtKg
bi_WT_Y3,0.21,0.390226124777196,1,WT,Y3
