Year,Site,Block,Pop,Plot,Gid,Weight,Length,Width,Brix,DM,L,a,b,Index
2017,B,1,Amber,1,17-185_1B,849.55,16.92,9.75,12.7,16.18,68.23,22.95,74.39,11.49
2017,B,1,Bugle,1,17-184_1B,496.84,13.7,8,8.68,13.25,76.21,11.69,66.39,6.93
2017,B,1,C4,1,17-182_1-1B,545.21,12.94,8.46,10.86,15.69,69.34,22.95,73.63,11.99
2017,B,1,C4,2,17-182_1-2B,432.7,12.77,7.71,11.9,17.09,68.71,24.58,74.44,12.85
2017,B,1,Honeynut,1,17-183_1B,320.4,12.25,7,13.82,16.06,67.38,23.21,69.92,11.14
2017,B,2,Amber,1,17-185_2B,786.06,16.25,9.31,12.35,15.97,67.84,24.21,75.22,12.1
2017,B,2,Bugle,1,17-184_2B,832.27,16.3,9.75,10.47,15.9,72.56,18.79,77.55,10.39
2017,B,2,C4,1,17-182_2-1B,577.27,12.7,8.98,12.08,17.93,69.95,23.57,73.53,12.66
2017,B,2,C4,2,17-182_2-2B,494.14,12.16,8.56,11.23,16.16,69.85,22.1,70.92,11.66
2017,B,2,Honeynut,1,17-183_2B,369.67,11.44,7.72,14.71,17.23,66.42,25.96,69.68,12.46
2017,B,3,Amber,1,17-185_3B,841.65,17.05,9.95,11.93,17.07,67.88,25.65,74.79,13.3
2017,B,3,Bugle,1,17-184_3B,611.12,14.69,9.25,9.45,13.28,73.63,15.49,70.29,8.32
2017,B,3,C4,1,17-182_3-1B,548.04,12.78,8.63,11.69,16.15,69.02,23.1,71.03,11.92
2017,B,3,C4,2,17-182_3-2B,624.92,12.31,9.38,12.95,20.74,68.11,26.76,74.18,14.8
2017,B,3,Honeynut,1,17-183_3B,438.12,12.65,8.2,12.8,16.64,66.82,25.7,68.88,12.84
2017,E,1,Amber,1,17-185_1E1,616.25,16.25,9.25,7.9,9.36,65.87,22.27,66.61,10.4
2017,E,1,Amber,1,17-185_1E2,549.65,15.25,8,10.8,12.96,67.59,22.78,69.81,10.9
2017,E,1,Amber,1,17-185_1E3,656.65,16.75,8.75,9.75,10.79,67.63,23.02,66.96,10.58
2017,E,1,Amber,1,17-185_1E4,676.65,16,9.25,8.1,9.6,64.87,26.53,68.83,12.29
2017,E,1,Amber,1,17-185_1E5,684.3,16,9,7.1,8.74,69.56,20.73,61.13,9.79
2017,E,1,Bugle,1,17-184_1,509.5,14.5,8,9.7,12.07,66.13,24.55,72.46,11.76
2017,E,1,Bugle,1,17-184_1E1,548.55,15,8.75,7.8,10.68,68.82,21.41,69.81,10.56
2017,E,1,Bugle,1,17-184_1E2,733,16.75,9.5,10.5,13.65,67.84,23.66,76.46,11.67
2017,E,1,Bugle,1,17-184_1E3,699.35,16,9.25,7.95,10.66,67.74,19.5,71.44,9.65
2017,E,1,Bugle,1,17-184_1E4,568.2,14.5,8.5,9.2,11.08,67.54,23.42,69.85,11.07
2017,E,1,Bugle,1,17-184_1E5,567.65,17,8.25,9.75,13.25,66.34,25.4,74.31,12.56
2017,E,1,Bugle,1,17-184_2,375.7,14.75,8,10.45,12.91,65.2,25.9,73.45,12.39
2017,E,1,Bugle,1,17-184_3,427.2,14.5,7.75,9.3,11.08,66.98,24.1,73.83,11.34
2017,E,1,Bugle,1,17-184_4,382.05,14.25,7.75,9.7,12.1,66.87,23.89,75.27,11.48
2017,E,1,C4,1,17-182_1,471,13.5,8,13.5,18.72,62.21,32.14,68.87,16.21
2017,E,1,C4,1,17-182_2,307.67,11.33,7,9.73,11.31,64.16,26.03,66.6,12.11
2017,E,1,C4,1,17-182_3,394.5,11.5,8.17,11.47,14.01,62.77,29.25,70.07,13.9
2017,E,1,C4,1,17-182_4,450.2,14.33,8.5,9.93,11.66,63.23,27.89,68.7,12.99
2017,E,1,C4,1,17-182_5,191.43,9.83,6,12.33,16.6,62.15,30.8,71,15.24
2017,E,1,C4,1,17-182_6,491.25,13.25,7.75,12.05,15.65,64.1,25.52,72.92,12.67
2017,E,1,C4,2,17-182_1,314.6,12,7.5,13,17.43,65.13,28.1,72.14,14.12
2017,E,1,C4,2,17-182_2,423.03,13.5,8,12.83,16.67,65.06,28.15,73.36,13.92
2017,E,1,C4,2,17-182_3,503.2,12.67,8.67,11.2,15.14,62.77,31.68,74.28,15.5
2017,E,1,C4,2,17-182_4,441.85,14,8.5,10.6,13.56,62.69,30.35,69.43,14.54
2017,E,1,C4,2,17-182_5,574.87,13.17,9.33,10.87,12.45,64.5,28.5,69.02,13.21
2017,E,1,C4,2,17-182_6,588.4,14,9,11.7,13.18,62.7,29.53,73.54,13.62
2017,E,1,C4,2,17-182_7,327.03,11,7.5,10.57,12.46,66.39,26.92,71.7,12.63
2017,E,1,Honeynut,1,17-183_1,335.37,11.33,8,6.97,7.65,69.61,20.02,55.17,9.11
2017,E,1,Honeynut,1,17-183_1E1,390.3,12.75,7.75,9.2,9.12,67.64,21.68,61.45,9.56
2017,E,1,Honeynut,1,17-183_1E2,338.05,11.25,7.75,9.35,10.68,67.03,22.24,63.56,10.35
2017,E,1,Honeynut,1,17-183_1E3,326.85,11.5,7.5,9.4,10.96,66.77,23.75,64.64,11.1
2017,E,1,Honeynut,1,17-183_2,295.9,11.25,7.5,7.1,7.74,71.08,19.17,55.02,8.72
2017,E,1,Honeynut,1,17-183_3,167.5,10,6.5,7.1,8.24,67.37,21.26,55.71,9.83
2017,E,1,Honeynut,1,17-183_4,445.15,12.25,8.25,9.9,10.44,68.18,23.21,60.11,10.48
2017,E,2,Amber,1,17-185_2E1,578.4,15,9,9.9,11.36,64.09,25.96,73.08,12.03
2017,E,2,Amber,1,17-185_2E2,722.7,16.5,9,10.15,12.21,64.07,27.15,71.21,12.79
2017,E,2,Amber,1,17-185_2E3,597.75,15.5,8.25,10.55,11.48,62.56,28.97,72.82,13.16
2017,E,2,Amber,1,17-185_2E4,558.3,15.25,8.25,9.65,10.98,64.84,24.81,70.79,11.48
2017,E,2,Amber,1,17-185_2E5,440.8,14,8.25,8.5,9.97,64.91,24.72,70.61,11.48
2017,E,2,C4,1,17-182_1,285.63,11,7,12.03,15.41,63.19,28.63,70.39,13.95
2017,E,2,C4,1,17-182_2,409.87,12.67,7.5,11.77,14.67,62.51,28.42,72.05,13.67
2017,E,2,C4,1,17-182_3,481.63,12.17,8.33,12.03,16,63.54,29.4,74.7,14.51
2017,E,2,C4,1,17-182_4,404.3,13.5,7.5,13.65,17.64,61.39,29.74,73.12,14.68
2017,E,2,C4,1,17-182_5,475.9,11.5,8.5,13.6,16.94,65.04,28.43,70.32,13.85
2017,E,2,C4,1,17-182_6,453.9,13,8.5,10.8,14.47,62.29,29.13,72.42,14.27
2017,E,2,C4,1,17-182_7,444.85,11.25,8.25,13,16.07,64.7,27.67,72.1,13.41
2017,E,2,C4,2,17-182_1,626.6,13.67,9.33,12.87,15.85,62.41,29,71.51,13.97
2017,E,2,C4,2,17-182_2,280.85,10.75,7.25,11.65,14.5,62.22,30.6,71.31,14.62
2017,E,2,C4,2,17-182_3,463.75,12.5,8,11.6,13.34,60.39,29.33,65.39,13.63
2017,E,2,C4,2,17-182_4,548.53,16.17,8.83,12.77,17.03,62.5,27.15,72.8,13.63
2017,E,2,C4,2,17-182_5,496.33,13.5,8.33,11.23,15.63,65.86,26.21,74.53,13.27
2017,E,2,C4,2,17-182_6,494.05,12.5,8.25,11.1,14.12,63.04,29.24,72.54,14.08
2017,E,2,C4,2,17-182_7,479.93,12.67,8.17,11.53,16.48,64.68,27.89,74.45,14.22
2017,E,2,Honeynut,1,17-183_2E1,398.97,12.17,8.5,9.7,11.26,64.73,23.01,64.62,10.77
2017,E,2,Honeynut,1,17-183_2E2,203.83,10.5,6.5,11.03,12.55,64.69,24.56,64.33,11.45
2017,E,2,Honeynut,1,17-183_2E3,231.85,10.75,6.75,11.85,14.01,62.06,30.07,68.46,14.12
2017,E,2,Honeynut,1,17-183_2E4,292.1,11.5,8,11.3,12.6,65.65,22.17,62.16,10.31
2017,E,3,Amber,1,17-185_3E1,475.1,13.75,8.75,8.55,8.84,65.44,22.55,68.04,10.08
2017,E,3,Amber,1,17-185_3E2,488.05,15,8.75,9.85,11.34,63.11,26.44,68.33,12.26
2017,E,3,Amber,1,17-185_3E3,589.3,15.5,8.75,8.1,10.64,64.38,24.65,69.51,11.86
2017,E,3,Amber,1,17-185_3E4,460.2,13.5,8.5,11.2,13.33,62.88,27.37,68.24,12.92
2017,E,3,Amber,1,17-185_3E5,544.9,15.5,8.25,10.3,13.82,63.44,25.41,71.49,12.58
2017,E,3,Bugle,1,17-184_3E1,692.95,16.5,8.75,11.05,13.16,68.3,23.28,74.66,11.11
2017,E,3,Bugle,1,17-184_3E2,603.95,16.25,8.75,9.6,12.77,68.33,22.34,72.14,11.09
2017,E,3,Bugle,1,17-184_3E3,645.25,14.75,9.25,10.45,13.59,67.3,24.66,73.64,12.1
2017,E,3,Bugle,1,17-184_3E4,671.65,17.25,8.75,10.9,13.26,67.3,23.84,72.82,11.45
2017,E,3,Bugle,1,17-184_3E5,810.8,17.25,9.25,10.9,14.6,67.99,24.76,73.95,12.36
2017,E,3,C4,1,17-182_1,421.8,14.17,8.17,9.97,10.94,64.19,26.29,68.65,12
2017,E,3,C4,1,17-182_2,480.07,12.83,7.83,11.03,12.98,63.59,28.63,70.68,13.4
2017,E,3,C4,1,17-182_3,438.33,12.83,8.33,10.33,11.7,64.27,22.91,68.49,10.66
2017,E,3,C4,1,17-182_4,512.27,12.33,8.33,11.53,13.76,63.6,28.69,74.23,13.54
2017,E,3,C4,1,17-182_5,424.73,12.5,8.17,10.9,13.24,59.29,29.22,68.35,13.81
2017,E,3,C4,1,17-182_6,378.3,11,7.5,10.7,12.53,62.74,27.78,68.32,12.98
2017,E,3,C4,1,17-182_7,676,15.83,8.67,11.5,15.3,62.59,28.07,72.32,13.86
2017,E,3,C4,2,17-182_1,788.6,15.33,9.33,11.6,15.12,64.46,28.35,76.11,13.88
2017,E,3,C4,2,17-182_2,311,11.5,7.33,11.8,13.57,62.92,24.99,68.2,11.73
2017,E,3,C4,2,17-182_3,520.8,13,9.5,13.7,16.71,63.35,27.32,71.84,13.24
2017,E,3,C4,2,17-182_4,402.95,10.75,8,11.8,14.51,62.69,28.89,70.55,13.81
2017,E,3,C4,2,17-182_5,532.35,15,8.75,10.1,11.77,64.04,25.08,69.98,11.73
2017,E,3,C4,2,17-182_6,399.9,13.75,7.5,13.15,15.17,61.51,29.98,71.04,14.03
2017,E,3,C4,2,17-182_7,569.4,11.75,8.75,11.75,13.68,64.45,27.54,69.63,12.92
2017,E,3,Honeynut,1,17-183_3E1,364.8,11.75,8,8.55,8.26,67.78,22.56,64.58,9.87
2017,E,3,Honeynut,1,17-183_3E2,421,12.25,8,10.65,11.08,64.95,25.21,69.01,11.31
2017,E,3,Honeynut,1,17-183_3E3,416.6,12.75,8.5,8.3,7.96,66.78,21.43,63.45,9.35
2017,E,3,Honeynut,1,17-183_3E4,327.1,11.25,7.75,5.75,7.18,69.9,20.64,61.35,9.66
2017,E,3,Honeynut,1,17-183_3E5,336.9,12.5,7.75,7.75,7.28,68.18,19.95,59.82,8.65
2017,E,4,Amber,1,17-185_4E1,446.1,14.25,8.25,8.9,9.21,64.74,25.86,68.08,11.55
2017,E,4,Amber,1,17-185_4E2,598.35,16.25,8.75,11,11.8,63.45,27.44,69.71,12.44
2017,E,4,Amber,1,17-185_4E3,609.05,16.5,9,10.8,11.76,63.01,27.66,70.78,12.6
2017,E,4,Amber,1,17-185_4E4,495.6,14.25,8.75,6.9,7.36,67.9,21.3,64.9,9.59
2017,E,4,Amber,1,17-185_4E5,703.85,16.25,9.5,8.85,10.36,63.52,24.91,67.81,11.58
2017,E,4,Bugle,1,17-184_4E1,718.1,16.5,9.25,11.6,15.9,68.32,24.94,77.95,12.67
2017,E,4,Bugle,1,17-184_4E2,631.05,14.5,9,10,14.15,68.57,22.86,77.11,11.69
2017,E,4,Bugle,1,17-184_4E3,554.3,14,8.5,10.3,13,65.95,26.43,76.31,12.72
2017,E,4,Bugle,1,17-184_4E4,627.9,15,9.25,8.45,11.22,67.63,22.72,73.35,11.1
2017,E,4,Bugle,1,17-184_4E5,615.25,15.75,8.75,7.2,9.2,68.7,21.49,72.5,10.26
2017,E,4,C4,1,17-182_1,242.3,10,7,10.8,12.58,61.05,26.09,68.8,12.22
2017,E,4,C4,1,17-182_2,403.73,11.5,8,11.43,16.9,66.85,24.76,74.33,13.03
2017,E,4,C4,1,17-182_3,232.05,8.5,6.75,11.75,20.35,68.63,27.89,77.59,15.6
