Year,Site,Block,Pop,Plot,Weight,Length,Width,Brix,DM,L,a,b,Index,Cycle,Type
2017,B,1,C0,1,550.14,14.64,8.57,11.75,15.08,67.83,23.04,70.87,11.47,1,1
2017,B,1,C0,2,574.01,14.82,8.58,10.86,13.39,69.13,22.13,69.32,10.76,1,1
2017,B,1,C1,1,566.34,14.52,8.78,11.78,15.1,67.33,23.81,71.8,11.8,2,1
2017,B,1,C1,2,563.37,15.02,8.89,11.62,15.04,68.26,23.31,71.78,11.62,2,1
2017,B,1,C2,1,631.35,14.94,9.17,11.48,14.09,68.52,22.01,73.03,10.74,3,1
2017,B,1,C2,2,533.7,13.85,8.9,11.04,14.93,70.16,20.5,72.01,10.56,3,1
2017,B,1,C4,1,545.21,12.94,8.46,10.86,15.69,69.34,22.95,73.63,11.99,5,1
2017,B,1,C4,2,432.7,12.77,7.71,11.9,17.09,68.71,24.58,74.44,12.85,5,1
2017,B,2,C0,1,694.75,14.82,9.18,10.66,14.09,70.15,20.37,71.46,10.32,1,1
2017,B,2,C0,2,725.25,15.42,9.38,10.68,13.15,69.32,21.28,70.43,10.36,1,1
2017,B,2,C1,1,642.04,15,9.12,11.94,14.3,69.33,22.53,71.52,10.87,2,1
2017,B,2,C1,2,640.71,15.1,8.73,11.78,16.1,68.29,23.96,73.19,12.25,2,1
2017,B,2,C2,1,651.07,15.7,9.07,12.03,15.58,68.09,24.44,71.91,12.17,3,1
2017,B,2,C2,2,589.28,15.08,8.38,12.16,17.08,68.19,24.41,73.38,12.68,3,1
2017,B,2,C4,1,577.27,12.7,8.98,12.08,17.93,69.95,23.57,73.53,12.66,5,1
2017,B,2,C4,2,494.14,12.16,8.56,11.23,16.16,69.85,22.1,70.92,11.66,5,1
2017,B,3,C0,1,604.77,14.38,9.15,9.93,13.81,68.27,22.68,69.62,11.51,1,1
2017,B,3,C0,2,820.42,15.35,9.88,11.5,15.6,69.8,21.32,70.6,11,1,1
2017,B,3,C1,1,708.31,14.61,9.61,11.45,15.89,69.28,22.51,71.69,11.65,2,1
2017,B,3,C1,2,589.06,14.86,8.93,12.1,17.14,68.65,23.23,71.35,12.2,2,1
2017,B,3,C2,1,569.87,14.79,8.76,11.8,17.12,67.45,23.47,71,12.41,3,1
2017,B,3,C2,2,534.66,13.93,8.53,12.27,16.58,66.51,25.38,71.02,12.87,3,1
2017,B,3,C4,1,548.04,12.78,8.63,11.69,16.15,69.02,23.1,71.03,11.92,5,1
