FruitID,Weight,Length,Width,X,Y,Z,CWD_date,FruitID,Brix,Brix_date,FruitID,DM,DM_date
GS1_1.01,573,14,8.5,50.769,41.557,4.376,4,GS1_1.01,13.3,4,GS1_1.01,17.8723404255319,4
GS1_1.02,242.6,10.5,7.5,51.295,44.105,6.21,4,GS1_1.02,10.7,4,GS1_1.02,15.46875,4
GS1_1.03,466.7,16,7.5,51.305,42.179,4.146,4,GS1_1.03,12.8,4,GS1_1.03,20.3533568904594,4
GS1_1.04,373.9,12,8,48.184,39.519,4.527,4,GS1_1.04,12,4,GS1_1.04,15.9604519774011,4
GS1_1.05,316.1,12.5,7.5,51.848,43.194,4.414,4,GS1_1.05,13,4,GS1_1.05,22.6720647773279,4
GS1_1.06,443.6,14,7.5,50.227,40.377,4.708,4,GS1_1.06,12.8,4,GS1_1.06,17.5591531755915,4
GS1_10.01,723.3,16.5,9.5,54.552,47.78,7.053,2,GS1_10.01,12.3,3,GS1_10.01,15.2788388082506,2
GS1_10.02,725.1,18,9.5,51.804,45.677,6.296,2,GS1_10.02,9.4,3,GS1_10.02,13.741935483871,2
GS1_10.03,676.9,17,9.5,54.067,47.522,7.442,2,GS1_10.03,11.3,3,GS1_10.03,12.6288659793814,2
GS1_10.04,823.3,18.5,10,54.07,47.556,6.72,2,GS1_10.04,10.7,3,GS1_10.04,12.3234916559692,2
GS1_10.05,675.8,16,9.5,52.681,46.052,6.84,2,GS1_10.05,11.5,3,GS1_10.05,13.6629798308393,2
GS1_10.06,951.3,15.5,11,55.183,48.714,8.285,2,GS1_10.06,10.6,3,GS1_10.06,11.3753213367609,2
GS1_100.01,624.3,18,8.5,49.217,40.546,4.804,10,GS1_100.01,10.5,10,GS1_100.01,13.2978723404255,10
GS1_100.02,524.4,15,8.5,46.673,37.94,4.766,10,GS1_100.02,11.1,9,GS1_100.02,12.3065015479876,10
GS1_100.03,711,17,9.5,48.2,39.63,4.501,10,GS1_100.03,12.7,9,GS1_100.03,13.8966480446927,10
GS1_100.04,929.4,17.5,10.5,49.379,39.928,5.364,10,GS1_100.04,13.5,9,GS1_100.04,15.2014652014652,10
GS1_100.05,593.5,15,9,52.986,44.881,5.979,10,GS1_100.05,13.2,9,GS1_100.05,13.730255164034,10
GS1_100.06,763.3,19,10,50.642,42.758,5.916,10,GS1_100.06,10.3,9,GS1_100.06,12.7272727272727,10
GS1_101.01,928.7,16,10,50.808,42,5.342,9,GS1_101.01,13.2,7,GS1_101.01,16.5184243964422,9
GS1_101.02,605.5,14.5,9,47.851,39.581,4.93,9,GS1_101.02,12.4,7,GS1_101.02,16.1103047895501,9
GS1_101.03,1080.2,20,10.5,48.963,40.737,5.675,9,GS1_101.03,14.1,7,GS1_101.03,15.3846153846154,9
GS1_101.04,753.5,15,10,48.261,39.792,5.462,9,GS1_101.04,14.1,7,GS1_101.04,16.764514024788,9
GS1_101.05,931.3,19,11,47.354,38.449,4.087,9,GS1_101.05,14,7,GS1_101.05,15.9943382873319,9
GS1_101.06,925.2,17,10,51.699,42.939,6.053,9,GS1_101.06,13.8,7,GS1_101.06,15.1034482758621,9
GS1_102.01,777.4,15,10,51.538,45.38,6.793,2,GS1_102.01,12.8,2,GS1_102.01,14.7807637906648,2
GS1_102.02,1040.9,17,10,54.369,48.163,6.212,2,GS1_102.02,11.8,2,GS1_102.02,16.412213740458,2
GS1_102.03,788.1,15,10.5,49.094,41.918,4.784,2,GS1_102.03,12.1,2,GS1_102.03,14.6187775677379,2
GS1_102.04,366.1,13,8,48.836,40.992,4.631,2,GS1_102.04,13.3,2,GS1_102.04,20.8191126279863,2
GS1_102.05,884.3,17,10.5,52.19,45.03,5.208,2,GS1_102.05,12.3,2,GS1_102.05,14.8883374689826,2
GS1_102.06,701.2,16,9.5,49.507,42.821,4.643,2,GS1_102.06,13.2,2,GS1_102.06,16.6555183946488,2
GS1_103.01,983.9,16.5,11.5,51.162,43.334,6.673,4,GS1_103.01,12.7,4,GS1_103.01,18.1992337164751,4
GS1_103.02,946,17,10.5,49.665,40.996,5.345,4,GS1_103.02,11.4,4,GS1_103.02,13.324080499653,4
GS1_103.03,669.3,17,9,55.36,47.344,7.56,4,GS1_103.03,11.4,4,GS1_103.03,14.2153413089374,4
GS1_103.04,787.8,16.5,9.5,49.199,40.729,5.565,4,GS1_103.04,12.4,4,GS1_103.04,15.6375838926174,4
GS1_103.05,611.7,15,9,54.619,46.067,6.877,4,GS1_103.05,13.1,4,GS1_103.05,14.8906139731828,4
GS1_103.06,740.4,16.5,9,48.502,39.196,5.107,4,GS1_103.06,11.5,4,GS1_103.06,15.3261557948068,4
GS1_104.01,608.5,17,10,48.704,40.142,5.315,9,GS1_104.01,14.5,10,GS1_104.01,16.8016194331984,9
GS1_104.02,476.8,14,8.5,51.318,43.176,6.779,9,GS1_104.02,11.8,7,GS1_104.02,14.680710994075,9
GS1_104.03,530.2,15,8.5,52.855,44.364,7.225,9,GS1_104.03,10.9,7,GS1_104.03,12.4129195693477,9
GS1_104.04,764.5,17.5,10,47.153,38.024,6.306,9,GS1_104.04,11.8,7,GS1_104.04,13.7029955385596,9
