FruitID,Brix,Brix_date
GS1_84.06,14,5
GS1_85.03,10.6,5
GS1_44.04,11.1,5
GS1_27.04,11.7,5
GS1_19.05,8.6,5
GS1_8.01,11.4,5
GS1_6.02,10,5
GS1_199.05,12.2,5
GS1_27.02,12.5,5
GS1_89.04,13,5
GS1_171.03,10.2,5
GS1_89.01,14,5
GS1_84.03,13,5
GS1_89.06,13,5
GS1_199.04,11.2,5
GS1_82.04,11.5,5
GS1_99.05,9.3,5
GS1_171.01,12,5
GS1_82.01,12.1,5
GS1_7.01,11.2,5
GS1_85.02,13.3,5
GS1_6.01,11,5
GS1_64.03,12.9,5
GS1_6.05,11,5
GS1_27.01,14.3,5
GS1_111.05,11.2,5
GS1_171.02,11.9,5
GS1_171.05,13,5
GS1_32.02,12.7,5
GS1_167.04,13.1,5
GS1_133.04,11.5,5
GS1_133.03,11.3,5
GS1_167.01,11.4,5
GS1_190.06,11.4,5
GS1_8.06,10.5,5
GS1_8.03,11.2,5
GS1_8.05,10.5,5
GS1_190.01,12.3,5
GS1_134.05,11.3,5
GS1_7.05,13,5
GS1_27.06,11.3,5
GS1_19.02,10.4,5
GS1_6.03,11.8,5
GS1_19.03,9.5,5
GS1_99.01,12.8,5
GS1_111.01,11.2,5
GS1_111.06,11.1,5
GS1_32.06,11.6,5
GS1_199.06,12.8,5
GS1_171.06,12.7,5
GS1_6.04,10.1,5
GS1_44.06,9.8,5
GS1_7.02,10.3,5
GS1_190.05,11.6,5
GS1_85.06,11.1,5
GS1_199.03,14.6,5
GS1_84.05,13.4,5
GS1_82.05,13.1,5
GS1_44.01,12.6,5
GS1_162.06,13.8,5
GS1_162.04,10.9,5
GS1_32.04,11.2,5
GS1_64.01,11.2,5
GS1_8.04,9.9,5
GS1_167.02,12.9,5
GS1_8.02,11.7,5
GS1_89.02,13.6,5
GS1_32.05,8.8,5
GS1_84.02,10.3,5
GS1_167.03,12.7,5
GS1_171.04,13.4,5
GS1_7.01,11.8,5
GS1_32.03,11.7,5
GS1_32.01,12.1,5
GS1_167.06,11.9,5
GS1_162.02,13.8,5
GS1_44.05,11.9,5
GS1_134.06,11.4,5
GS1_111.04,10.3,5
GS1_111.03,11.4,5
GS1_133.02,12.4,5
GS1_85.05,12.3,5
GS1_64.04,12,5
GS1_167.05,13.4,5
GS1_99.02,12.3,5
GS1_64.05,12.5,5
GS1_162.01,9,5
GS1_85.01,12.7,5
GS1_133.05,11.4,5
GS1_19.01,12.5,5
GS1_199.01,12.4,5
GS1_84.04,13.6,5
GS1_134.04,13.1,5
GS1_64.02,11.4,5
GS1_6.06,12.5,5
GS1_99.04,12,5
GS1_190.04,12.8,5
GS1_84.01,12.2,5
GS1_89.03,13.3,5
GS1_162.03,10,5
GS1_7.04,11.4,5
GS1_99.06,10.6,5
GS1_133.01,10.3,5
GS1_162.05,13.2,5
GS1_19.06,12.4,5
GS1_190.02,10.8,5
GS1_44.02,12.8,5
GS1_44.03,10.8,5
GS1_82.03,9.6,5
GS1_7.06,13.3,5
GS1_27.05,11,5
GS1_134.03,14.2,5
GS1_64.06,8,5
GS1_99.03,11.5,5
GS1_162.06,14.1,5
GS1_82.02,13.1,5
GS1_7.02,12.3,5
GS1_19.04,13.8,5
GS1_89.05,13.4,5
GS1_134.01,12.8,5
GS1_111.02,11.8,5
GS1_199.02,11.7,5
GS1_190.03,11.8,5
GS1_82.06,12.2,5
GS1_85.04,13,5
GS1_7.03,9.3,5
GS1_133.06,11.4,5
GS1_134.02,12.2,5
GS1_7.03,11.4,5
GS1_27.03,9.2,5
GS1_78.04,12.2,1
GS1_155.01,14,1
GS1_166.03,12.6,1
GS1_78.02,10.6,1
GS1_24.01,10,1
GS1_29.05,8.8,1
GS1_112.06,10.8,1
GS1_77.01,11.2,1
GS1_29.02,10.7,1
GS1_84.03,12.9,1
GS1_180.5,11.1,1
GS1_14.05,11.6,1
GS1_180.3,10.3,1
GS1_84.01,9.9,1
GS1_29.03,12.7,1
GS1_84.04,12.3,1
GS1_84.02,13.2,1
GS1_125.05,10.8,1
GS1_105.01,12.3,1
GS1_160.5,11.7,1
GS1_155.04,13.8,1
GS1_180.6,10.8,1
GS1_154.05,11.2,1
GS1_180.2,10,1
GS1_24.06,12.8,1
GS1_78.05,11,1
GS1_24.05,14.1,1
GS1_155.02,13.1,1
GS1_84.05,12.5,1
GS1_155.05,11.2,1
GS1_78.01,11.4,1
GS1_78.03,12.1,1
GS1_126.06,11.2,1
GS1_51.02,11.4,1
GS1_24.02,10.2,1
GS1_126.01,9.6,1
GS1_139.01,9.2,1
GS1_166.06,12.4,1
GS1_62.04,12.7,1
GS1_62.05,11.3,1
GS1_126.04,9.8,1
GS1_139.02,10.6,1
GS1_154.04,9.7,1
GS1_80.06,10.7,1
GS1_184.01,10.7,1
GS1_62.02,9.5,1
GS1_184.06,11,1
GS1_139.04,10.6,1
GS1_166.05,9.4,1
GS1_139.03,10.2,1
GS1_77.06,11.8,1
GS1_51.03,11.9,1
GS1_154.02,9.1,1
GS1_90.04,12.1,1
GS1_90.02,13.3,1
GS1_51.06,10.3,1
GS1_14.02,11.4,1
GS1_166.02,11.6,1
GS1_90.06,13.3,1
GS1_14.01,10,1
GS1_62.01,11.3,1
GS1_139.05,10.9,1
GS1_135.02,12.1,1
GS1_126.05,12.8,1
GS1_112.01,9.9,1
GS1_24.04,14.8,1
GS1_112.04,11.5,1
GS1_62.06,11.7,1
GS1_80.05,10.7,1
GS1_80.02,9.3,1
GS1_30.02,7.5,1
GS1_135.05,10.5,1
GS1_80.03,10.9,1
GS1_78.06,11.3,1
GS1_125.04,10.7,1
GS1_14.03,11.3,1
GS1_180.4,10.8,1
GS1_105.03,12.9,1
GS1_154.06,10.7,1
GS1_80.04,11.5,1
GS1_135.06,11.6,1
GS1_154.01,7.5,1
GS1_135.03,10.6,1
GS1_90.05,10.8,1
GS1_90.01,12,1
GS1_77.03,14.2,1
GS1_105.02,11.1,1
GS1_51.04,11.6,1
GS1_166.04,12,1
GS1_139.06,11.4,1
GS1_166.01,12,1
GS1_14.04,12.8,1
GS1_135.01,12.3,1
GS1_14.06,10.5,1
GS1_29.04,13.4,1
GS1_62.03,11.2,1
GS1_105.06,11.7,1
GS1_160.1,10.1,1
GS1_51.05,11.4,1
GS1_184.03,10.5,1
