FruitID,Dry,Dry_date
GS1_90.05,2.35,1
GS1_139.03,1.99,1
GS1_160.5,2.49,1
GS1_24.06,2.23,1
GS1_160.4,2.05,1
GS1_24.04,2.47,1
GS1_24.02,2.52,1
GS1_30.02,2.58,1
GS1_90.06,1.99,1
GS1_139.06,1.91,1
GS1_30.06,2.33,1
GS1_24.03,2.18,1
GS1_90.04,2.12,1
GS1_90.03,2.08,1
GS1_139.05,2.28,1
GS1_90.01,2.45,1
GS1_139.01,1.75,1
GS1_139.04,1.81,1
GS1_90.02,2.49,1
GS1_30.03,1.9,1
GS1_139.02,1.99,1
GS1_30.01,2.24,1
GS1_184.02,1.95,1
GS1_105.01,2.35,1
GS1_30.05,1.97,1
GS1_184.01,1.8,1
GS1_30.04,2.68,1
GS1_112.06,2.07,1
GS1_24.01,2.33,1
GS1_112.01,2.23,1
GS1_105.02,1.76,1
GS1_184.03,2.78,1
GS1_24.05,2.22,1
GS1_84.06,3,1
GS1_105.05,2.37,1
GS1_105.03,2.45,1
GS1_105.04,2.36,1
GS1_112.05,1.95,1
GS1_112.02,2,1
GS1_125.05,2.82,1
GS1_125.04,2.46,1
GS1_51.04,2.12,1
GS1_51.02,2.52,1
GS1_112.04,2.41,1
GS1_51.06,2.39,1
GS1_51.05,2.65,1
GS1_184.05,2.09,1
GS1_184.04,2.79,1
GS1_51.01,2.27,1
GS1_125.06,2.08,1
GS1_112.03,2.03,1
GS1_105.06,2.27,1
GS1_51.03,2.46,1
GS1_125.01,1.93,1
GS1_184.06,2.09,1
GS1_125.03,2.2,1
GS1_125.02,2.02,1
GS1_166.04,1.93,1
GS1_154.05,2.28,1
GS1_166.03,2.47,1
GS1_126.05,3.05,1
GS1_154.01,1.67,1
GS1_126.03,2.74,1
GS1_166.05,2.54,1
GS1_126.02,2.36,1
GS1_154.04,1.86,1
GS1_126.06,2.35,1
GS1_77.02,1.74,1
GS1_126.01,1.73,1
GS1_77.03,2.76,1
GS1_126.04,1.83,1
GS1_154.06,2.03,1
GS1_77.05,2.3,1
GS1_154.03,1.53,1
GS1_154.02,1.74,1
GS1_166.06,2.12,1
GS1_166.02,3.23,1
GS1_77.01,2.21,1
GS1_166.01,2.84,1
GS1_80.02,1.65,1
GS1_77.04,2.48,1
GS1_77.06,2.72,1
GS1_135.05,2.09,1
GS1_135.02,2.62,1
GS1_80.01,2.71,1
GS1_80.03,2.54,1
GS1_135.06,2.16,1
GS1_135.04,2.11,1
GS1_135.03,2.18,1
GS1_80.04,2.52,1
GS1_135.01,2.75,1
GS1_80.05,2.8,1
GS1_80.06,1.88,1
GS1_131.03,1.74,2
GS1_131.02,2.67,2
GS1_131.05,2.1,2
GS1_131.06,1.77,2
GS1_177.02,2.26,2
GS1_178.05,2.46,2
GS1_131.04,1.98,2
GS1_178.01,2.1,2
GS1_178.06,1.89,2
GS1_178.02,2.74,2
GS1_131.01,2.26,2
GS1_177.03,2.04,2
GS1_177.06,2.62,2
GS1_177.05,2.7,2
GS1_177.04,3.02,2
GS1_178.04,1.9,2
GS1_178.03,2.34,2
GS1_107.02,1.89,2
GS1_107.03,1.71,2
GS1_176.05,2.42,2
GS1_117.01,2.25,2
GS1_176.01,2.49,2
GS1_107.01,2.25,2
GS1_176.04,2.2,2
GS1_107.04,2.19,2
GS1_176.02,2.47,2
GS1_176.06,2.32,2
GS1_107.05,1.71,2
GS1_176.03,2.23,2
GS1_117.05,2.48,2
GS1_117.06,2.36,2
GS1_117.02,2.55,2
GS1_117.03,2.19,2
GS1_117.04,2.02,2
GS1_102.02,2.58,2
GS1_179.04,3.05,2
GS1_179.02,2.89,2
GS1_102.01,2.09,2
GS1_179.03,2.44,2
GS1_102.06,2.49,2
GS1_179.06,3.53,2
GS1_179.05,3.28,2
GS1_179.01,2.36,2
GS1_102.04,3.05,2
GS1_102.05,2.4,2
GS1_102.03,2.32,2
GS1_186.04,2.19,2
GS1_107.06,1.75,2
GS1_186.01,1.85,2
GS1_186.02,2.24,2
GS1_186.03,2.22,2
GS1_186.06,2.23,2
GS1_186.05,2.49,2
GS1_84.01,2.32,2
GS1_160.1,1.97,2
GS1_160.2,1.95,2
GS1_155.04,3.04,2
