Gid,MrkFruitCount,MrkWeightKg,UnmrkFruitCount,UnmrkWeightKg,ProcessDate,TotalFruitCount,TotalWeightKg
GS1_1,23,8.74,1,0.43,NA,24,9.17
GS1_2,11,10.16,7,5.88,NA,18,16.04
GS1_3,10,5.71,1,0.21,NA,11,5.92
GS1_4,20,13.89,2,0.82,NA,22,14.71
GS1_5,16,11.68,1,0.75,NA,17,12.43
GS1_6,17,11.65,3,2.18,NA,20,13.83
GS1_7,22,14.58,4,2.26,NA,26,16.84
GS1_8,13,13.14,3,3.17,NA,16,16.31
GS1_9,9,4.92,13,6.84,NA,22,11.76
GS1_10,16,12.31,12,7.36,NA,28,19.67
GS1_11,6,4.28,6,4.81,NA,12,9.09
GS1_12,14,9.94,2,1.21,NA,16,11.15
GS1_13,5,3.65,9,6.4,NA,14,10.05
GS1_14,11,10.01,4,1.82,NA,15,11.83
GS1_15,9,5.81,2,1.22,NA,11,7.03
GS1_16,18,11.05,6,3.23,NA,24,14.28
GS1_17,17,11.35,0,0,NA,17,11.35
GS1_18,21,13.61,0,0,NA,21,13.61
GS1_19,16,11.09,0,0,NA,16,11.09
GS1_20,14,10.78,0,0,NA,14,10.78
GS1_21,6,5.74,6,5.25,NA,12,10.99
GS1_22,22,13.12,3,2.16,NA,25,15.28
GS1_23,10,9.25,3,2.11,NA,13,11.36
GS1_24,7,9.17,4,4.3,NA,11,13.47
GS1_25,7,5.44,3,1.62,NA,10,7.06
GS1_26,16,9.43,0,0,NA,16,9.43
GS1_27,8,6.69,5,3.57,NA,13,10.26
GS1_28,1,0.69,14,10.33,NA,15,11.02
GS1_29,14,8.48,0,0,NA,14,8.48
GS1_30,18,13.32,0,0,NA,18,13.32
GS1_31,12,5.78,7,3.04,NA,19,8.82
GS1_32,17,11.5,1,0.68,NA,18,12.18
GS1_33,13,9.24,0,0,NA,13,9.24
GS1_34,11,8.44,2,1.31,NA,13,9.75
GS1_35,18,9.46,1,0.36,11/10/14,19,9.82
GS1_36,11,6.67,0,0,11/10/14,11,6.67
GS1_37,6,3.39,1,0.3,11/10/14,7,3.69
GS1_38,10,7.67,1,0.74,11/10/14,11,8.41
GS1_39,7,2.86,4,1.53,11/10/14,11,4.39
GS1_40,12,5.53,3,1,11/10/14,15,6.53
GS1_41,29,16.72,4,1.36,11/10/14,33,18.08
GS1_42,24,11.8,15,6.65,11/10/14,39,18.45
GS1_43,10,7.65,16,11.3,11/10/14,26,18.95
GS1_44,11,8.16,0,0,11/10/14,11,8.16
GS1_45,16,11.7,1,0.75,11/10/14,17,12.45
GS1_46,15,9.5,4,2.14,11/10/14,19,11.64
GS1_47,13,7.63,0,0,11/10/14,13,7.63
GS1_48,8,6.1,1,0.82,11/10/14,9,6.92
GS1_49,6,4.54,0,0,11/10/14,6,4.54
GS1_50,15,6.97,5,1.44,11/10/14,20,8.41
GS1_51,14,8.45,3,1.79,11/10/14,17,10.24
GS1_52,10,8.36,1,0.23,11/10/14,11,8.59
GS1_53,12,9.32,0,0,11/10/14,12,9.32
GS1_54,13,9.17,6,3.9,11/10/14,19,13.07
GS1_55,14,5.63,2,0.96,11/10/14,16,6.59
GS1_56,21,14.05,2,1.38,11/10/14,23,15.43
GS1_57,10,7.76,1,0.45,11/10/14,11,8.21
GS1_58,12,6.42,8,3.45,11/10/14,20,9.87
GS1_59,19,11.54,0,0,11/10/14,19,11.54
GS1_60,11,8.58,0,0,11/10/14,11,8.58
GS1_61,9,9.03,2,1.78,11/10/14,11,10.81
GS1_62,8,6.27,3,2.56,11/10/14,11,8.83
GS1_63,6,6.54,4,4.02,11/10/14,10,10.56
GS1_64,11,14.63,3,1.75,11/10/14,14,16.38
GS1_65,9,5.91,4,2.44,11/10/14,13,8.35
GS1_66,14,10.87,4,2.09,11/10/14,18,12.96
GS1_67,6,5.55,7,6.82,11/10/14,13,12.37
GS1_68,16,10.2,0,0,11/10/14,16,10.2
GS1_69,14,11.65,1,0.37,11/10/14,15,12.02
GS1_70,17,14.56,1,0.57,11/10/14,18,15.13
GS1_71,12,6.09,5,2.06,11/10/14,17,8.15
GS1_72,11,6.55,7,3.22,11/10/14,18,9.77
GS1_73,9,6.15,5,4.29,11/10/14,14,10.44
GS1_74,11,7.93,7,4.32,11/10/14,18,12.25
GS1_75,14,9.96,0,0,11/10/14,14,9.96
GS1_76,23,12.71,5,2.98,11/10/14,28,15.69
GS1_77,7,7.67,2,1.23,11/10/14,9,8.9
GS1_78,22,16.34,0,0,11/10/14,22,16.34
GS1_79,12,6.75,7,3.53,11/10/14,19,10.28
GS1_80,14,8.92,2,1.18,11/10/14,16,10.1
GS1_81,13,9.14,0,0,11/10/14,13,9.14
GS1_82,19,10.5,0,0,11/10/14,19,10.5
GS1_83,17,9.09,0,0,11/10/14,17,9.09
GS1_84,26,20.03,3,2.62,11/10/14,29,22.65
