FruitID,Brix
GS3.1_42.06,10.2
GS3.1_120.02,11.4
GS3.1_63.05,11.5
GS3.1_174.01,11
GS3.1_65.06,12.3
GS3.1_63.06,10.4
GS3.1_120.03,11.7
GS3.1_139.03,10.9
GS3.1_4.06,10.6
GS3.1_65.05,10
GS3.1_6.05,10.3
GS3.1_63.01,11.2
GS3.1_6.06,9.5
GS3.1_6.03,10.5
GS3.1_47.02,8.8
GS3.1_148.03,7.2
GS3.1_136.05,10.8
GS3.1_42.02,10.4
GS3.1_65.01,7.3
GS3.1_174.04,11.1
GS3.1_174.02,10.8
GS3.1_42.01,11
GS3.1_182.06,9.7
GS3.1_120.06,8.7
GS3.1_4.01,11.7
GS3.1_182.02,7.6
GS3.1_148.05,6.7
GS3.1_120.01,13.3
GS3.1_150.02,8.9
GS3.1_163.01,11
GS3.1_122.02,10.5
GS3.1_122.03,11.2
GS3.1_6.02,9.9
GS3.1_174.05,10.5
GS3.1_63.03,10.1
GS3.1_6.04,8.7
GS3.1_6.01,10.4
GS3.1_41.04,9.1
GS3.1_136.02,10.6
GS3.1_182.03,10.9
GS3.1_65.04,9.2
GS3.1_139.05,11.6
GS3.1_63.04,10.4
GS3.1_47.03,9.7
GS3.1_122.01,12.1
GS3.1_182.05,8.3
GS3.1_120.04,12.4
GS3.1_41.03,9.4
GS3.1_122.05,11
GS3.1_148.02,8.5
GS3.1_120.05,11.3
GS3.1_42.05,10.1
GS3.1_122.04,11.6
GS3.1_84.04,10.5
GS3.1_4.05,11.2
GS3.1_139.04,11.1
GS3.1_4.02,12
GS3.1_65.02,10
GS3.1_4.03,12.9
GS3.1_122.06,10.3
GS3.1_26.03,9.5
GS3.1_63.02,10.8
GS3.1_41.01,9.7
GS3.1_42.04,12.1
GS3.1_4.04,11.4
GS3.1_148.04,6.4
GS3.1_182.04,12.4
GS3.1_182.01,9.9
GS3.1_139.02,11.1
GS3.1_136.01,10.2
GS3.1_139.01,10.8
GS3.1_148.06,6.7
GS3.1_148.01,7
GS3.1_65.03,10.5
GS3.1_174.03,10
GS3.1_42.03,11.4
GS3.1_29.03,7.1
GS3.1_89.03,9.8
GS3.1_34.01,8.5
GS3.1_163.06,11.2
GS3.1_28.03,12.4
GS3.1_29.06,8.5
GS3.1_29.02,8.8
GS3.1_29.04,8.9
GS3.1_136.04,12.1
GS3.1_41.02,8.6
GS3.1_136.03,10.3
GS3.1_136.06,10.3
GS3.1_47.01,9.4
GS3.1_52.04,10.6
GS3.1_78.06,9.3
GS3.1_52.03,11.2
GS3.1_84.03,10.1
GS3.1_52.05,10.8
GS3.1_84.06,10.5
GS3.1_146.03,12.3
GS3.1_82.03,11.9
GS3.1_82.02,12
GS3.1_82.06,9.9
GS3.1_26.06,10.7
GS3.1_34.03,8.7
GS3.1_165.04,11.1
GS3.1_146.06,11.7
GS3.1_82.04,11.2
GS3.1_70.04,7.4
GS3.1_161.01,11.1
GS3.1_146.04,11.1
GS3.1_52.01,10.7
GS3.1_84.05,11.2
GS3.1_52.02,10.5
GS3.1_26.02,10.8
GS3.1_71.03,14.2
GS3.1_157.01,12.1
GS3.1_146.01,12.6
GS3.1_161.05,11.8
GS3.1_78.01,10.6
GS3.1_70.05,9
GS3.1_150.06,12.5
GS3.1_150.04,11.6
GS3.1_84.01,10
GS3.1_19.02,11.7
GS3.1_89.02,12.1
GS3.1_150.03,10
GS3.1_70.06,8.6
GS3.1_70.03,10.6
GS3.1_165.02,10.1
GS3.1_19.03,9.3
GS3.1_78.04,10.6
GS3.1_161.02,11
GS3.1_34.05,10.4
GS3.1_28.01,10.7
GS3.1_89.01,11.7
GS3.1_29.05,10.3
GS3.1_71.04,13.5
GS3.1_34.04,8.7
GS3.1_19.04,11.2
GS3.1_165.01,10.2
GS3.1_78.02,11.7
GS3.1_150.01,12
GS3.1_29.01,9.5
GS3.1_19.01,11.9
GS3.1_34.02,9.4
GS3.1_26.01,10.5
GS3.1_28.04,12.5
GS3.1_161.03,11.9
GS3.1_150.05,11.7
GS3.1_71.05,14.4
GS3.1_71.02,12.9
GS3.1_84.02,9.9
GS3.1_163.03,12.4
GS3.1_163.02,12.2
GS3.1_146.05,12.2
GS3.1_78.05,10.6
GS3.1_28.02,11.8
GS3.1_70.01,10.3
GS3.1_28.05,11.5
GS3.1_157.02,11.6
GS3.1_78.03,11
GS3.1_34.06,10.5
GS3.1_19.05,11.3
GS3.1_161.06,11.1
GS3.1_26.05,11
GS3.1_163.05,12
GS3.1_163.04,12.2
GS3.1_71.01,13
GS3.1_165.03,10.9
GS3.1_161.04,10
GS3.1_82.05,11
GS3.1_26.04,10.7
GS3.1_70.02,9.1
GS3.1_82.01,10.9
GS3.1_180.06,11.5
GS3.1_104.03,15.6
GS3.1_167.04,11.1
GS3.1_49.04,4.4
GS3.1_110.05,11.1
GS3.1_110.03,11.7
GS3.1_184.02,12.2
GS3.1_188.03,10.7
GS3.1_184.05,12
GS3.1_188.01,9.5
GS3.1_2.05,10.7
GS3.1_12.01,7.8
GS3.1_54.04,12.2
GS3.1_188.02,10.1
GS3.1_13.01,10.8
GS3.1_184.04,11.3
GS3.1_2.03,12.1
GS3.1_13.02,12.5
GS3.1_49.01,10
GS3.1_180.02,11.2
GS3.1_180.04,11.6
GS3.1_184.03,12.7
GS3.1_167.05,11
GS3.1_167.01,10.2
GS3.1_49.02,9.6
GS3.1_186.01,9.4
GS3.1_49.03,9.5
GS3.1_2.06,11.8
GS3.1_186.04,9.9
GS3.1_186.06,10.3
GS3.1_186.02,9.2
GS3.1_180.05,11.1
GS3.1_110.04,11.9
GS3.1_2.01,10.5
GS3.1_188.06,8.9
GS3.1_190.4,11.8
GS3.1_190.3,11.2
GS3.1_167.03,10
GS3.1_180.01,10.8
GS3.1_184.06,13.2
GS3.1_101.04,10.9
GS3.1_190.2,11.6
GS3.1_54.05,11.7
GS3.1_13.03,12.5
GS3.1_104.04,11.3
GS3.1_167.06,11.3
GS3.1_101.02,9.7
GS3.1_13.04,13.4
GS3.1_101.06,8.7
GS3.1_13.05,12.9
GS3.1_2.04,11
GS3.1_104.01,12.2
GS3.1_104.06,13.3
GS3.1_101.05,11
GS3.1_188.05,8.5
GS3.1_180.03,11.9
GS3.1_101.03,10.3
GS3.1_12.04,8.4
GS3.1_12.03,9.2
GS3.1_104.05,11.1
GS3.1_12.02,9.5
GS3.1_167.02,11
GS3.1_110.02,13.6
GS3.1_2.02,12.1
GS3.1_101.01,10.4
GS3.1_110.06,11.8
GS3.1_104.02,12.4
GS3.1_184.01,12.4
GS3.1_186.03,10.1
GS3.1_188.04,10.3
GS3.1_54.06,10.9
GS3.1_13.06,13.8
GS3.1_186.05,11.3
GS3.1_110.01,11.5
GS3.1_190.1,11.6
GS3.1_45.03,13.7
GS3.1_54.01,11.1
GS3.1_54.03,11
GS3.1_94.02,9.8
GS3.1_145.02,10.9
GS3.1_36.03,11.4
GS3.1_37.03,10.2
GS3.1_94.03,10.3
GS3.1_134.04,11.5
GS3.1_39.02,8.8
GS3.1_149.01,12.5
GS3.1_1.04,9.7
GS3.1_95.02,10.6
GS3.1_113.03,11.7
GS3.1_127.02,11.5
GS3.1_90.01,10.1
GS3.1_3.06,10
GS3.1_43.02,9.8
GS3.1_3.04,10.1
GS3.1_112.06,11
GS3.1_38.02,12.4
GS3.1_145.05,10.2
GS3.1_45.01,12.9
GS3.1_36.06,11.6
GS3.1_99.02,12.7
GS3.1_145.04,11.5
GS3.1_45.04,12.1
GS3.1_38.04,12.4
GS3.1_112.02,11.6
GS3.1_9.04,10.7
GS3.1_112.04,11.7
GS3.1_99.01,11
GS3.1_149.02,13.1
GS3.1_43.03,9.5
GS3.1_3.05,9.5
GS3.1_88.03,11.3
GS3.1_3.03,10.2
GS3.1_145.03,8.4
GS3.1_38.03,12.1
GS3.1_43.01,10.7
GS3.1_9.03,11.3
GS3.1_149.06,12
GS3.1_127.01,11.9
GS3.1_145.01,8.8
GS3.1_3.01,9.7
GS3.1_112.03,9.4
GS3.1_88.04,11.5
GS3.1_1.02,10.8
GS3.1_99.03,9.7
GS3.1_9.01,10.5
GS3.1_88.06,11
GS3.1_45.05,12.5
GS3.1_36.04,12.7
GS3.1_1.01,9.7
GS3.1_145.06,10
GS3.1_88.01,11.7
GS3.1_113.04,11.5
GS3.1_113.01,10.7
GS3.1_112.01,9.9
GS3.1_112.05,11.9
GS3.1_9.02,10.3
GS3.1_36.05,11.9
GS3.1_113.05,10.9
GS3.1_37.01,9.8
GS3.1_1.03,9.2
GS3.1_88.05,11.8
GS3.1_94.01,10.9
GS3.1_36.02,12
GS3.1_134.03,10.9
GS3.1_39.01,9.6
GS3.1_127.03,11.1
GS3.1_99.04,10.5
GS3.1_88.02,10.9
GS3.1_37.02,9.9
GS3.1_149.05,12
GS3.1_54.02,12.3
GS3.1_38.01,12.3
GS3.1_113.02,10.9
GS3.1_134.02,10.6
GS3.1_149.04,11.2
GS3.1_113.06,11.4
GS3.1_39.03,10.1
GS3.1_36.01,12.1
GS3.1_90.02,9.2
GS3.1_3.02,8.4
GS3.1_149.03,12
GS3.1_134.01,10.5
GS3.1_45.02,11.7
GS3.1_39.04,11.7
GS3.1_95.01,10.6
GS3.1_22.03,11.7
GS3.1_44.03,10.6
GS3.1_177.01,11.1
GS3.1_92.02,8.7
GS3.1_153.06,11.2
GS3.1_103.02,8.6
GS3.1_177.04,12
GS3.1_152.03,11.7
GS3.1_50.04,12.5
GS3.1_85.06,11.3
GS3.1_177.05,11.9
GS3.1_44.02,12.1
GS3.1_74.05,12.3
GS3.1_76.02,11.6
GS3.1_76.04,11.3
GS3.1_75.01,10.7
GS3.1_177.03,12.7
GS3.1_50.01,11.9
GS3.1 33.06,12.4
GS3.1_175.01,10.9
GS3.1_74.02,11.6
GS3.1_151.02,12.2
GS3.1_144.06,11.6
GS3.1_159.02,9.5
GS3.1_177.06,12.1
GS3.1_151.05,12.3
GS3.1_33.01,11.8
GS3.1_33.04,11.1
GS3.1_33.02,12.2
GS3.1_144.04,11.2
GS3.1_151.06,11.4
