FruitID,Weight,Length,Width,X,Y,Z
GS3.1_9.01,1046.8,16,10.5,40.117,33.928,4.292
GS3.1_9.02,940.6,15.5,10,37.89,32.574,4.219
GS3.1_9.03,849,14.5,9.5,39.27,33.621,4.794
GS3.1_9.04,818.3,15.5,9.5,36.831,32.351,4.461
GS3.1_174.01,727,17,9.5,36.74,31.676,3.407
GS3.1_174.02,849.4,18,10.5,37.068,32.015,3.79
GS3.1_174.03,874.9,17,10,37.27,31.831,3.631
GS3.1_174.04,595.6,17,9.5,36.138,30.718,3.278
GS3.1_174.05,726.3,17,9,37.399,32.051,3.362
GS3.1_41.01,870.6,15,10.5,40.67,35.263,5.631
GS3.1_41.02,982.7,16.5,11,40.422,34.989,4.797
GS3.1_41.03,1094.3,17.5,11,42.831,37.298,5.939
GS3.1_41.04,835.4,14.5,10.5,42.003,36.858,6.155
GS3.1_120.01,840.9,17.5,9.5,38.696,34.139,6.198
GS3.1_120.02,936.8,18.5,10,40.548,35.989,5.355
GS3.1_120.03,1039.6,19,11,38.076,32.583,3.949
GS3.1_120.04,627.3,15,9,40.059,34.901,4.786
GS3.1_120.05,865.5,16.5,9.5,42.754,37.123,4.58
GS3.1_120.06,1028.5,20.5,10.5,36.81,31.628,3.698
GS3.1_65.01,585.6,15,9,45.617,41.423,8.268
GS3.1_65.02,574.4,16,8.5,42.745,38.992,7.168
GS3.1_65.03,513.9,14,8,44.218,40.138,6.811
GS3.1_65.04,713.7,16,9,44.335,40.994,8.188
GS3.1_65.05,548.5,15,9,42.088,38.614,6.658
GS3.1_65.06,568.8,14,8.5,43.017,38.455,6.374
GS3.1_122.01,653.8,13.5,9,42.067,36.385,4.661
GS3.1_122.02,781.6,14,10,40.558,34.972,4.12
GS3.1_122.03,603.9,13.5,9,40.464,35.848,5.236
GS3.1_122.04,764.3,12,10,41.273,36.549,5.181
GS3.1_122.05,855.8,14,10,41.699,35.968,4.292
GS3.1_122.06,803.3,15.5,9.5,38.544,33.819,4.77
GS3.1_4.01,732.4,15.5,8.5,38.92,32.641,3.428
GS3.1_4.02,704.7,15,9.5,36.55,30.635,3.072
GS3.1_4.03,849.2,15.5,9.5,42.035,36.015,4.683
GS3.1_4.04,879.1,15.5,9.5,39.703,34.041,3.985
GS3.1_4.05,726.7,15,9,37.213,31.594,3.249
GS3.1_4.06,883.9,16,10,38.681,32.948,3.659
GS3.1_136.01,849.4,15,10.5,43.375,37.747,6.295
GS3.1_136.02,900.4,14,10.5,44.555,39.176,6.058
GS3.1_136.03,942.9,14,10.5,46.599,41.378,8.79
GS3.1_136.04,682.1,13.5,10,43.803,38.443,7.368
GS3.1_136.05,853.1,14.5,9.5,42.51,37.348,6.014
GS3.1_136.06,688.6,13,10,43.251,38.181,8.038
GS3.1_42.01,850.9,14,10.5,43.235,38.36,6.541
GS3.1_42.02,1097.1,15.5,11,41.537,36.572,4.964
GS3.1_42.03,1250.4,15.5,11,39.832,34.713,4.534
GS3.1_42.04,1213.1,15.5,11,40.159,34.664,4.704
GS3.1_42.05,926.7,15,10.5,42.142,37.129,4.516
GS3.1_42.06,743.5,13,10.5,42.435,38.497,6.507
GS3.1_139.01,471.7,13.5,9,41.482,36.999,5.397
GS3.1_139.02,752.8,17,9.5,41.879,37.275,5.451
GS3.1_139.03,665.6,15,8.5,42.573,38.058,6.331
GS3.1_139.04,814.8,18.5,10,44.654,39.947,6.478
GS3.1_139.05,607.7,15,9,40.324,35.516,4.808
GS3.1_182.01,827.3,16.5,10,43.106,37.671,4.638
GS3.1_182.02,1111.2,16.5,11.5,40.857,35.574,4.508
GS3.1_182.03,896.7,15.5,11,41.309,36.763,4.695
GS3.1_182.04,927,16,10.5,42.654,36.987,4.43
GS3.1_182.05,835.1,16.5,10.5,38.992,34.452,4.351
GS3.1_182.06,883.6,16,10.5,42.199,37.214,4.857
GS3.1_63.01,1085.6,19.5,10.5,40.552,35.583,4.835
GS3.1_63.02,1005,19,10.5,42.694,36.942,4.71
GS3.1_63.03,1012.6,18.5,11,44.213,39.03,4.616
GS3.1_63.04,1160.7,18.5,11,46.755,42.369,6.48
GS3.1_63.05,556.3,16.5,9.5,46.338,41.011,5.908
GS3.1_63.06,981.6,20.5,10,42.742,37.227,4.297
GS3.1_47.01,900.1,16,9.5,43.425,39.371,8.494
GS3.1_47.02,733.7,16,10,41.998,37.955,8.278
GS3.1_47.03,819.2,16,9.5,42.091,38.435,8.385
GS3.1_6.01,772.4,17.5,9,40.343,35.014,5.282
GS3.1_6.02,877,18,10,39.414,34.355,5.001
GS3.1_6.03,1035,20,10.5,38.544,33.036,4.266
GS3.1_6.04,1294.6,19,11,40.917,35.882,6.028
GS3.1_6.05,1167.3,18.5,10.5,38.873,33.458,4.257
GS3.1_6.06,724.4,15,9.5,40.826,35.349,5.409
GS3.1_148.01,471.2,16,8.5,46.423,42.725,12.806
GS3.1_148.02,565.3,15,9.5,41.375,36.816,6.141
GS3.1_148.03,441.4,14.5,8,41.749,36.763,7.202
GS3.1_148.04,577.4,17,9,45.536,41.786,11.092
GS3.1_148.05,747.5,16.5,9.5,45.044,41.183,8.818
GS3.1_148.06,391.4,13.5,8,45.909,41.911,11.432
GS3.1_99.01,813.1,13.5,10.5,41.718,36.324,3.834
GS3.1_99.02,964.8,14.5,10,41.15,35.712,4.043
GS3.1_99.03,828.1,12.5,10.5,43.667,38.235,4.477
GS3.1_99.04,933.6,13.5,10.5,42.051,37.019,4.334
GS3.1_134.01,820.1,15.5,9,39.709,34.924,3.848
GS3.1_134.02,976.3,15.5,10.5,42.071,37.257,5.058
