EntryID,Brix
17-182_1-2E5.02,12.9
17-180_2-2E1.02,10.6
17-180_3-2E7.03,9
17-180_2-2E1.01,9.8
17-180_3-2E1.03,11.7
17-180_3-2E2.01,9.2
17-182_1-2E7.03,10.4
17-180_3-2E5.03,7.6
17-180_2-2E3.02,11.4
17-180_3-2E4.02,9
17-180_3-2E7.01,9.4
17-180_3-2E4.03,6.3
17-185_2E1.01,9.9
17-180_3-2E1.02,11.3
17-180_1-1E5.02,9.3
17-181_3-1E6.02,4.5
17-184_4E4.02,8.9
17-182_4-2E4.03,9.9
17-184_3E1.01,10.8
17-185_1E3.02,11.8
17-185_4E4.01,8.1
17-181_2-2E2.01,10.6
17-180_1-1E6.01,8.7
17-185_1E2.01,10.9
17-185_1E1.01,9.5
17-185_4E3.01,11.6
17-185_1E4.02,8.5
17-184_1E2.01,10.5
17-182_1-2E7.01,11
17-185_4E3.02,10
17-180_3-2E4.01,11.2
17-182_1-2E2.03,12.5
17-182_4-2E4.01,11.7
17-182_4-2E1.01,12.2
17-185_2E1.02,9.9
17-181_3-1E7.02,11.4
17-182_3-1E1.03,10.1
17-185_1E1.02,6.3
17-181_3-1E5.01,6.7
17-180_1-1E3.03,12.4
17-181_3-1E8.01,9.4
17-180_1-1E2.03,7.7
17-181_3-1E1.02,11.5
17-182_4-2E7.02,13
17-180_1-1E1.03,9
17-182_4-2E2.02,11.3
17-180_2-2E6.01,9.5
17-180_1-1E2.01,6.6
17-185_1E4.01,7.7
17-180_2-2E5.01,9.4
17-182_1-2E4.01,9.7
17-180_1-2E2.02,9.2
17-182_1-2E7.02,10.3
17-182_3-1E1.01,10.8
17-182_1-2E3.02,12
17-185_2E3.01,9.8
17-182_4-2E5.02,11.4
17-185_2E5.02,10
17-182_4-2E5.03,12
17-180_3-2E5.01,10.4
17-181_3-1E1.01,13
17-181_3-1E7.01,10.7
17-185_4E4.02,5.7
17-181_3-1E6.03,8.9
17-181_3-1E2.02,11
17-182_4-2E3.01,10.9
17-182_3-1E1.02,9
17-181_3-1E2.03,10.9
17-180_3-2E5.02,10.6
17-180_3-2E6.02,9.4
17-181_3-1E8.03,9.1
17-180_4-1E7.02,10.4
17-181_3-1E4.02,11.5
17-181_3-1E8.02,8.6
17-180_1-1E5.03,6.4
17-182_2-2E1.03,14.4
17-185_4E1.02,8.2
17-181_3-1E2.01,11.6
17-184_3E4.01,10.1
17-185_4E2.02,10.1
17-185_1E5.01,7.7
17-185_1E2.02,10.7
17-182_4-2E7.01,12.6
17-182_1-2E2.02,14
17-184_4E1.01,11.6
17-180_1-1E1.01,12.3
17-185_4E5.02,8.6
17-185_1E3.01,7.7
17-182_1-2E2.01,12
17-180_2-2E5.03,10.5
17-180_3-2E2.02,10.7
17-180_1-1E3.01,11.6
17-180_2-2E4.01,13.7
17-184_3E3.02,10.1
17-185_2E3.02,11.3
17-180_1-1E6.02,8.9
17-180_3-2E1.01,11
17-180_1-1E3.02,9.8
17-180_1-1E4.02,8.5
17-184_3E3.01,10.8
17-185_4E2.01,11.9
17-180_1-1E5.01,6.4
17-184_3E5.01,10.8
17-185_4E1.01,9.6
17-184_3E2.02,10.5
17-182_1-1E3.01,10.7
17-184_3E1.02,11.3
17-185_1E5.02,6.5
17-180_1-1E6.03,8.5
17-180_1-1E4.01,7.6
17-185_4E5.01,9.1
17-182_3-1E2.03,12.3
