EntryID,Wet
18-3727_Rep2_2.2,31.25
18-3727_Rep2_2.1,29.55
18-3727_Rep2_3.3,32.42
18-3727_Rep2_3.2,29.88
18-3727_Rep2_3.1,31.83
18-3727_Rep2_1.2,38.43
18-3727_Rep2_1.1,28.91
18-3727_Rep2_4.1,38.35
18-3723_Rep1_16.5,36.29
18-3723_Rep1_17.3,35.03
18-3723_Rep1_17.5,34.68
18-3723_Rep1_17.6,34.1
18-3723_Rep1_16.4,34.1
18-3723_Rep1_17.1,38.69
18-3723_Rep1_16.3,32.35
18-3723_Rep1_17.2,26.04
18-3723_Rep1_17.4,26.29
18-3723_Rep1_16.1,38.84
18-3723_Rep1_16.2,36.17
18-3723_Rep1_18.1,26.81
18-3723_Rep1_15.3,35.46
18-3723_Rep1_15.4,34.22
18-3725_Rep3_14.1,39.96
18-3725_Rep3_14.4,43.02
18-3723_Rep1_13.1,31.97
18-3725_Rep3_19.1,36.39
18-3725_Rep3_14.5,35.85
18-3725_Rep3_14.3,34.87
18-3723_Rep1_14.4,35.41
18-3725_Rep3_14.2,32.83
18-3723_Rep1_18.3,34.25
18-3723_Rep1_14.5,37.93
18-3725_Rep3_14.6,40.07
18-3723_Rep1_18.5,32.12
18-3723_Rep1_14.6,32.33
18-3723_Rep1_18.4,37
18-3723_Rep1_15.2,31.36
18-3723_Rep1_15.1,37.14
18-3725_Rep3_12.2,43.31
18-3725_Rep3_11.2,31.33
18-3725_Rep3_12.3,34.99
18-3725_Rep3_12.5,31.48
18-3725_Rep3_19.2,34.15
18-3725_Rep3_18.4,29.25
18-3725_Rep3_18.1,30.09
18-3725_Rep3_19.4,24.31
18-3725_Rep3_18.2,26.48
18-3725_Rep3_18.6,28.68
18-3725_Rep3_18.3,28.17
18-3725_Rep3_19.5,26.56
18-3725_Rep3_11.1,32.72
18-3725_Rep3_19.3,35.05
18-3725_Rep3_12.6,39.01
18-3725_Rep3_18.5,36.88
18-3725_Rep3_12.1,28.51
18-3725_Rep3_12.4,31.48
18-3725_Rep1_12.2,30.04
18-3725_Rep1_12.3,25.95
18-3725_Rep1_9.1,37.84
18-3725_Rep1_12.6,28.4
18-3725_Rep1_9.5,29.15
18-3725_Rep1_12.5,38.37
18-3725_Rep1_10.3,22.65
18-3725_Rep1_10.1,25.8
18-3725_Rep1_9.6,29
18-3725_Rep1_10.4,28.78
18-3725_Rep1_13.4,29.69
18-3725_Rep1_14.4,26.62
18-3725_Rep1_14.1,29.66
18-3725_Rep1_9.2,30.6
18-3725_Rep1_10.5,25.13
18-3725_Rep1_12.1,25.16
18-3725_Rep1_12.4,39.86
18-3725_Rep1_14.6,28.72
18-3725_Rep1_10.2,29.08
18-3725_Rep1_14.3,36.09
18-3725_Rep1_13.3,35.85
18-3725_Rep1_14.5,35.69
18-3725_Rep1_9.4,31.19
18-3725_Rep1_9.3,25.66
18-3725_Rep1_14.2,23.26
18-3726_Rep3_8.2,27.84
18-3726_Rep3_3.6,26.98
18-3726_Rep3_3.4,29.42
18-3726_Rep3_1.2,27.41
18-3726_Rep3_4.5,30.58
18-3726_Rep3_5.1,26.1
18-3726_Rep3_1.1,39.17
18-3726_Rep3_4.4,35.1
18-3726_Rep3_4.3,28.12
18-3726_Rep3_8.1,26.84
18-3726_Rep3_5.3,37.65
18-3726_Rep3_4.1,26.51
18-3726_Rep3_3.1,30.25
18-3724_Rep3_6.1,29.58
18-3726_Rep3_5.2,25.47
18-3725_Rep1_13.2,30.97
18-3726_Rep3_4.2,26.39
18-3726_Rep3_3.2,32.69
18-3726_Rep3_3.5,31.23
18-3726_Rep3_8.3,38.95
18-3725_Rep1_13.1,31.43
18-3726_Rep3_8.4,30.92
18-3724_Rep3_2.4,31.93
18-3724_Rep3_5.2,31.94
18-3724_Rep3_2.5,29.26
18-3724_Rep3_5.4,31.79
18-3724_Rep3_6.4,38.61
18-3726_Rep3_8.5,28.67
18-3724_Rep3_3.3,34.45
18-3724_Rep3_2.3,28.37
18-3724_Rep3_6.2,29.19
18-3724_Rep3_6.3,28
18-3724_Rep3_5.3,32.71
18-3724_Rep3_3.4,31.39
18-3724_Rep3_2.6,35.28
18-3724_Rep3_3.1,34.34
18-3724_Rep3_5.1,28.97
18-3724_Rep3_2.1,34.04
18-3724_Rep3_2.2,39.36
18-3724_Rep3_3.5,29.29
18-3724_Rep2_13.1,28.78
18-3724_Rep2_12.4,27.41
18-3724_Rep2_15.1,30.85
18-3724_Rep2_13.2,25.38
18-3724_Rep2_13.3,27.12
18-3724_Rep2_12.5,25.99
18-3724_Rep2_12.3,33.61
18-3724_Rep2_12.2,30.35
18-3724_Rep3_4.6,27.1
18-3724_Rep3_4.3,29.39
18-3724_Rep3_4.5,27.51
18-3724_Rep3_1.1,43.67
18-3724_Rep3_4.1,27.52
18-3724_Rep2_15.3,42.5
18-3724_Rep3_4.2,31.61
18-3724_Rep3_1.2,34.4
18-3724_Rep3_4.4,38.35
18-3724_Rep2_15.2,38.73
18-3724_Rep2_12.1,38.47
18-3724_Rep2_15.4,40.02
18-3724_Rep3_3.2,31.06
18-3728_Rep3_2.1,40.86
18-3724_Rep2_13.6,33.39
18-3728_Rep3_9.3,34.84
18-3724_Rep2_13.4,29.84
18-3724_Rep2_14.4,29.94
18-3724_Rep2_14.3,34.58
18-3728_Rep3_2.2,37.82
18-3724_Rep2_14.5,31.87
18-3724_Rep2_14.1,29.22
18-3728_Rep3_9.5,30.65
18-3728_Rep3_1.2,28.26
18-3724_Rep2_14.6,27.89
18-3728_Rep3_1.1,28.03
18-3728_Rep3_9.2,32.52
18-3728_Rep3_9.1,35.36
18-3724_Rep2_13.5,25.68
18-3728_Rep3_2.4,31.07
18-3724_Rep2_15.5,35.11
18-3728_Rep3_2.3,31.95
18-3724_Rep2_14.2,35.87
18-3724_Rep2_15.6,24.99
18-3728_Rep3_9.6,37.22
18-3723_Rep1_10.2,31.91
18-3728_Rep3_1.4,34.23
18-3723_Rep1_11.1,31.22
18-3723_Rep1_11.2,31.67
18-3723_Rep1_12.4,21.82
18-3723_Rep1_8.1,26.83
18-3723_Rep1_11.4,30.17
18-3723_Rep1_10.1,30.28
18-3723_Rep1_10.3,31.67
18-3728_Rep3_1.5,32.26
18-3728_Rep3_1.6,35.54
18-3723_Rep1_11.6,32.58
18-3723_Rep1_8.2,25.97
18-3723_Rep1_10.4,35.56
18-3723_Rep1_10.6,31.28
18-3723_Rep1_8.3,33.44
18-3723_Rep1_10.5,29.22
18-3723_Rep1_11.3,30.22
18-3728_Rep3_1.3,33.57
18-3723_Rep1_11.5,34.36
18-3723_Rep1_8.4,38.02
18-3723_Rep1_12.5,29.03
18-3728_Rep3_9.4,34.58
18-3723_Rep1_12.2,30.12
18-3723_Rep1_12.3,29.35
18-3723_Rep1_12.1,34.31
18-3724_Rep2_6.3,30.09
18-3724_Rep2_3.1,27.87
18-3724_Rep2_3.5,32.5
18-3724_Rep2_2.3,28.55
18-3723_Rep1_12.6,27.28
18-3724_Rep2_3.6,32.81
18-3724_Rep2_6.2,29.91
18-3724_Rep2_6.1,34.41
18-3724_Rep2_3.2,29.88
18-3724_Rep2_3.4,28.7
18-3724_Rep2_1.3,31.39
18-3724_Rep2_6.4,34.85
18-3724_Rep2_4.1,29.34
18-3724_Rep2_5.2,27.6
18-3724_Rep2_1.1,30.47
18-3724_Rep2_5.3,32.79
18-3724_Rep2_1.2,29.66
18-3724_Rep2_5.1,34.03
18-3724_Rep2_3.3,34.14
18-3724_Rep2_1.4,30.25
18-3724_Rep2_4.2,32.41
18-3724_Rep_4.6,32.17
18-3724_Rep2_4.3,29.92
18-3724_Rep2_2.1,31.88
18-3724_Rep2_2.2,37.56
18-3725_Rep3_2.2,30.72
18-3725_Rep3_13.3,32.57
18-3725_Rep3_13.4,34.87
18-3725_Rep3_13.5,33.81
18-3725_Rep3_13.1,34.37
18-3725_Rep3_11.5,26.72
18-3725_Rep3_2.1,31.54
18-3725_Rep3_13.2,28.39
18-3725_Rep3_13.6,32.1
18-3725_Rep3_11.6,27.07
18-3724_Rep2_4.5,30.51
18-3725_Rep3_11.4,32.86
18-3724_Rep2_4.4,29.75
18-3725_Rep3_11.3,27.83
18-3725_Rep3_16.5,28.57
18-3725_Rep3_16.1,27.16
18-3725_Rep3_16.3,27.94
18-3725_Rep3_3.2,29.98
18-3725_Rep3_16.2,31.31
18-3725_Rep3_3.6,25.2
18-3725_Rep3_3.5,21.87
18-3725_Rep3_16.4,29.59
18-3725_Rep3_3.1,29.23
18-3725_Rep3_2.4,28.34
18-3725_Rep3_2.3,30.31
18-3725_Rep3_2.6,37.05
18-3725_Rep3_3.4,39.53
18-3725_Rep3_2.5,28.04
18-3723_Rep2_2.4,36.66
18-3723_Rep1_1.3,30.01
18-3723_Rep2_5.3,40.72
18-3723_Rep1_1.2,28.79
18-3723_Rep2_6.4,41.18
18-3723_Rep2_5.1,34.45
18-3723_Rep2_4.2,41.4
18-3723_Rep2_5.4,37.87
18-3723_Rep2_1.4,36.29
18-3723_Rep2_6.6,32.34
18-3723_Rep2_4.1,36.93
18-3723_Rep2_3.3,35.36
18-3723_Rep2_1.3,31.09
18-3723_Rep2_2.1,34.59
18-3723_Rep2_6.5,28.06
18-3723_Rep2_1.5,34.53
18-3723_Rep2_1.2,27.79
18-3723_Rep2_2.2,37.76
18-3723_Rep2_3.1,34.46
18-3723_Rep2_3.2,33.26
18-3723_Rep2_5.2,35.17
18-3723_Rep2_1.1,32.09
18-3724_Rep3_11.2,26.06
18-3724_Rep3_11.4,33.59
18-3724_Rep3_11.1,30.46
18-3724_Rep3_10.1,33.81
18-3724_Rep3_10.4,39.98
18-3724_Rep3_9.1,32.52
18-3724_Rep3_11.3,34.78
18-3724_Rep3_10.2,29.46
18-3723_Rep2_6.2,28.45
18-3723_Rep2_5.5,30.99
18-3723_Rep2_6.1,32.26
18-3723_Rep2_5.6,34.15
18-3723_Rep1_1.4,33.57
18-3723_Rep2_6.3,30.26
18-3723_Rep1_2.2,33.43
18-3724_Rep3_10.3,27.7
18-3723_Rep1_1.1,23.13
18-3723_Rep1_1.5,31.94
18-3723_Rep1_2.3,35.53
18-3723_Rep1_2.4,33.32
18-3723_Rep1_2.1,30.13
18-3723_Rep2_2.3,31.17
18-3725_Rep1_18.1,29.02
18-3725_Rep1_18.4,33.7
18-3725_Rep1_20.2,28.15
18-3724_Rep3_7.6,31.59
18-3725_Rep1_15.2,33.86
18-3725_Rep1_15.1,29.63
18-3725_Rep1_15.3,29.42
18-3724_Rep3_7.1,34.22
18-3724_Rep3_7.2,35.33
18-3724_Rep3_7.3,37.68
18-3724_Rep3_7.4,31.55
18-3724_Rep3_7.5,33.34
18-3724_Rep3_8.4,25.99
18-3724_Rep3_8.2,29.28
18-3724_Rep3_8.3,27.77
18-3724_Rep3_8.5,21.11
18-3724_Rep3_8.6,27.55
18-3724_Rep3_9.4,31.26
18-3724_Rep3_9.2,25.66
18-3724_Rep3_9.6,28.53
18-3724_Rep3_8.1,30.09
18-3724_Rep3_9.3,30.6
18-3724_Rep3_9.5,30.75
18-3725_Rep1_18.2,22.82
18-3725_Rep1_18.3,31.44
18-3725_Rep1_18.6,29.38
18-3725_Rep1_16.1,26.77
18-3727_Rep3_3.3,31.87
18-3725_Rep1_18.5,35.54
18-3727_Rep3_4.1,34.54
18-3725_Rep1_16.4,30.19
18-3725_Rep1_20.1,33.59
18-3727_Rep3_4.3,29.27
18-3725_Rep1_16.2,26.03
18-3727_Rep3_3.4,29.22
18-3725_Rep1_19.1,31.72
18-3727_Rep3_3.2,30.06
18-3725_Rep1_16.3,28.04
18-3725_Rep1_16.5,33.37
18-3725_Rep1_19.2,26.23
18-3727_Rep3_3.1,29.07
18-3727_Rep3_2.1,33.82
18-3727_Rep3_4.2,33.52
18-3727_Rep3_5.3,32.33
18-3727_Rep3_5.2,29.96
18-3727_Rep3_5.1,27.37
18-3725_Rep1_19.4,31.8
18-3727_Rep3_1.1,28.68
18-3725_Rep1_19.3,25.1
18-3724_Rep3_12.3,27.02
18-3723_Rep1_6.2,31.34
18-3723_Rep1_7.1,28.82
18-3723_Rep1_7.3,28.92
18-3723_Rep1_7.2,35.62
18-3723_Rep1_6.3,29.41
18-3723_Rep1_5.6,31.89
18-3723_Rep1_3.3,33.1
18-3723_Rep1_5.3,31.84
18-3723_Rep1_5.4,33.21
18-3723_Rep1_4.1,28.79
18-3723_Rep1_3.1,32.76
18-3723_Rep1_4.6,35.1
18-3723_Rep1_5.5,30.74
18-3723_Rep1_4.2,34.64
18-3723_Rep1_6.1,31.71
18-3723_Rep1_4.5,30.88
18-3723_Rep1_5.1,27.5
18-3723_Rep1_5.2,34.15
18-3723_Rep1_3.2,30.31
18-3723_Rep1_6.4,34.52
18-3723_Rep1_4.3,29.67
18-3723_Rep1_4.4,31.97
18-3724_Rep3_13.2,35.58
18-3723_Rep1_9.3,30.67
18-3724_Rep3_13.1,32.4
18-3724_Rep3_14.5,32.72
18-3723_Rep1_6.5,33.21
18-3724_Rep3_13.5,28.99
18-3724_Rep3_13.6,33.14
18-3724_Rep3_14.3,32.77
18-3724_Rep3_13.3,28.39
18-3724_Rep3_12.6,33.81
18-3724_Rep3_14.4,31.13
18-3723_Rep1_9.2,36.62
18-3724_Rep3_12.1,44.4
18-3724_Rep3_14.1,31.43
18-3724_Rep3_13.4,32.89
18-3724_Rep3_12.5,27.34
18-3723_Rep1_9.1,34.41
18-3724_Rep3_12.4,28.75
18-3724_Rep3_12.2,34.19
18-3724_Rep3_15.5,34.88
18-3724_Rep3_14.2,31.67
18-3725_Rep1_1.4,30.26
18-3723_Rep1_7.4,32.97
18-3725_Rep1_2.1,30.88
18-3724_Rep3_15.1,34.79
18-3725_Rep1_2.2,28.22
18-3725_Rep1_6.6,30.67
18-3725_Rep1_1.1,31.03
18-3725_Rep1_8.1,27.46
18-3724_Rep3_14.6,31.7
18-3725_Rep1_1.5,33.67
18-3724_Rep3_15.4,28.69
18-3725_Rep1_6.3,27.65
18-3725_Rep1_1.2,29.47
18-3724_Rep3_15.3,31.18
18-3723_Rep1_7.5,30.77
18-3725_Rep1_6.4,28.25
18-3725_Rep1_6.5,33.69
18-3725_Rep1_1.3,32.03
18-3724_Rep3_15.2,29.58
18-3725_Rep1_6.1,32.08
18-3725_Rep1_6.2,30.5
18-3725_Rep1_4.5,29.99
18-3724_Rep2_8.1,29.23
18-3725_Rep1_7.3,33.02
18-3725_Rep1_3.4,32.41
18-3725_Rep1_7.2,30.89
18-3725_Rep1_8.3,30.18
18-3725_Rep1_8.5,28.95
18-3725_Rep1_3.6,29.32
18-3725_Rep1_4.4,28.87
18-3725_Rep1_8.4,28.54
18-3725_Rep1_3.3,27.91
18-3725_Rep1_3.5,28.9
18-3725_Rep1_7.1,30.96
18-3725_Rep1_4.6,30.6
18-3725_Rep1_4.1,27.85
18-3725_Rep1_4.2,30.02
18-3725_Rep1_4.3,30.17
18-3725_Rep1_7.4,29.93
18-3725_Rep1_3.2,31.4
18-3724_Rep2_11.1,27.12
