EntryID,Weight,Length,Width,X,Y,Z
18-3727_Rep2_4.1,454.6,14.5,8,45.516,42.491,9.896
18-3727_Rep2_1.2,756.4,16,8.5,48.297,42.81,7.157
18-3727_Rep2_1.1,363.8,13.5,8,57.94,57.362,17.786
18-3727_Rep2_3.1,871,17,9,44.955,38.747,4.991
18-3727_Rep2_3.2,488.4,16,8,47.643,42.692,9.884
18-3727_Rep2_3.3,591.9,15,8.5,49.169,45.493,9.692
18-3727_Rep2_2.1,619,16.5,8,52.259,48.823,11.801
18-3727_Rep2_2.2,447.7,14.5,8,49.025,46.916,12.025
18-3723_Rep1_17.1,698.3,14.5,9.5,44.112,38.139,5.753
18-3723_Rep1_17.2,626.8,15,10,44.086,38.644,4.648
18-3723_Rep1_17.3,712.7,14,10.5,40.814,35.215,4.909
18-3723_Rep1_17.4,601.4,13.5,9,42.488,36.632,5.343
18-3723_Rep1_17.5,604,14,8.5,42.269,36.119,5.084
18-3723_Rep1_17.6,619.4,13.5,9,43.662,38.337,6.298
18-3723_Rep1_16.1,918.1,17,9.5,46.357,40.207,6.552
18-3723_Rep1_16.2,1047.2,16,11,42.18,35.925,4.908
18-3723_Rep1_16.3,837.4,17,10,45.523,39.969,7.903
18-3723_Rep1_16.4,928.9,16.5,10,44.783,38.979,6.83
18-3723_Rep1_16.5,882.8,19,9.5,42.783,37.352,4.789
18-3723_Rep1_18.1,459.7,16.5,8,42.115,35.883,5.446
18-3723_Rep1_18.2,281.6,14,6.5,44.098,37.741,6.333
18-3723_Rep1_18.3,430,14,9,40.945,34.722,5.299
18-3723_Rep1_18.4,801.7,16.5,10.5,43.827,36.623,6.086
18-3723_Rep1_18.5,640.9,14.5,9.5,48.081,41.962,7.679
18-3723_Rep1_13.1,603.6,14.5,9.5,43.243,37.761,5.445
18-3723_Rep1_14.4,710.7,15,11,42.068,36.177,5.205
18-3723_Rep1_14.5,675.8,14.5,10.5,43.52,37.923,6.164
18-3723_Rep1_14.6,557.4,16,8.5,48.534,42.504,9.777
18-3723_Rep1_15.1,1136.7,17.5,10,41.849,35.543,4.893
18-3723_Rep1_15.2,1033.4,18,10.5,45.415,40.747,9.164
18-3723_Rep1_15.3,886.6,16.5,11,45.681,39.349,6.293
18-3723_Rep1_15.4,913.9,17,10,43.283,37.175,5.764
18-3725_Rep3_14.1,564.2,14.5,9.5,38.75,32.668,4.355
18-3725_Rep3_14.2,531.4,12.5,9.5,38.997,32.87,3.875
18-3725_Rep3_14.3,668.2,14.5,10,38.117,31.502,3.65
18-3725_Rep3_14.4,556.8,12.5,9.5,39.159,32.569,3.746
18-3725_Rep3_14.5,433.1,13.5,8.5,37.443,30.967,3.882
18-3725_Rep3_14.6,629.8,13.5,9.5,40.191,33.779,3.913
18-3725_Rep3_19.1,560.6,12.5,8.5,39.76,33.573,6.094
18-3725_Rep3_19.2,547.3,13.5,9,38.843,32.178,3.59
18-3725_Rep3_19.3,542.8,13,9.5,37.967,31,3.213
18-3725_Rep3_19.4,378.8,12.5,8,33.698,26.814,2.91
18-3725_Rep3_19.5,480.2,13.5,8.5,40.663,33.653,3.951
18-3725_Rep3_18.1,412.7,12,8,43.753,37.349,5.886
18-3725_Rep3_18.2,380.8,11,8.5,41.834,35.26,4.86
18-3725_Rep3_18.3,336.4,11,7.5,42.029,35.54,5.584
18-3725_Rep3_18.4,430.1,11,8.5,42.641,35.479,4.651
18-3725_Rep3_18.5,512.1,12.5,9.5,46.229,40.159,6.051
18-3725_Rep3_18.6,365.1,12,8,46.348,39.932,6.131
18-3725_Rep3_12.1,668.2,15,9.5,42.105,35.16,4.046
18-3725_Rep3_12.2,715.2,15,10.5,45.232,39.16,6.339
18-3725_Rep3_12.3,479.9,13,8.5,44.171,38.563,5.955
18-3725_Rep3_12.4,351.6,13,7,42.772,35.972,4.438
18-3725_Rep3_12.5,374.2,12.5,7,45.941,39.962,5.028
18-3725_Rep3_12.6,389.1,13.5,7.5,41.982,35.53,4.226
18-3725_Rep3_11.1,664.2,14.5,9.5,44.025,36.215,3.837
18-3725_Rep3_11.2,402.9,12,8.5,41.52,34.389,3.423
18-3725_Rep1_14.1,478.1,15,8,36.563,29.133,2.749
18-3725_Rep1_14.2,490.3,16,8,39.713,32.647,4.016
18-3725_Rep1_14.3,603.8,17,9,40.13,32.735,3.521
18-3725_Rep1_14.4,620.5,14.5,9,40.285,32.79,3.33
18-3725_Rep1_14.5,684.1,18,8.5,40.181,32.94,3.865
18-3725_Rep1_14.6,698,17.5,10,39.645,32.453,3.686
18-3725_Rep1_10.1,505.3,12.5,9,43.113,36.708,5.589
18-3725_Rep1_10.2,461.1,12,9,42.316,35.701,4.111
18-3725_Rep1_10.3,272.6,11.5,7,44.631,38.741,7.779
18-3725_Rep1_10.4,560.5,13.5,9,45.179,39.28,6.788
18-3725_Rep1_10.5,449.6,12,8,43.753,38.108,7.039
18-3725_Rep1_9.1,445.3,13,8,44.412,36.912,4.601
18-3725_Rep1_9.2,680.4,13.5,9.5,44.54,37.755,6.844
18-3725_Rep1_9.3,418.7,13,7.5,44.102,36.322,4.759
18-3725_Rep1_9.4,371.5,12.5,8,41.864,34.99,4.639
18-3725_Rep1_9.5,314.8,11,7.5,45.106,37.954,5.674
18-3725_Rep1_9.6,491.5,13,8,45.634,38.206,5.187
18-3725_Rep1_12.1,607.3,11.5,9.5,39.748,32.386,5.015
18-3725_Rep1_12.2,621.5,12,10,41.609,34.896,4.554
18-3725_Rep1_12.3,585.3,12,9.5,45.557,39.225,5.981
18-3725_Rep1_12.4,664.9,13,9,45.792,38.595,4.601
18-3725_Rep1_12.5,659.1,13,9.5,48.276,42.643,8.761
18-3725_Rep1_12.6,756.5,13.5,10,44.96,38.621,5.804
18-3725_Rep1_13.1,453.3,10,9,41.043,33.926,4.642
18-3725_Rep1_13.2,540.4,11.5,9.5,38.44,31.209,3.239
18-3725_Rep1_13.3,450.2,11,9,42.006,34.319,3.339
18-3725_Rep1_13.4,553.3,11,9,40.949,33.7,4.663
18-3726_Rep3_4.1,303.2,12.5,7,42.987,36.747,6.408
18-3726_Rep3_4.2,404.7,12.5,8,48.003,41.858,8.28
18-3726_Rep3_4.3,452.8,12.5,8.5,46.515,40.721,8.527
18-3726_Rep3_4.4,318.8,11.5,7.5,49.8,43.839,9.598
18-3726_Rep3_4.5,261.7,12,6.5,42.768,36.727,6.746
18-3726_Rep3_3.1,323.8,11.5,7,47.611,41.783,8.48
18-3726_Rep3_3.2,551.9,13.5,8.5,47.487,41.023,7.397
18-3726_Rep3_3.3,229,10,6.5,41.744,36.584,7.939
18-3726_Rep3_3.4,165.3,9,6,43.837,37.551,6.905
18-3726_Rep3_3.5,257.2,11,7,42.696,36.943,6.857
18-3726_Rep3_3.6,201,10.5,6,40.679,34.89,5.252
18-3726_Rep3_5.1,432.9,12.5,8,51.441,45.672,9.612
18-3726_Rep3_5.2,249.8,10,6.5,43.17,36.669,5.885
18-3726_Rep3_5.3,463.6,12,8.5,48.133,41.845,7.772
18-3726_Rep3_1.1,577.3,14,9,49.376,44.067,10.305
18-3726_Rep3_1.2,515.4,14,8.5,47.062,40.825,7.745
18-3726_Rep3_8.1,383.1,12,7.5,51.141,45.481,10.991
18-3726_Rep3_8.2,415.4,13,8,48.331,42.565,7.843
18-3726_Rep3_8.3,432.9,13.5,8,52.102,46.311,9.999
18-3726_Rep3_8.4,272.3,11,7,49.009,42.914,8.835
18-3726_Rep3_8.5,310,12,7.5,41.779,35.742,5.902
18-3724_Rep3_6.1,382.8,14.5,8,42.807,37.331,5.168
18-3724_Rep3_6.2,786.8,17,9,47.166,42.493,9.059
18-3724_Rep3_6.3,610.7,17.5,8.5,42.983,36.878,4.84
18-3724_Rep3_6.4,829.3,16.5,9,44.426,38.725,6.043
18-3724_Rep3_2.1,490.8,16,8.5,42.635,37.585,6.23
