FruitID,Gid,Weight,Length,Width,Brix,DM,L,a,b
GS3_37.1,GS3_37,580,13.5,10,9.9,13.9,64.2,25.6,73.2
GS3_37.2,GS3_37,382.1,13,7,12.6,17.7,66.1,28.1,75.5
GS3_37.3,GS3_37,714.4,16.5,11.5,12,18.4,66.5,27.7,77.1
GS3_37.4,GS3_37,625.6,15,9,12.2,18.8,64.9,30.8,73.1
GS3_37.5,GS3_37,292.6,12,6.5,13.4,23,66.1,28.6,73.9
GS3_37.6,GS3_37,525,14,8,11.4,18.2,67.1,28,71.9
GS3_37.7,GS3_37,442,14.5,7.5,12.1,19.6,66.5,28.8,75.6
GS3_37.8,GS3_37,605.5,14.5,9,11.8,16.3,66,28.7,77.3
GS3_37.9,GS3_37,556.9,15.5,7.5,12.5,20.2,66.8,29.5,74.6
GS3_17.1,GS3_17,847.1,15,10,9.3,11.6,66.9,25.1,72.8
GS3_17.2,GS3_17,706.7,14.5,10,9.8,15.3,71.1,19.7,77.6
GS3_17.3,GS3_17,768.2,15.5,9.5,9.2,12,68.2,23,70.1
GS3_17.4,GS3_17,840.9,17.5,10.5,9.5,12.3,70.1,19.3,74.1
GS3_17.5,GS3_17,825.6,17,9.5,10.1,12.5,68.6,23.5,71.9
GS3_17.6,GS3_17,559.9,14,8.5,9.6,12.6,68.1,25.4,75.5
GS3_17.7,GS3_17,527.5,14,8.5,8.5,12.7,69,21.6,71.9
GS3_17.8,GS3_17,554.1,16,9,9.4,12.1,66.5,22.7,69.6
GS3_16.1,GS3_16,579.5,14,8.5,8.9,13.2,65.8,24.1,72.9
GS3_16.2,GS3_16,557.8,13.5,9,9.5,11.9,65.4,24.4,73.8
GS3_16.3,GS3_16,481.8,14.5,8,9.2,14.4,67.8,23.5,74.7
GS3_16.5,GS3_16,526.9,14,8.5,9.2,13.7,66.5,23.4,74.4
GS3_16.4,GS3_16,430.6,14.5,8.5,9.3,13.1,65.5,23.8,73.6
GS3_16.6,GS3_16,492.4,12,9,8.8,14.6,66,23.5,74.5
GS3_16.7,GS3_16,366.2,11.5,8,8.1,11.6,66.1,24.2,73.6
GS3_16.8,GS3_16,455,13,8.5,8.8,12.1,65.9,23.6,72.8
GS3_16.9,GS3_16,418.7,13,8,9.6,13.9,65.2,23,71.7
GS3_16.10,GS3_16,492.4,12.5,9,10.1,13.5,66.9,23.1,68.7
GS3_13.1,GS3_13,542.5,15.5,9,10.4,14.9,66.5,23.6,72.5
GS3_13.2,GS3_13,628.5,16.5,9,10.9,13.4,64.9,23.2,68.4
GS3_13.3,GS3_13,523.4,13.5,10,10.4,14,68.1,21.3,65.9
GS3_13.4,GS3_13,618.2,14,9,11,15,66.6,26.1,72.7
GS3_13.5,GS3_13,509.9,13.5,8.5,9.8,13.4,65.9,23.9,70.5
GS3_13.6,GS3_13,458.5,14.5,8,10.7,15.5,66.1,24.1,73.1
GS3_13.7,GS3_13,533.4,15.5,8,10,12.8,65.9,25.2,69.7
GS3_13.8,GS3_13,576.3,16.5,9,10.5,15.2,68.6,22.9,70
