FruitID,Brix
GS3_15.08,10.1
GS3_69.02,10.7
GS3_206.08,10.1
GS3_172.09,12.5
GS3_172.07,11.2
GS3_206.09,10.1
GS3_206.05,9.6
GS3_69.08,12.6
GS3_46.01,8.8
GS3_69.01,9.3
GS3_172.02,9.9
GS3_78.07,11.2
GS3_165.07,11.8
GS3_206.06,9.6
GS3_182.07,10.3
GS3_182.05,11.4
GS3_182.06,10.1
GS3_206.10,9.3
GS3_15.05,9.2
GS3_206.02,9.9
GS3_206.04,10.7
GS3_182.08,10.2
GS3_78.01,11.8
GS3_172.08,10.8
GS3_165.03,8.5
GS3_172.06,9.5
GS3_206.03,10.9
GS3_69.04,13.4
GS3_206.07,10.2
GS3_78.08,11.9
GS3_172.05,10.5
GS3_15.10,9.9
GS3_69.06,11.1
GS3_182.04,11.1
GS3_15.09,9.6
GS3_172.01,10.5
GS3_182.02,9.9
GS3_182.01,12.9
GS3_165.04,9.2
GS3_78.04,8.4
GS3_172.03,13.4
GS3_206.01,9.3
GS3_69.09,11.8
GS3_69.03,11.1
GS3_69.10,12.1
GS3_15.02,9.7
GS3_165.10,11.7
GS3_15.06,10.1
GS3_172.04,11.3
GS3_46.07,9.1
GS3_78.10,8.6
GS3_165.01,10.1
GS3_15.04,9.1
GS3_69.05,10.9
GS3_46.02,9.1
GS3_78.02,11.8
GS3_46.09,11.7
GS3_78.06,8.3
GS3_78.03,9.3
GS3_165.09,9.7
GS3_15.03,9.2
GS3_78.09,10.1
GS3_165.05,11.1
GS3_69.07,11.3
GS3_46.06,10.4
GS3_172.10,8.9
GS3_46.08,9.9
GS3_15.07,9.2
GS3_46.03,8.1
GS3_46.05,10.9
GS3_46.04,9.6
GS3_165.08,9.8
GS3_165.06,9.2
GS3_182.03,10.1
GS3_78.05,9.7
GS3_15.01,9.1
GS3_165.02,9.1
GS3_57.5,10.1
GS3_57.10,10.7
GS3_122.9,10.7
GS3_158.6,10.5
GS3_150.1,11.5
GS3_41.1,10.7
GS3_122.10,10.3
GS3_122.2,10.2
GS3_26.4,10.5
GS3_122.4,10.4
GS3_122.1,10.3
GS3_12.4,10.8
GS3_122.8,11
GS3_57.2,10.7
GS3_122.6,11
GS3_27.3,9.4
GS3_122.5,10.2
GS3_150.9,11.7
GS3_150.6,12.4
GS3_150.5,12.3
GS3_158.8,10.8
GS3_150.10,11.3
GS3_41.4,10.8
GS3_194.3,12.1
GS3_12.6,9.2
GS3_150.4,10.6
GS3_122.7,10
GS3_194.2,9.9
GS3_27.2,8.6
GS3_57.6,9.6
GS3_26.9,11.2
GS3_191.3,6.8
GS3_158.5,10.6
GS3_57.8,9
GS3_191.7,8
GS3_135.4,10.6
GS3_191.8,6.7
GS3_41.3,12.6
GS3_158.9,10.2
GS3_158.2,11
GS3_158.4,10.3
GS3_12.1,10
GS3_158.7,9.9
GS3_41.9,10.6
GS3_194.4,9.4
GS3_41.10,11.6
GS3_150.3,11.9
GS3_194.6,9.5
GS3_27.5,9.9
GS3_150.7,12.1
GS3_41.7,9.7
GS3_26.1,9.7
GS3_191.4,9.7
GS3_12.3,10
GS3_191.9,9.3
GS3_26.8,10.4
GS3_26.3,10
GS3_194.9,11.2
GS3_158.10,11.3
GS3_11.3,9.7
GS3_183.5,11.2
GS3_183.3,9.9
GS3_12.7,10.2
GS3_196.6,10.8
GS3_196.4,8.3
GS3_183.10,11.5
GS3_196.3,8.5
GS3_11.5,9
GS3_183.9,9.8
GS3_39.7,11.1
GS3_11.4,11.2
GS3_196.2,8.5
GS3_183.1,10.9
GS3_39.6,12.7
GS3_43.7,9.8
GS3_11.9,11.4
GS3_68.3,10.2
GS3_50.3,9.2
GS3_43.8,10.9
GS3_39.8,10.4
GS3_26.7,9.7
GS3_11.2,9.7
GS3_50.2,7.6
GS3_11.1,11.2
GS3_196.10,8.8
GS3_11.10,10.9
GS3_11.8,10.1
GS3_39.9,11.8
GS3_39.2,11.6
GS3_183.7,8.4
GS3_50.4,10.9
GS3_43.10,11.3
GS3_39.5,10.9
GS3_68.2,10.4
GS3_50.1,9.3
GS3_183.2,10.2
GS3_68.5,7.5
GS3_183.4,11.2
GS3_39.10,11.7
GS3_68.6,10.6
GS3_11.6,11.2
GS3_43.9,11.8
GS3_68.1,10.3
GS3_183.6,9.9
GS3_12.8,11.2
GS3_39.3,11.1
GS3_39.1,11.5
GS3_11.7,9.2
GS3_68.4,10.1
GS3_54.6,10.8
GS3_12.10,9.9
GS3_196.8,11.6
GS3_68.10,10.6
GS3_196.5,9.4
GS3_183.8,10.7
GS3_196.1,9.2
GS3_158.1,12
GS3_196.9,9.2
GS3_68.7,9.5
GS3_68.8,10.2
GS3_196.7,9.5
GS3_39.4,11.2
GS3_68.9,10
GS3_12.9,10
GS3_226.7,11.7
GS3_212.2,7
GS3_212.3,10
GS3_221.10,8.6
GS3_129.5,12.5
GS3_105.7,11.6
GS3_216.4,9.9
GS3_97.4,8.1
GS3_137.1,10.5
GS3_105.3,11.7
GS3_105.8,10
GS3_137.8,10
GS3_138.5,9.9
GS3_136.9,8.9
GS3_105.5,10.1
GS3_221.1,8.4
GS3_138.2,9.5
GS3_137.7,10.5
GS3_216.1,9.5
GS3_97.10,12.1
GS3_212.10,9
GS3_137.6,11
GS3_80.2,10.8
GS3_100.6,8.9
GS3_97.7,9.2
GS3_138.6,9.2
GS3_97.3,11.1
GS3_97.1,9.6
GS3_138.9,9.5
GS3_214.1,10
GS3_97.8,11.2
GS3_99.9,9.5
GS3_120.7,9.4
GS3_137.2,11.1
GS3_97.9,9.7
GS3_120.1,9.6
GS3_129.7,12.2
GS3_138.4,8.6
GS3_142.2,9.9
GS3_105.4,10.8
GS3_137.3,9.9
GS3_212.1,9.6
GS3_221.4,8.6
GS3_226.5,11.8
GS3_226.9,11.8
GS3_97.2,8.4
GS3_221.8,9.8
GS3_129.1,11.4
GS3_136.4,9.3
GS3_105.2,9.3
GS3_129.3,11.3
GS3_120.5,10
GS3_129.4,11.7
GS3_120.3,9.9
GS3_186.7,10.2
GS3_129.2,13
GS3_129.8,13.1
GS3_129.6,12.8
GS3_22.3,11.1
GS3_22.2,10.3
GS3_22.10,11.1
GS3_65.9,10.3
GS3_22.1,11.4
GS3_204.3,8.9
GS3_179.7,11.7
GS3_204.2,10.3
GS3_204.8,9.9
GS3_179.5,9.9
