FruitID,Wet
GS3_8.5,10.02
GS3_29.8,12.18
GS3_8.2,10.8
GS3_8.4,9.23
GS3_8.1,12.93
GS3_8.3,7.92
GS3_29.9,12.4
GS3_55.1,12.37
GS3_55.3,12.19
GS3_29.3,11.03
GS3_29.7,10.46
GS3_19.4,12.26
GS3_55.7,11.77
GS3_29.4,11.75
GS3_2.9,10.66
GS3_19.2,11.31
GS3_29.6,12.04
GS3_19.1,12
GS3_55.6,12.03
GS3_29.5,11.26
GS3_55.5,11.82
GS3_19.3,11.4
GS3_14.9,11.71
GS3_55.10,13.02
GS3_14.3,13.12
GS3_76.2,11.54
GS3_76.6,12.72
GS3_76.8,13.56
GS3_14.2,11.41
GS3_76.9,12.15
GS3_76.7,11.63
GS3_76.10,12.29
GS3_55.8,11.93
GS3_76.5,11.12
GS3_2.8,13.39
GS3_55.9,11.95
GS3_2.7,12.99
GS3_76.3,11
GS3_55.2,12.02
GS3_76.4,12.56
GS3_55.4,12.36
GS3_2.3,12.12
GS3_29.2,10.57
GS3_2.2,11.32
GS3_2.5,11.11
GS3_2.6,12.5
GS3_14.5,10.65
GS3_14.8,10.31
GS3_14.7,11.41
GS3_14.6,12.3
GS3_14.4,10.99
GS3_2.4,13.03
GS3_30.7,11.39
GS3_30.9,13.24
GS3_30.8,12.41
GS3_30.2,13.78
GS3_30.4,14.94
GS3_30.6,11.32
GS3_31.3,14.21
GS3_31.4,14.02
GS3_30.10,12.24
GS3_30.5,13.26
GS3_31.5,11.98
GS3_30.1,13.79
GS3_30.3,13.68
GS3_31.6,12.82
GS3_31.2,13.81
GS3_31.1,14.23
GS3_9.1,12.55
GS3_9.3,13.35
GS3_9.5,13.47
GS3_9.2,12.98
GS3_9.4,11.26
GS3_25.3,12.55
GS3_25.4,14.64
GS3_25.5,12.9
GS3_25.10,11.95
GS3_25.9,14.5
GS3_9.8,14.01
GS3_9.6,13.98
GS3_25.2,13.8
GS3_9.7,12.78
GS3_25.1,11.76
GS3_9.9,13.17
GS3_9.10,13.09
GS3_25.8,13.29
GS3_25.7,13.62
GS3_25.6,13.05
GS3_174.3,9.98
GS3_174.4,12.24
GS3_174.7,10.53
GS3_174.1,10.64
GS3_203.8,12.81
GS3_174.5,10.21
GS3_174.10,10.82
GS3_174.9,10.43
GS3_171.2,12.04
GS3_174.6,11.3
GS3_203.7,10.92
GS3_174.2,10.33
GS3_171.6,11.45
GS3_47.3,10.85
GS3_174.8,10.07
GS3_171.4,11.95
GS3_171.3,11.53
GS3_47.7,11.45
GS3_171.5,11.07
GS3_47.6,12.58
GS3_171.1,12.64
GS3_47.10,11.87
GS3_156.2,11.78
GS3_47.8,11.68
GS3_156.3,12.39
GS3_151.7,11.81
GS3_217.1,11.82
GS3_85.8,10.14
GS3_151.8,11.87
GS3_85.3,11.44
GS3_151.2,10.69
GS3_151.10,11.1
GS3_85.9,10.19
GS3_85.10,10.55
GS3_217.5,10.15
GS3_151.9,10.06
GS3_203.2,11.49
GS3_217.4,10.67
GS3_151.6,11.99
GS3_85.5,10.91
GS3_203.3,10.01
GS3_217.9,10.53
GS3_217.8,10.69
GS3_217.10,11.8
GS3_47.4,11.17
GS3_217.6,10.31
GS3_21.2,10.91
GS3_47.2,10.16
GS3_47.9,10.36
GS3_217.2,10.12
GS3_21.1,10.72
GS3_21.5,12.12
GS3_47.5,11.89
GS3_85.6,11.34
GS3_21.6,10.41
GS3_21.4,11.18
GS3_47.1,11.41
GS3_21.7,13
GS3_21.3,12.04
GS3_21.10,11.36
GS3_217.7,11.42
GS3_156.1,10.95
GS3_203.4,11.85
