FruitID,Weight,Length,Width,Ripeness,X,Y,Z
GS3_37.1,580,13.5,10,ripeness,38.991,33.109,3.764
GS3_37.2,382.1,13,7,ripeness,42.454,35.512,3.933
GS3_37.3,714.4,16.5,11.5,ripeness,42.867,36.009,3.775
GS3_37.4,625.6,15,9,ripeness,41.546,33.912,3.975
GS3_37.5,292.6,12,6.5,ripeness,42.569,35.491,4.232
GS3_37.6,525,14,8,ripeness,43.738,36.715,4.942
GS3_37.7,442,14.5,7.5,ripeness,43.149,35.934,4.023
GS3_37.8,605.5,14.5,9,ripeness,42.501,35.376,3.591
GS3_37.9,556.9,15.5,7.5,Quarter,43.906,36.41,4.315
GS3_17.1,847.1,15,10,Quarter,42.545,36.532,4.705
GS3_17.2,706.7,14.5,10,ripeness,46.831,42.261,5.191
GS3_17.3,768.2,15.5,9.5,ripeness,43.658,38.211,5.751
GS3_17.4,840.9,17.5,10.5,Quarter,45.271,40.915,5.601
GS3_17.5,825.6,17,9.5,ripeness,44.519,38.837,5.514
GS3_17.6,559.9,14,8.5,ripeness,44.347,38.064,4.557
GS3_17.7,527.5,14,8.5,ripeness,44.413,39.348,5.668
GS3_17.8,554.1,16,9,ripeness,41.153,35.975,5.217
GS3_16.1,579.5,14,8.5,ripeness,40.692,35.109,4.313
GS3_16.2,557.8,13.5,9,ripeness,40.109,34.491,3.996
GS3_16.3,481.8,14.5,8,ripeness,43.253,37.671,4.627
GS3_16.5,526.9,14,8.5,ripeness,41.369,35.96,4.247
GS3_16.4,430.6,14.5,8.5,ripeness,40.177,34.718,4.084
GS3_16.6,492.4,12,9,ripeness,40.753,35.336,4.068
GS3_16.7,366.2,11.5,8,ripeness,41.027,35.406,4.257
GS3_16.8,455,13,8.5,ripeness,40.642,35.227,4.367
GS3_16.9,418.7,13,8,ripeness,39.536,34.359,4.346
GS3_16.10,492.4,12.5,9,ripeness,41.806,36.445,5.547
GS3_13.1,542.5,15.5,9,ripeness,41.426,35.942,4.599
GS3_13.2,628.5,16.5,9,ripeness,39.151,33.962,4.901
GS3_13.3,523.4,13.5,10,ripeness,42.931,38.042,6.721
GS3_13.4,618.2,14,9,ripeness,42.387,36.073,4.6
GS3_13.5,509.9,13.5,8.5,ripeness,40.759,35.231,4.825
GS3_13.6,458.5,14.5,8,ripeness,41.128,35.512,4.377
GS3_13.7,533.4,15.5,8,ripeness,41.136,35.207,4.988
GS3_13.8,576.3,16.5,9,ripeness,44.209,38.736,5.926
GS3_13.9,446.4,13.5,7.5,ripeness,42.057,36.61,5.945
GS3_13.10,795.8,14,10,ripeness,42.951,37.213,5.3
GS3_34.1,785.7,17.5,10,Quarter,45.905,40.656,5.209
GS3_34.2,599.2,15,9,Quarter,46.375,41.47,5.698
GS3_34.3,634.7,16,8.5,ripeness,46.415,41.216,6
GS3_34.4,926.7,18.5,10.5,ripeness,45.699,39.657,5.142
GS3_34.5,693.5,17,8.5,ripeness,45.812,40.75,6.403
GS3_34.6,676.8,16.5,9,ripeness,46.669,42.003,6.488
GS3_34.7,726.2,16.5,9,Quarter,45.518,40.492,5.326
GS3_34.8,556.8,16,7.5,ripeness,42.307,36.051,4.901
GS3_34.9,556.3,15.5,8.5,ripeness,42.033,37.469,4.976
GS3_34.10,734,18,9,ripeness,42.949,37.049,4.491
GS3_81.1,744.8,18.5,10,ripeness,40.434,34.678,4.322
GS3_81.2,688.2,17,9.5,ripeness,37.963,33.613,4.865
GS3_81.3,781.9,17,NA,ripeness,40.379,34.861,5.565
GS3_81.4,658.6,17.5,9.5,ripeness,40.528,35.538,4.553
GS3_81.5,809.6,18.5,8.5,ripeness,42.971,38.097,5.936
GS3_81.6,736.3,17,9.5,ripeness,42.109,36.356,5.807
GS3_81.7,1061.2,19.5,10.5,ripeness,44.135,39.343,6.763
GS3_81.8,545.7,15.5,9,ripeness,38.838,33.095,4.419
GS3_81.9,594.5,16.5,9,ripeness,42.391,37.411,5.258
GS3_81.10,845.8,18,10,ripeness,40.612,35.123,5.366
GS3_168.1,466,15,8.5,ripeness,43.537,37.625,5.126
GS3_168.2,645.9,16,9,ripeness,41.124,35.104,4.731
GS3_168.3,336.8,13.5,8,ripeness,39.854,33.795,3.921
GS3_168.4,472.8,15.5,8,ripeness,40.186,34.787,4.312
GS3_168.5,682.2,15.5,9.5,ripeness,40.193,34.326,4.991
GS3_168.6,485.8,15.5,8.5,ripeness,41.194,36.01,4.395
GS3_168.7,353.5,11.5,8.5,ripeness,50.171,46.589,7.908
GS3_168.8,434.7,14,8.5,ripeness,41.771,35.335,4.541
GS3_168.9,455.9,13.5,8,ripeness,40.671,34.317,4.703
GS3_176.1,603.8,15,9,ripeness,45.485,40.436,7.015
GS3_176.2,795.7,19,9.5,ripeness,45.157,40.204,7.391
GS3_176.3,587.5,14,8.5,ripeness,48.508,43.521,9.745
GS3_176.4,516.7,17,7.5,ripeness,44.928,38.709,5.344
GS3_176.5,414.1,13,8,ripeness,46.312,41.041,8.37
GS3_176.6,623.7,18,9,ripeness,45.455,39.41,6.479
GS3_176.7,432.1,15,8,ripeness,48.036,43.087,8.44
GS3_176.8,803.6,17.5,9,ripeness,44.041,38.258,6.164
