FruitID,Wet,Wet_date
GS1_14.03,14.32,1
GS1_14.01,15.72,1
GS1_14.06,14.01,1
GS1_62.04,16.22,1
GS1_14.02,14.56,1
GS1_14.04,14.39,1
GS1_14.05,14.38,1
GS1_62.05,14.69,1
GS1_62.03,14.54,1
GS1_62.02,15.5,1
GS1_62.06,15.26,1
GS1_62.01,14.86,1
GS1_78.06,15.15,1
GS1_78.05,15.38,1
GS1_78.04,14.99,1
GS1_78.02,14.61,1
GS1_78.01,14.13,1
GS1_78.03,14,1
GS1_135.05,15.29,1
GS1_80.03,15.71,1
GS1_135.06,16.07,1
GS1_135.01,15.62,1
GS1_80.05,14.53,1
GS1_135.04,15.38,1
GS1_80.01,16,1
GS1_80.02,14.66,1
GS1_135.02,16.38,1
GS1_135.03,14.98,1
GS1_80.04,15.76,1
GS1_80.06,14.33,1
GS1_77.03,15.98,1
GS1_77.01,15.12,1
GS1_77.02,11.32,1
GS1_154.06,15.89,1
GS1_154.05,14.59,1
GS1_154.02,15.74,1
GS1_154.01,15.97,1
GS1_154.04,15.51,1
GS1_126.01,15.29,1
GS1_126.02,15.9,1
GS1_126.06,16.58,1
GS1_154.03,15.56,1
GS1_126.04,14.56,1
GS1_126.05,14.09,1
GS1_166.05,16.11,1
GS1_166.03,16.63,1
GS1_77.05,15.71,1
GS1_126.03,15.19,1
GS1_166.06,14.61,1
GS1_77.04,15.68,1
GS1_77.06,16.63,1
GS1_166.04,14.72,1
GS1_166.01,16.87,1
GS1_166.02,14.89,1
GS1_51.06,14.77,1
GS1_125.05,14.71,1
GS1_51.04,13.19,1
GS1_51.03,14.1,1
GS1_125.03,15.36,1
GS1_125.06,15.01,1
GS1_184.04,14.85,1
GS1_51.02,14.29,1
GS1_125.04,14.85,1
GS1_184.05,15.69,1
GS1_184.06,15.83,1
GS1_125.01,15.29,1
GS1_51.05,15.4,1
GS1_51.01,15.06,1
GS1_125.02,14.8,1
GS1_105.01,14.58,1
GS1_105.02,14.44,1
GS1_105.05,14.5,1
GS1_105.03,14.63,1
GS1_112.01,16.17,1
GS1_112.02,14.8,1
GS1_105.06,15.99,1
GS1_112.03,15.43,1
GS1_105.04,15.21,1
GS1_184.03,16,1
GS1_184.02,13.99,1
GS1_112.04,16.2,1
GS1_184.01,14.5,1
GS1_112.06,15.82,1
GS1_112.05,14.1,1
GS1_139.06,14.19,1
GS1_24.04,15.24,1
GS1_24.02,15.98,1
GS1_24.06,16.08,1
GS1_30.03,14.7,1
GS1_24.03,14.92,1
GS1_139.02,15.57,1
GS1_139.05,16.15,1
GS1_30.06,16.02,1
GS1_90.04,14.54,1
GS1_90.01,14.79,1
GS1_139.01,14.32,1
GS1_90.06,15.05,1
GS1_139.04,15.85,1
GS1_139.03,15.82,1
GS1_90.05,16.22,1
GS1_90.02,16.02,1
GS1_90.03,14.81,1
GS1_30.05,14.23,1
GS1_30.02,16.44,1
GS1_30.04,16.96,1
GS1_30.01,14.54,1
GS1_84.06,15.15,1
GS1_24.01,14.76,1
GS1_24.05,15.16,1
GS1_160.4,13.77,1
GS1_160.5,14.59,1
GS1_160.2,14.86,1
GS1_160.1,16.2,1
GS1_160.3,14.97,1
GS1_160.6,15.24,1
GS1_84.02,15.88,1
GS1_84.05,15.99,1
GS1_84.01,15.25,1
GS1_29.06,16.04,1
GS1_84.04,15.49,1
GS1_29.03,15.12,1
GS1_29.05,15.62,1
GS1_29.04,15.7,1
GS1_29.02,14.7,1
GS1_84.03,16.3,1
GS1_155.05,15.52,1
GS1_155.06,15.53,1
GS1_29.01,14.63,1
GS1_155.01,16.52,1
GS1_155.03,16.13,1
GS1_155.04,16.08,1
GS1_180.6,14.48,1
GS1_180.5,14.67,1
GS1_155.02,16.39,1
GS1_180.2,16.21,1
GS1_180.1,14.62,1
GS1_180.4,14.49,1
GS1_180.3,14.32,1
GS1_208.03,14.32,2
GS1_208.02,14.02,2
GS1_173.06,15.99,2
GS1_173.02,14.07,2
GS1_208.04,15.69,2
GS1_173.05,13.08,2
GS1_208.06,15.66,2
GS1_173.03,14.41,2
GS1_208.05,14.76,2
GS1_173.01,14.9,2
GS1_208.01,14.62,2
GS1_173.04,13.89,2
GS1_194.02,15.24,2
GS1_194.01,14.6,2
GS1_194.05,16.09,2
GS1_194.06,15.6,2
GS1_194.04,14.97,2
GS1_194.03,14.5,2
GS1_177.04,15.28,2
GS1_177.05,16.4,2
GS1_177.06,15.56,2
GS1_177.01,15.2,2
GS1_177.03,15.45,2
GS1_178.06,15.47,2
GS1_178.02,16.07,2
GS1_178.04,16.03,2
GS1_178.01,14.37,2
GS1_177.02,14.58,2
GS1_178.03,15.19,2
GS1_131.01,14.52,2
GS1_178.05,16.2,2
GS1_131.03,15.96,2
GS1_131.04,15.24,2
GS1_131.02,15.87,2
GS1_131.05,14.42,2
GS1_131.06,15.12,2
GS1_186.04,16.21,2
GS1_107.06,15.45,2
GS1_186.06,15.6,2
GS1_186.05,14.98,2
GS1_186.01,15.32,2
GS1_186.02,14.76,2
GS1_186.03,15.91,2
GS1_102.03,15.87,2
GS1_102.04,14.65,2
GS1_179.05,15.82,2
GS1_102.05,16.12,2
GS1_179.01,15.73,2
GS1_179.06,16.03,2
GS1_102.06,14.95,2
GS1_179.03,15.92,2
GS1_102.01,14.14,2
GS1_179.02,16.4,2
GS1_102.02,15.72,2
