FruitID,Dry,Dry_date,FruitID,Wet,Wet_date
GS1_1.01,2.52,6,GS1_1.01,14.1,4
GS1_1.02,1.98,6,GS1_1.02,12.8,4
GS1_1.03,2.88,6,GS1_1.03,14.15,4
GS1_1.04,2.26,6,GS1_1.04,14.16,4
GS1_1.05,3.36,6,GS1_1.05,14.82,4
GS1_1.06,2.82,6,GS1_1.06,16.06,4
GS1_10.01,2,3,GS1_10.01,13.09,2
GS1_10.02,2.13,3,GS1_10.02,15.5,2
GS1_10.03,1.96,3,GS1_10.03,15.52,2
GS1_10.04,1.92,3,GS1_10.04,15.58,2
GS1_10.05,2.1,3,GS1_10.05,15.37,2
GS1_10.06,1.77,3,GS1_10.06,15.56,2
GS1_100.01,2,11,GS1_100.01,15.04,10
GS1_100.02,1.59,11,GS1_100.02,12.92,10
GS1_100.03,1.99,11,GS1_100.03,14.32,10
GS1_100.04,2.49,11,GS1_100.04,16.38,10
GS1_100.05,2.26,11,GS1_100.05,16.46,10
GS1_100.06,1.96,11,GS1_100.06,15.4,10
GS1_101.01,2.6,10,GS1_101.01,15.74,9
GS1_101.02,2.22,10,GS1_101.02,13.78,9
GS1_101.03,2.54,10,GS1_101.03,16.51,9
GS1_101.04,2.57,10,GS1_101.04,15.33,9
GS1_101.05,2.26,10,GS1_101.05,14.13,9
GS1_101.06,2.19,10,GS1_101.06,14.5,9
GS1_102.01,2.09,2,GS1_102.01,14.14,2
GS1_102.02,2.58,2,GS1_102.02,15.72,2
GS1_102.03,2.32,2,GS1_102.03,15.87,2
GS1_102.04,3.05,2,GS1_102.04,14.65,2
GS1_102.05,2.4,2,GS1_102.05,16.12,2
GS1_102.06,2.49,2,GS1_102.06,14.95,2
GS1_103.01,2.85,6,GS1_103.01,15.66,4
GS1_103.02,1.92,6,GS1_103.02,14.41,4
GS1_103.03,2.02,6,GS1_103.03,14.21,4
GS1_103.04,2.33,6,GS1_103.04,14.9,4
GS1_103.05,2.11,6,GS1_103.05,14.17,4
GS1_103.06,2.42,6,GS1_103.06,15.79,4
GS1_104.01,2.49,10,GS1_104.01,14.82,9
GS1_104.02,2.23,10,GS1_104.02,15.19,9
GS1_104.03,1.96,10,GS1_104.03,15.79,9
GS1_104.04,2.15,10,GS1_104.04,15.69,9
GS1_104.05,2.41,10,GS1_104.05,14.47,9
GS1_104.06,1.8,10,GS1_104.06,15.46,9
GS1_105.01,2.35,1,GS1_105.01,14.58,1
GS1_105.02,1.76,1,GS1_105.02,14.44,1
GS1_105.03,2.45,1,GS1_105.03,14.63,1
GS1_105.04,2.36,1,GS1_105.04,15.21,1
GS1_105.05,2.37,1,GS1_105.05,14.5,1
GS1_105.06,2.27,1,GS1_105.06,15.99,1
GS1_106.01,1.94,5,GS1_106.01,14.22,4
GS1_106.02,1.95,5,GS1_106.02,14.96,4
GS1_106.03,1.92,5,GS1_106.03,15.64,4
GS1_106.04,1.94,5,GS1_106.04,16.27,4
GS1_107.01,2.25,2,GS1_107.01,16.38,2
GS1_107.02,1.89,2,GS1_107.02,15.85,2
GS1_107.03,1.71,2,GS1_107.03,16.09,2
GS1_107.04,2.19,2,GS1_107.04,16.08,2
GS1_107.05,1.71,2,GS1_107.05,14.45,2
GS1_107.06,1.75,2,GS1_107.06,15.45,2
GS1_108.01,2.2,5,GS1_108.01,14.75,4
GS1_108.02,1.96,5,GS1_108.02,14.55,4
GS1_108.03,2.33,5,GS1_108.03,15.3,4
GS1_108.04,2.55,5,GS1_108.04,16.33,4
GS1_108.05,2.18,5,GS1_108.05,14.72,4
GS1_108.06,2.13,5,GS1_108.06,14.9,4
GS1_109.01,2.57,12,GS1_109.01,15.66,12
GS1_109.02,2,12,GS1_109.02,15.1,12
GS1_109.03,1.85,12,GS1_109.03,15.01,12
GS1_109.04,1.97,12,GS1_109.04,15.1,12
GS1_109.05,2.21,12,GS1_109.05,15.11,12
GS1_109.06,1.77,12,GS1_109.06,14.89,12
GS1_11.01,2.3,9,GS1_11.01,14.74,8
GS1_11.02,2.48,9,GS1_11.02,16.02,8
GS1_11.03,2.19,9,GS1_11.03,14.84,8
GS1_11.04,2.5,9,GS1_11.04,14.62,8
GS1_11.05,2.28,9,GS1_11.05,15.02,8
GS1_11.06,2.35,9,GS1_11.06,14.36,8
GS1_110.01,2.13,10,GS1_110.01,16.04,9
GS1_110.02,2.16,10,GS1_110.02,15.29,9
GS1_110.03,2.4,10,GS1_110.03,15.21,9
GS1_110.04,1.59,10,GS1_110.04,15.25,9
GS1_110.05,1.88,10,GS1_110.05,14.9,9
GS1_110.06,2.53,10,GS1_110.06,15.66,9
GS1_111.01,1.87,6,GS1_111.01,14.25,5
GS1_111.02,2.16,6,GS1_111.02,16.12,5
GS1_111.03,1.94,6,GS1_111.03,15.45,5
GS1_111.04,1.87,6,GS1_111.04,15.63,5
GS1_111.05,2.2,6,GS1_111.05,15.19,5
GS1_111.06,2.05,6,GS1_111.06,14.68,5
GS1_112.01,2.23,1,GS1_112.01,16.17,1
GS1_112.02,2,1,GS1_112.02,14.8,1
GS1_112.03,2.03,1,GS1_112.03,15.43,1
GS1_112.04,2.41,1,GS1_112.04,16.2,1
GS1_112.05,1.95,1,GS1_112.05,14.1,1
GS1_112.06,2.07,1,GS1_112.06,15.82,1
GS1_113.01,2.64,3,GS1_113.01,16.51,2
GS1_113.02,2.34,3,GS1_113.02,14.62,2
GS1_113.03,2.63,3,GS1_113.03,16.43,2
GS1_113.04,2.6,3,GS1_113.04,16.98,2
GS1_113.05,2.5,3,GS1_113.05,15.31,2
