Gid,TotalFruitCount,TotalWeightKg
GS1_1,24,9.17
GS1_2,18,16.04
GS1_3,11,5.92
GS1_4,22,14.71
GS1_5,17,12.43
GS1_6,20,13.83
GS1_7,26,16.84
GS1_8,16,16.31
GS1_9,22,11.76
GS1_10,28,19.67
GS1_11,12,9.09
GS1_12,16,11.15
GS1_13,14,10.05
GS1_14,15,11.83
GS1_15,11,7.03
GS1_16,24,14.28
GS1_17,17,11.35
GS1_18,21,13.61
GS1_19,16,11.09
GS1_20,14,10.78
GS1_21,12,10.99
GS1_22,25,15.28
GS1_23,13,11.36
GS1_24,11,13.47
GS1_25,10,7.06
GS1_26,16,9.43
GS1_27,13,10.26
GS1_28,15,11.02
GS1_29,14,8.48
GS1_30,18,13.32
GS1_31,19,8.82
GS1_32,18,12.18
GS1_33,13,9.24
GS1_34,13,9.75
GS1_35,19,9.82
GS1_36,11,6.67
GS1_37,7,3.69
GS1_38,11,8.41
GS1_39,11,4.39
GS1_40,15,6.53
GS1_41,33,18.08
GS1_42,39,18.45
GS1_43,26,18.95
GS1_44,11,8.16
GS1_45,17,12.45
GS1_46,19,11.64
GS1_47,13,7.63
GS1_48,9,6.92
GS1_49,6,4.54
GS1_50,20,8.41
GS1_51,17,10.24
GS1_52,11,8.59
GS1_53,12,9.32
GS1_54,19,13.07
GS1_55,16,6.59
GS1_56,23,15.43
GS1_57,11,8.21
GS1_58,20,9.87
GS1_59,19,11.54
GS1_60,11,8.58
GS1_61,11,10.81
GS1_62,11,8.83
GS1_63,10,10.56
GS1_64,14,16.38
GS1_65,13,8.35
GS1_66,18,12.96
GS1_67,13,12.37
GS1_68,16,10.2
GS1_69,15,12.02
GS1_70,18,15.13
GS1_71,17,8.15
GS1_72,18,9.77
GS1_73,14,10.44
GS1_74,18,12.25
GS1_75,14,9.96
GS1_76,28,15.69
GS1_77,9,8.9
GS1_78,22,16.34
GS1_79,19,10.28
GS1_80,16,10.1
GS1_81,13,9.14
GS1_82,19,10.5
GS1_83,17,9.09
GS1_84,29,22.65
GS1_85,21,22.42
GS1_86,9,5.55
GS1_87,12,7.85
GS1_88,16,10.44
GS1_89,16,11.07
GS1_90,10,9.22
GS1_91,22,10.16
GS1_92,25,16.46
GS1_93,15,13.89
GS1_94,14,12.89
GS1_95,18,8.31
GS1_96,18,13.31
GS1_97,12,10.63
GS1_98,11,8.68
GS1_99,14,11.4
GS1_100,13,9.14
GS1_101,14,11.4
GS1_102,14,10.71
GS1_103,12,8.27
GS1_104,16,9.66
GS1_105,14,10.45
GS1_106,7,7.37
GS1_107,13,9.24
GS1_108,15,9.58
GS1_109,10,5.91
GS1_110,8,7.96
GS1_111,12,6.46
GS1_112,13,8.63
GS1_113,17,8.49
GS1_114,15,9.13
GS1_115,4,3.51
GS1_116,12,10.41
GS1_117,9,5.9
GS1_118,10,6.86
GS1_119,8,4.68
GS1_120,6,4.94
GS1_121,9,4.94
GS1_122,11,3.98
GS1_123,8,3.85
GS1_124,6,2.77
GS1_125,9,6.84
GS1_126,20,14.04
GS1_127,18,9.76
GS1_128,8,2.75
GS1_129,8,3.41
GS1_130,12,6.11
GS1_131,8,4.55
GS1_132,14,6.26
GS1_133,17,10.66
GS1_134,10,6.68
GS1_135,13,8.73
GS1_136,20,8.56
GS1_137,13,10.36
GS1_138,13,9.58
GS1_139,11,8.53
GS1_140,9,7.94
GS1_141,15,9.75
GS1_142,12,8.93
GS1_143,16,10.77
GS1_144,10,8.54
GS1_145,13,8.24
GS1_146,17,13.53
GS1_147,17,11.19
GS1_148,10,6.76
GS1_149,13,8.15
GS1_150,13,11.4
GS1_151,14,12.58
GS1_152,15,8.7
GS1_153,19,11.81
GS1_154,14,12.64
GS1_155,21,9.88
GS1_156,15,7.26
GS1_157,9,5.71
GS1_158,13,12.06
GS1_159,21,9.69
GS1_160,20,10.19
GS1_161,17,7.77
GS1_162,19,9.4
GS1_163,17,7.58
GS1_164,12,5.6
GS1_165,16,8.67
GS1_166,14,9.12
GS1_167,18,14.63
GS1_168,22,12.6
GS1_169,34,23.62
GS1_170,32,29.84
GS1_171,35,17.99
GS1_172,18,11.34
GS1_173,29,14.79
GS1_174,11,8.94
GS1_175,19,10.53
GS1_176,24,14.96
GS1_177,28,15.79
GS1_178,18,10.84
GS1_179,17,10.45
GS1_180,24,14.63
GS1_181,16,8.43
GS1_182,13,12.51
GS1_183,16,12.05
GS1_184,10,8.37
GS1_185,22,14.04
GS1_186,20,12.29
GS1_187,12,6.71
GS1_188,6,3.84
GS1_189,18,12.12
GS1_190,26,12.98
GS1_191,5,3.37
GS1_192,20,14.52
GS1_193,13,9.26
GS1_194,13,8.75
GS1_195,13,8.41
GS1_196,20,9.47
GS1_197,16,11.5
GS1_198,14,9.57
GS1_199,7,5.59
GS1_200,16,15.63
GS1_201,22,9.89
GS1_202,15,12.58
GS1_203,11,7.24
GS1_204,10,7.68
GS1_205,14,7.82
GS1_206,9,5.35
GS1_207,13,8.39
GS1_208,9,5.5
GS1_209,10,6.07
GS1_210,8,5.86
GS1_211,10,2.89
GS1_212,27,12.46
