FruitID,Gid,Weight,Length,Width,Brix,DM,L,a,b
GS3.1_9.01,GS3.1_9,1046.8,16,10.5,10.5,14,64.9,26.3,71.4
GS3.1_9.02,GS3.1_9,940.6,15.5,10,10.3,14.7,63.8,24,69.9
GS3.1_9.03,GS3.1_9,849,14.5,9.5,11.3,15,64.7,24.7,68.4
GS3.1_9.04,GS3.1_9,818.3,15.5,9.5,10.7,15.6,63.6,21.3,68.4
GS3.1_174.01,GS3.1_174,727,17,9.5,11,16.2,63.1,23.4,73.3
GS3.1_174.02,GS3.1_174,849.4,18,10.5,10.8,12.2,63.4,23.3,71.5
GS3.1_174.03,GS3.1_174,874.9,17,10,10,14.8,63.2,24.6,72.2
GS3.1_174.04,GS3.1_174,595.6,17,9.5,11.1,15.5,62.3,24.9,72.7
GS3.1_174.05,GS3.1_174,726.3,17,9,10.5,14.2,63.4,24.2,74.1
GS3.1_41.01,GS3.1_41,870.6,15,10.5,9.7,11.4,66,23.5,66.8
GS3.1_41.02,GS3.1_41,982.7,16.5,11,8.6,10.5,65.7,23.7,70.3
GS3.1_41.03,GS3.1_41,1094.3,17.5,11,9.4,11.1,67.5,23.4,68.1
GS3.1_41.04,GS3.1_41,835.4,14.5,10.5,9.1,10.8,67.2,22.4,66.6
GS3.1_120.01,GS3.1_120,840.9,17.5,9.5,13.3,15.9,65.1,21.1,62.8
GS3.1_120.02,GS3.1_120,936.8,18.5,10,11.4,16.2,66.5,20.8,69
GS3.1_120.03,GS3.1_120,1039.6,19,11,11.7,15.8,63.8,24.5,71.4
GS3.1_120.04,GS3.1_120,627.3,15,9,12.4,15.3,65.7,22.9,70.2
GS3.1_120.05,GS3.1_120,865.5,16.5,9.5,11.3,18.7,67.4,23.8,74.2
GS3.1_120.06,GS3.1_120,1028.5,20.5,10.5,8.7,16,63,23.8,71.5
GS3.1_65.01,GS3.1_65,585.6,15,9,7.3,10.3,70.5,18.8,64.4
GS3.1_65.02,GS3.1_65,574.4,16,8.5,10,14.2,68.7,17.8,65.4
GS3.1_65.03,GS3.1_65,513.9,14,8,10.5,15.6,69.6,18.6,68.1
GS3.1_65.04,GS3.1_65,713.7,16,9,9.2,12.1,70.2,16.3,64.2
GS3.1_65.05,GS3.1_65,548.5,15,9,10,15.4,68.5,17,66.8
GS3.1_65.06,GS3.1_65,568.8,14,8.5,12.3,15.6,68.4,20.3,67.8
GS3.1_122.01,GS3.1_122,653.8,13.5,9,12.1,14.4,66.8,24.1,72.8
GS3.1_122.02,GS3.1_122,781.6,14,10,10.5,13,65.7,24.2,73.8
GS3.1_122.03,GS3.1_122,603.9,13.5,9,11.2,12.8,66.4,21,69.3
GS3.1_122.04,GS3.1_122,764.3,12,10,11.6,15.9,66.9,21.1,70.5
GS3.1_122.05,GS3.1_122,855.8,14,10,11,16.1,66.5,24.3,74.2
GS3.1_122.06,GS3.1_122,803.3,15.5,9.5,10.3,14.8,64.8,21.7,68.8
GS3.1_4.01,GS3.1_4,732.4,15.5,8.5,11.7,15,63.9,27,74.6
GS3.1_4.02,GS3.1_4,704.7,15,9.5,12,13.3,62.2,26.5,73.9
GS3.1_4.03,GS3.1_4,849.2,15.5,9.5,12.9,15.6,66.5,25.2,72.2
GS3.1_4.04,GS3.1_4,879.1,15.5,9.5,11.4,13.4,65,24.7,73.2
GS3.1_4.05,GS3.1_4,726.7,15,9,11.2,14,63,25.2,74.2
GS3.1_4.06,GS3.1_4,883.9,16,10,10.6,13.6,64.1,25.2,73.6
GS3.1_136.01,GS3.1_136,849.4,15,10.5,10.2,12.1,67.8,23.6,67.2
GS3.1_136.02,GS3.1_136,900.4,14,10.5,10.6,12.8,68.9,22.6,70
GS3.1_136.03,GS3.1_136,942.9,14,10.5,10.3,10.9,70.4,21.7,62.6
GS3.1_136.04,GS3.1_136,682.1,13.5,10,12.1,14,68.3,22.7,63.9
GS3.1_136.05,GS3.1_136,853.1,14.5,9.5,10.8,12.7,67.5,22.3,67.9
GS3.1_136.06,GS3.1_136,688.6,13,10,10.3,11.8,68.2,21.9,61.2
GS3.1_42.01,GS3.1_42,850.9,14,10.5,11,14.5,68.3,21.2,67
GS3.1_42.02,GS3.1_42,1097.1,15.5,11,10.4,13.6,67,21.9,71.6
GS3.1_42.03,GS3.1_42,1250.4,15.5,11,11.4,12.4,65.5,22.8,71.2
GS3.1_42.04,GS3.1_42,1213.1,15.5,11,12.1,14.5,65.5,24,70.3
GS3.1_42.05,GS3.1_42,926.7,15,10.5,10.1,12.8,67.4,21.9,74.5
GS3.1_42.06,GS3.1_42,743.5,13,10.5,10.2,13.2,68.4,18.4,67.3
GS3.1_139.01,GS3.1_139,471.7,13.5,9,10.8,12.1,67.3,20.3,70.1
GS3.1_139.02,GS3.1_139,752.8,17,9.5,11.1,12.7,67.5,20.6,70.2
GS3.1_139.03,GS3.1_139,665.6,15,8.5,10.9,12.7,68.1,20.2,67.5
GS3.1_139.04,GS3.1_139,814.8,18.5,10,11.1,11.9,69.4,20.5,69.2
GS3.1_139.05,GS3.1_139,607.7,15,9,11.6,12.8,66.1,21.6,70.9
GS3.1_182.01,GS3.1_182,827.3,16.5,10,9.9,14.4,67.8,23,74.6
GS3.1_182.02,GS3.1_182,1111.2,16.5,11.5,7.6,14.6,66.2,23.1,72.5
GS3.1_182.03,GS3.1_182,896.7,15.5,11,10.9,16.1,67.1,20.6,73.1
GS3.1_182.04,GS3.1_182,927,16,10.5,12.4,18.9,67.3,23.9,74.8
GS3.1_182.05,GS3.1_182,835.1,16.5,10.5,8.3,12.4,65.3,21,71.8
GS3.1_182.06,GS3.1_182,883.6,16,10.5,9.7,13.8,67.4,21.8,72.9
GS3.1_63.01,GS3.1_63,1085.6,19.5,10.5,11.2,15.2,66.2,22.1,70.9
GS3.1_63.02,GS3.1_63,1005,19,10.5,10.8,14.5,67.2,24.2,73.3
GS3.1_63.03,GS3.1_63,1012.6,18.5,11,10.1,17.5,68.8,22,76.4
GS3.1_63.04,GS3.1_63,1160.7,18.5,11,10.4,17,71.1,19.2,72.1
GS3.1_63.05,GS3.1_63,556.3,16.5,9.5,11.5,19.2,70.2,22,72.9
GS3.1_63.06,GS3.1_63,981.6,20.5,10,10.4,15.7,67.4,23.4,75.8
GS3.1_47.01,GS3.1_47,900.1,16,9.5,9.4,11,69,18.6,61.1
GS3.1_47.02,GS3.1_47,733.7,16,10,8.8,10.9,68,18.8,60.1
GS3.1_47.03,GS3.1_47,819.2,16,9.5,9.7,11.2,68.3,17.6,60.3
GS3.1_6.01,GS3.1_6,772.4,17.5,9,10.4,11.2,65.8,23.4,68
GS3.1_6.02,GS3.1_6,877,18,10,9.9,11.9,65.2,22.7,68.5
GS3.1_6.03,GS3.1_6,1035,20,10.5,10.5,12.5,64.2,24.5,70.3
GS3.1_6.04,GS3.1_6,1294.6,19,11,8.7,9.9,66.4,22.2,65.9
GS3.1_6.05,GS3.1_6,1167.3,18.5,10.5,10.3,11.4,64.5,24,71
GS3.1_6.06,GS3.1_6,724.4,15,9.5,9.5,12,66,23.7,67.9
GS3.1_148.01,GS3.1_148,471.2,16,8.5,7,7.3,71.4,17.2,52.6
GS3.1_148.02,GS3.1_148,565.3,15,9.5,8.5,8.7,67.1,20.6,66.6
GS3.1_148.03,GS3.1_148,441.4,14.5,8,7.2,8.3,67.1,21.9,62.4
GS3.1_148.04,GS3.1_148,577.4,17,9,6.4,7.1,70.7,17.4,56.1
GS3.1_148.05,GS3.1_148,747.5,16.5,9.5,6.7,7.8,70.3,17.8,62.3
GS3.1_148.06,GS3.1_148,391.4,13.5,8,6.7,7.1,70.8,18.1,55.3
GS3.1_99.01,GS3.1_99,813.1,13.5,10.5,11,13.1,66.8,23.2,77.1
GS3.1_99.02,GS3.1_99,964.8,14.5,10,12.7,15.5,66.3,23.5,75.2
GS3.1_99.03,GS3.1_99,828.1,12.5,10.5,9.7,12.9,68.2,22.9,76.1
GS3.1_99.04,GS3.1_99,933.6,13.5,10.5,10.5,12.8,67.3,22,75.3
GS3.1_134.01,GS3.1_134,820.1,15.5,9,10.5,12.8,65.7,21.7,75.2
GS3.1_134.02,GS3.1_134,976.3,15.5,10.5,10.6,12.3,67.5,21.3,72
GS3.1_134.03,GS3.1_134,1222.8,18,11,10.9,14.3,66,19.8,73.5
GS3.1_134.04,GS3.1_134,787.5,16,10,11.5,15,65.9,21.1,71.8
GS3.1_39.01,GS3.1_39,769.3,14,10.5,9.6,10.6,67.3,22,68
GS3.1_39.02,GS3.1_39,849.3,16,10,8.8,8.5,68.7,21.8,65.9
GS3.1_39.03,GS3.1_39,623,17,9,10.1,11.1,64.7,24,71.4
GS3.1_39.04,GS3.1_39,535.9,13.5,8,11.7,12.5,63,27.1,72.5
GS3.1_38.01,GS3.1_38,1444.9,17.5,11.5,12.3,14.8,67.7,24.4,74
GS3.1_38.02,GS3.1_38,870.1,15.5,10,12.4,14.1,67.6,22.1,74.3
GS3.1_38.03,GS3.1_38,825.6,14,10.5,12.1,14.3,69.8,21.1,73.5
GS3.1_38.04,GS3.1_38,608.7,12.5,9.5,12.4,15.7,69.7,20.3,73.9
GS3.1_43.03,GS3.1_43,653.2,15.5,9,9.5,10.5,66.1,22.8,69.9
GS3.1_43.02,GS3.1_43,976.3,19,10,9.8,10.2,66.6,23.7,68.5
GS3.1_43.01,GS3.1_43,978.8,18.5,9.5,10.7,11.2,66.4,23.4,66.3
GS3.1_127.01,GS3.1_127,900.5,18,10.5,11.9,15.4,65.3,25.3,69.7
GS3.1_127.02,GS3.1_127,850.3,16.5,10.5,11.5,13.6,67,22.5,67.6
GS3.1_127.03,GS3.1_127,1186.2,18,11.5,11.1,13.4,69.6,23,69.7
GS3.1_112.01,GS3.1_112,750.3,15,9.5,9.9,14.2,67.9,21.4,71.8
GS3.1_112.02,GS3.1_112,808,14.5,9.5,11.6,12.5,69.1,20.8,64.9
GS3.1_112.03,GS3.1_112,707.2,14.5,10,9.4,13.1,68.4,17.6,65.5
GS3.1_112.04,GS3.1_112,723.7,14,9,11.7,14.7,68.5,19.9,66.8
GS3.1_112.05,GS3.1_112,514.3,15,8.5,11.9,14.9,65.6,23.6,71.6
GS3.1_112.06,GS3.1_112,768.9,15,9,11,12.3,67.9,21.5,67.7
GS3.1_90.01,GS3.1_90,672.8,15,10,10.1,14,67.2,20.3,65.3
GS3.1_90.02,GS3.1_90,585.2,15.5,9,9.2,13.5,69.3,21.4,65.3
GS3.1_36.01,GS3.1_36,632.9,14.5,9.5,12.1,17.9,62.5,24.5,71
GS3.1_36.02,GS3.1_36,800.4,14.5,10.5,12,16.5,63.4,22,69.5
GS3.1_36.03,GS3.1_36,795.5,14.5,9.5,11.4,14.1,63.8,25.6,68.8
GS3.1_36.04,GS3.1_36,691.4,14.5,9,12.7,16.9,63.9,25.7,72.6
GS3.1_36.05,GS3.1_36,798.9,14.5,9.5,11.9,14.2,61.8,24.5,69.5
GS3.1_36.06,GS3.1_36,897,15,11,11.6,15.6,65.3,24.5,72
GS3.1_1.01,GS3.1_1,962.3,21,10,9.7,10.7,64,24.3,72.4
GS3.1_1.02,GS3.1_1,621.9,19,9,10.8,14.3,66,24.7,73.1
GS3.1_1.03,GS3.1_1,719,16.5,9,9.2,11.6,65.5,23.7,72.4
GS3.1_1.04,GS3.1_1,928.2,19,10,9.7,12,66.2,22.6,69.3
GS3.1_3.01,GS3.1_3,983.9,15.5,11,9.7,14,68.1,20.8,70.8
GS3.1_3.02,GS3.1_3,739.8,14.5,10,8.4,11.4,70.1,19.4,66.4
GS3.1_3.03,GS3.1_3,826.6,15.5,10.5,10.2,12.3,68.7,18.3,65.4
GS3.1_3.04,GS3.1_3,554.2,13.5,8.5,10.1,12.4,66.9,20.6,70.5
GS3.1_3.05,GS3.1_3,857.3,16,10,9.5,10.5,68,19.6,68.4
GS3.1_3.06,GS3.1_3,735.9,16.5,9.5,10,11.6,69.5,18.6,63.3
GS3.1_113.01,GS3.1_113,970.9,16.5,11,10.7,14.1,65.7,22.9,70.3
GS3.1_113.02,GS3.1_113,1100.1,16,11.5,10.9,15.8,68.9,22.3,73.5
GS3.1_113.03,GS3.1_113,707.5,16,9.5,11.7,12.5,67,23.5,70.8
GS3.1_113.04,GS3.1_113,728,15,10,11.5,16.6,70.5,20.5,68.2
GS3.1_113.05,GS3.1_113,624.9,14.5,9,10.9,14.9,66.8,22.9,68.7
GS3.1_113.06,GS3.1_113,576,14,9.5,11.4,14.9,69,21.5,66.4
GS3.1_95.01,GS3.1_95,678.6,15.5,9,10.6,12.5,70.2,18.7,66.4
GS3.1_95.02,GS3.1_95,1088.6,17.5,11,10.6,11.7,69.2,18,65.5
GS3.1_145.01,GS3.1_145,975.1,15.5,10.5,8.8,9.1,70.3,20.2,63.3
GS3.1_145.02,GS3.1_145,566,13,9,10.9,13.8,67.3,21.5,68.9
GS3.1_145.03,GS3.1_145,611.8,15,9,8.4,10.6,67.4,22.2,69.7
GS3.1_145.04,GS3.1_145,704.1,16,9.5,11.5,15.3,65.8,22.2,72.5
GS3.1_145.05,GS3.1_145,422.9,12.5,8.5,10.2,12.3,67.3,20.3,69.7
GS3.1_145.06,GS3.1_145,681.6,14.5,10,10,10.3,66.2,21.7,65.8
GS3.1_88.01,GS3.1_88,861.7,16,11,11.7,15.8,64.3,23,73.9
GS3.1_88.02,GS3.1_88,1275.7,16.5,11.5,10.9,14.6,66.7,22.5,73.7
GS3.1_88.03,GS3.1_88,623,14,9.5,11.3,15.3,60.8,21.8,69.7
GS3.1_88.04,GS3.1_88,839,14.5,10.5,11.5,14.7,64.5,23.4,69.7
GS3.1_88.05,GS3.1_88,709.3,14.5,9.5,11.8,15.8,65.7,21.3,71.2
GS3.1_88.06,GS3.1_88,889.5,15,11,11,16.5,65.5,23.3,73.5
GS3.1_37.01,GS3.1_37,1379.2,18,12,9.8,11.3,66.3,23.7,71.5
GS3.1_37.02,GS3.1_37,1229.2,18.5,12,9.9,12.1,66.9,22.7,73.4
GS3.1_37.03,GS3.1_37,1276.2,18,12,10.2,13.1,67.2,22,74.4
GS3.1_94.01,GS3.1_94,734.2,16.5,10,10.9,12,69.9,21.2,63
GS3.1_94.02,GS3.1_94,606.7,15,9,9.8,10.5,69.5,21.8,62.3
GS3.1_94.03,GS3.1_94,434.7,14,8.5,10.3,11.7,65.5,24.4,68.2
GS3.1_45.01,GS3.1_45,1112.8,17.5,10.5,12.9,16.5,69.1,24,71
GS3.1_45.02,GS3.1_45,1061.1,16,11,11.7,13.8,64.4,26.5,74.3
GS3.1_45.03,GS3.1_45,897,15.5,10,13.7,15.6,68.2,24.5,68.6
GS3.1_45.04,GS3.1_45,885.9,15.5,9.5,12.1,17,67.8,22.5,69.6
GS3.1_45.05,GS3.1_45,936.6,16,9.5,12.5,15.6,67.1,22.3,65.1
GS3.1_149.01,GS3.1_149,894.5,18.5,10,12.5,17.6,66.1,24.9,72.1
GS3.1_149.02,GS3.1_149,584.9,18.5,9,13.1,15.3,61.7,28.3,73.7
GS3.1_149.03,GS3.1_149,929.2,19,10.5,12,16.5,65.9,27,74
GS3.1_149.04,GS3.1_149,912.2,19,9.5,11.2,16.6,65.7,24.7,76
GS3.1_149.05,GS3.1_149,737.6,18,9,12,17.1,65.1,26.4,75.2
GS3.1_149.06,GS3.1_149,1020.8,19.5,10.5,12,15.6,65.1,26,74.1
GS3.1_54.01,GS3.1_54,737.7,12.5,10,11.1,15,68.9,19.9,73.4
GS3.1_54.02,GS3.1_54,574.6,13,9,12.3,13.6,67.1,21.3,73
GS3.1_54.03,GS3.1_54,589.9,12,10,11,11.3,67.4,20.6,67.7
GS3.1_54.05,GS3.1_54,637.2,14,7.5,11.7,12.8,67.5,20.1,67.2
GS3.1_54.06,GS3.1_54,645,12.5,9,10.9,14.9,67.9,21.1,75.8
GS3.1_13.01,GS3.1_13,750.8,14.5,9.5,10.8,12.7,65.3,23.9,69.3
GS3.1_13.02,GS3.1_13,980.7,15.5,9.5,12.5,15.1,65.1,23.7,73.3
GS3.1_13.03,GS3.1_13,776.3,14,10.5,12.5,15.4,67.1,26.2,68
GS3.1_13.04,GS3.1_13,600.6,12.5,9.5,13.4,18.5,66.6,25,71.9
GS3.1_13.05,GS3.1_13,918.7,15.5,10,12.9,15.5,67.1,26.5,66.3
GS3.1_13.06,GS3.1_13,600.4,13.5,8.5,13.8,15.2,66.9,25.2,67.5
GS3.1_190.1,GS3.1_190,987,16,10.5,11.6,15.8,64.4,25.2,74.4
GS3.1_190.2,GS3.1_190,761.4,16.5,10,11.6,15.4,66.8,24.2,76.1
GS3.1_190.3,GS3.1_190,1391.8,18,11,11.2,14.8,69.6,24.7,78.2
GS3.1_190.4,GS3.1_190,1116.5,18,11,11.8,15.5,65.4,27,76.1
GS3.1_12.01,GS3.1_12,380.9,14.5,7,7.8,9.4,65.4,27,63.3
GS3.1_12.02,GS3.1_12,421.2,13.5,8.5,9.5,11.1,68.2,25.6,60.3
GS3.1_12.03,GS3.1_12,583,15.5,8.5,9.2,10.1,67.1,26,65.4
GS3.1_12.04,GS3.1_12,430.1,13,8.5,8.4,10.1,68.1,24.7,64.1
GS3.1_101.01,GS3.1_101,1030.3,16,11,10.4,11.1,70.4,20,71.9
GS3.1_101.02,GS3.1_101,700.3,15,9.5,9.7,12,68.9,20.2,74.9
GS3.1_101.03,GS3.1_101,869.3,16.5,9.5,10.3,11.5,67.6,22,73.3
GS3.1_101.04,GS3.1_101,847.6,14.5,10,10.9,13.5,68.9,20.6,75.1
GS3.1_101.05,GS3.1_101,745.1,15.5,9.5,11,13.3,68.3,21.7,76.8
GS3.1_101.06,GS3.1_101,1013.5,16.5,11,8.7,11.3,70.4,19.6,71.8
GS3.1_2.01,GS3.1_2,1110.9,17.5,11,10.5,12.7,64.3,24,73.7
GS3.1_2.02,GS3.1_2,1055.3,16.5,10.5,12.1,13.4,66.5,22.6,73.8
GS3.1_2.03,GS3.1_2,848.3,13.5,10.5,12.1,15.3,65.2,22.8,74
GS3.1_2.04,GS3.1_2,723.7,14,10,11,14.5,62.2,22.6,67.8
GS3.1_2.05,GS3.1_2,1011.9,14.5,10.5,10.7,13.3,65.9,23.4,74
GS3.1_2.06,GS3.1_2,727.2,15,9.5,11.8,14.6,63.7,21.8,70.7
GS3.1_186.01,GS3.1_186,1046.7,16.5,11,9.4,10.4,71.1,20.5,67.5
GS3.1_186.02,GS3.1_186,881.4,15.5,10.5,9.2,10,68.9,22.3,70.2
GS3.1_186.03,GS3.1_186,975.1,14,11.5,10.1,13.1,68.3,23.5,72.5
GS3.1_186.04,GS3.1_186,909.4,16,10.5,9.9,12.7,66.7,26,68.7
GS3.1_186.05,GS3.1_186,868.9,16.5,11,11.3,11.8,68,20.9,69.9
GS3.1_186.06,GS3.1_186,786.2,16,9.5,10.3,11.8,68.6,23.1,71.1
GS3.1_188.01,GS3.1_188,1031.3,18.5,10.5,9.5,10.5,63.8,21,66.9
GS3.1_188.02,GS3.1_188,856.6,16,10.5,10.1,12,64.8,22.9,69.6
GS3.1_188.03,GS3.1_188,741.2,14.5,9.5,10.7,12.8,66.3,25.7,70.9
GS3.1_188.04,GS3.1_188,660.2,16,9.5,10.3,11.3,65.6,23.6,70.7
GS3.1_188.05,GS3.1_188,1009.6,16.5,10.5,8.5,10.5,66.6,19.7,68.9
GS3.1_188.06,GS3.1_188,777.2,15.5,9.5,8.9,9.9,70.6,19.4,62.1
GS3.1_184.01,GS3.1_184,981,21,10,12.4,13.5,62.2,25.3,64.1
GS3.1_184.02,GS3.1_184,1213.2,24,10,12.2,14.5,65.2,25.6,68.5
GS3.1_184.03,GS3.1_184,767.7,17.5,9.5,12.7,13.9,64.2,24.7,64.5
