FruitID,Dry
GS3.1_9.01,1.53
GS3.1_9.04,1.63
GS3.1_9.02,1.5
GS3.1_9.03,1.62
GS3.1_41.01,1.12
GS3.1_120.01,1.68
GS3.1_122.06,1.38
GS3.1_65.05,1.65
GS3.1_120.04,1.62
GS3.1_120.05,2.12
GS3.1_120.03,1.56
GS3.1_4.03,1.66
GS3.1_41.04,0.97
GS3.1_122.03,1.36
GS3.1_4.05,1.4
GS3.1_4.01,1.45
GS3.1_174.01,1.46
GS3.1_4.04,1.36
GS3.1_4.06,1.26
GS3.1_122.05,1.42
GS3.1_122.04,1.84
GS3.1_41.03,1.01
GS3.1_174.03,1.53
GS3.1_174.05,1.32
GS3.1_122.02,1.31
GS3.1_174.04,1.49
GS3.1_122.01,1.45
GS3.1_41.02,1.1
GS3.1_4.02,1.27
GS3.1_174.02,1.07
GS3.1_65.02,1.46
GS3.1_65.04,1.32
GS3.1_65.01,1.14
GS3.1_120.02,1.66
GS3.1_120.06,1.45
GS3.1_65.03,1.5
GS3.1_65.06,1.41
GS3.1_47.01,1.1
GS3.1_47.03,1.12
GS3.1_47.02,1.1
GS3.1_42.02,1.46
GS3.1_6.03,1.18
GS3.1_6.02,1.22
GS3.1_42.04,1.51
GS3.1_42.05,1.39
GS3.1_42.03,1.27
GS3.1_42.06,1.32
GS3.1_6.04,0.96
GS3.1_6.06,1.09
GS3.1_63.02,1.51
GS3.1_63.05,1.95
GS3.1_6.05,1.27
GS3.1_63.04,2.05
GS3.1_6.01,1.05
GS3.1_63.03,1.87
GS3.1_63.01,1.44
GS3.1_63.06,1.43
GS3.1_182.03,1.95
GS3.1_182.06,1.41
GS3.1_139.02,1.27
GS3.1_136.02,1.26
GS3.1_139.03,1.26
GS3.1_136.03,1
GS3.1_139.01,1.25
GS3.1_136.06,1.23
GS3.1_139.05,1.46
GS3.1_42.01,1.6
GS3.1_139.04,1.29
GS3.1_136.01,1.2
GS3.1_148.03,0.93
GS3.1_148.05,0.85
GS3.1_148.02,0.88
