FruitID,Wet
GS3.1_9.04,10.44
GS3.1_9.03,10.79
GS3.1_9.02,10.17
GS3.1_9.01,10.9
GS3.1_122.02,10.1
GS3.1_174.05,9.31
GS3.1_174.03,10.37
GS3.1_174.04,9.59
GS3.1_174.02,8.76
GS3.1_122.03,10.61
GS3.1_174.01,9.04
GS3.1_4.01,9.68
GS3.1_4.05,9.98
GS3.1_122.04,11.58
GS3.1_4.02,9.52
GS3.1_4.03,10.66
GS3.1_4.06,9.25
GS3.1_122.05,8.83
GS3.1_4.04,10.15
GS3.1_122.01,10.05
GS3.1_122.06,9.34
GS3.1_41.01,9.84
GS3.1_41.04,8.95
GS3.1_41.02,10.47
GS3.1_41.03,9.13
GS3.1_65.02,10.25
GS3.1_65.03,9.63
GS3.1_65.01,11.08
GS3.1_65.04,10.91
GS3.1_65.06,9.05
GS3.1_65.05,10.72
GS3.1_120.06,9.07
GS3.1_120.02,10.26
GS3.1_120.01,10.56
GS3.1_120.03,9.89
GS3.1_120.04,10.62
GS3.1_120.05,11.31
GS3.1_42.05,10.9
GS3.1_42.04,10.41
GS3.1_47.03,10.04
GS3.1_47.02,10.06
GS3.1_42.03,10.28
GS3.1_42.02,10.7
GS3.1_42.06,9.98
GS3.1_47.01,10
GS3.1_6.04,9.65
GS3.1_6.03,9.42
GS3.1_6.06,9.11
GS3.1_6.02,10.25
GS3.1_6.05,11.16
GS3.1_6.01,9.41
GS3.1_63.04,12.04
GS3.1_63.02,10.4
GS3.1_63.05,10.15
GS3.1_63.03,10.68
GS3.1_63.06,9.13
GS3.1_63.01,9.48
GS3.1_182.02,11.54
GS3.1_182.01,10.68
GS3.1_148.06,11.54
GS3.1_148.01,11.57
GS3.1_182.05,10.22
GS3.1_182.06,10.23
GS3.1_182.04,9.65
GS3.1_182.03,12.13
GS3.1_136.04,9.6
GS3.1_136.05,11.16
GS3.1_139.03,9.95
GS3.1_136.03,9.19
GS3.1_136.02,9.86
GS3.1_139.02,10
GS3.1_139.01,10.37
GS3.1_136.06,10.39
GS3.1_136.01,9.94
GS3.1_139.04,10.85
GS3.1_139.05,11.38
GS3.1_42.01,11.07
GS3.1_148.05,10.89
GS3.1_148.03,11.2
GS3.1_148.02,10.16
GS3.1_148.04,11.53
GS3.1_38.01,9.67
GS3.1_38.02,11.67
GS3.1_38.03,10.99
GS3.1_134.02,9.88
GS3.1_99.03,10.66
GS3.1_134.01,9.77
GS3.1_39.04,9.85
GS3.1_134.03,9.92
GS3.1_99.04,9.24
GS3.1_127.01,9.59
GS3.1_134.04,9.29
GS3.1_127.02,9.07
GS3.1_39.02,10.79
GS3.1_38.04,9.24
GS3.1_99.01,9.25
GS3.1_39.01,9.96
GS3.1_39.03,9.01
GS3.1_99.02,10.53
GS3.1_127.03,9.56
GS3.1_43.03,9.18
GS3.1_43.02,8.5
GS3.1_43.01,10.47
GS3.1_112.02,11.46
GS3.1_36.05,10.22
GS3.1_112.03,9.66
GS3.1_36.06,10.43
GS3.1_112.04,10.92
GS3.1_90.01,10.51
GS3.1_36.03,10.17
GS3.1_112.05,8.57
GS3.1_90.02,10.49
GS3.1_36.04,10.55
GS3.1_112.01,10.26
GS3.1_112.06,10.64
GS3.1_3.05,10.1
GS3.1_3.04,10.23
GS3.1_3.06,10.58
GS3.1_3.01,10.17
GS3.1_3.03,10.87
GS3.1_3.02,10.28
GS3.1_1.01,11.03
GS3.1_1.02,10.46
GS3.1_1.03,10.9
GS3.1_113.03,10.73
GS3.1_113.02,10.07
GS3.1_1.04,10.12
GS3.1_113.01,10.2
GS3.1_113.04,10.16
GS3.1_113.05,10.15
GS3.1_36.02,10.49
GS3.1_113.06,10.43
GS3.1_36.01,10.53
GS3.1_149.01,11.88
GS3.1_145.02,10.28
GS3.1_95.02,11.83
GS3.1_145.03,11.48
GS3.1_145.04,11.8
GS3.1_95.01,11.44
GS3.1_88.01,11.57
GS3.1_145.05,11.18
GS3.1_88.02,11.59
GS3.1_145.01,11.88
GS3.1_88.04,10.95
GS3.1_88.06,11.42
GS3.1_145.06,10.54
GS3.1_88.05,11.79
GS3.1_149.03,11.09
GS3.1_149.02,10.81
GS3.1_88.03,11.33
GS3.1_94.03,10.83
GS3.1_94.02,11.52
GS3.1_45.05,10.73
GS3.1_45.01,11.9
GS3.1_94.01,11.23
GS3.1_149.05,11
GS3.1_45.02,11.51
GS3.1_149.06,11.62
GS3.1_149.04,11.61
GS3.1_45.03,11.25
GS3.1_37.01,11.89
GS3.1_37.02,11.7
GS3.1_45.04,11.19
GS3.1_37.03,11.7
GS3.1_54.02,7.78
GS3.1_54.03,9.3
GS3.1_54.01,9.88
GS3.1_54.05,10.18
GS3.1_54.06,9.75
GS3.1_190.1,9.51
GS3.1_54.04,9.59
GS3.1_12.01,9.81
GS3.1_190.2,9.89
GS3.1_190.3,10.64
GS3.1_190.4,10.53
GS3.1_12.04,11.67
GS3.1_12.03,9.47
GS3.1_12.02,9.26
GS3.1_101.03,10.47
GS3.1_13.01,9.61
GS3.1_13.03,10
GS3.1_13.05,9.74
GS3.1_13.06,9.9
