Gid,TotalFrtCt,TotalWtKg
GS3.1_69,32,23.1
GS3.1_30,15,17
GS3.1_83,15,13.3
GS3.1_155,9,7.75
GS3.1_62,19,19.1
GS3.1_81,15,14
GS3.1_156,6,6.4
GS3.1_166,21,17.8
GS3.1_51,21,13.81
GS3.1_102,23,14.9
GS3.1_170,18,16
GS3.1_21,28,20.9
GS3.1_154,20,14.7
GS3.1_24,18,16.85
GS3.1_164,17,13.1
GS3.1_86,13,11.55
GS3.1_100,15,13.15
GS3.1_46,16,10.35
GS3.1_17,15,10.81
GS3.1_77,11,11.5
GS3.1_180,22,20.5
GS3.1_167,14,13.2
GS3.1_110,11,9.35
GS3.1_54,25,16.3
GS3.1_190,12,12.9
GS3.1_45,16,16.25
GS3.1_101,16,13.6
GS3.1_37,15,16.8
GS3.1_2,15,13.4
GS3.1_88,23,20.81
GS3.1_184,19,19.25
GS3.1_28,18,13.6
GS3.1_70,27,18.05
GS3.1_149,12,9.95
GS3.1_94,23,17.3
GS3.1_145,30,21.45
GS3.1_163,14,11.1
GS3.1_52,17,14.85
GS3.1_34,22,17.4
GS3.1_82,11,11.1
GS3.1_19,18,10.8
GS3.1_157,15,18.75
GS3.1_150,16,11.45
GS3.1_146,15,10.7
GS3.1_26,16,10.8
GS3.1_161,15,12.65
GS3.1_84,16,12.05
GS3.1_174,16,14.9
GS3.1_139,16,10.25
GS3.1_42,12,13.15
GS3.1_4,20,16.35
GS3.1_63,26,23.1
GS3.1_182,16,12.85
GS3.1_148,22,12.1
GS3.1_136,21,18.8
GS3.1_188,19,17.3
GS3.1_122,20,13.35
GS3.1_49,32,24.75
GS3.1_6,18,17
GS3.1_47,28,25.25
GS3.1_120,29,26.1
GS3.1_9,17,15.1
GS3.1_89,12,13.95
GS3.1_151,18,17
GS3.1_92,18,14.3
GS3.1_153,14,8.15
GS3.1_177,14,11
GS3.1_103,18,13.2
GS3.1_85,20,21
GS3.1_32,13,14.25
GS3.1_178,18,18.7
GS3.1_123,18,12.55
GS3.1_179,15,15.15
GS3.1_189,12,11.8
GS3.1_53,22,13.1
GS3.1_40,28,23.85
GS3.1_140,17,12.65
GS3.1_141,9,10.4
GS3.1_108,11,9.45
GS3.1_59,21,16.85
GS3.1_171,25,21.3
GS3.1_96,18,14.05
GS3.1_98,15,12.25
GS3.1_73,34,20.3
GS3.1_158,19,18.35
GS3.1_57,19,14.35
GS3.1_27,18,14.7
GS3.1_16,16,12.95
GS3.1_31,23,16.7
GS3.1_55,14,11.45
GS3.1_109,15,15.05
GS3.1_116,10,6.4
GS3.1_192,14,15.65
GS3.1_147,11,8.85
GS3.1_119,11,10.05
GS3.1_25,27,20.65
GS3.1_87,17,11.85
GS3.1_8,13,15.55
GS3.1_11,15,11.8
GS3.1_185,13,12.1
GS3.1_79,14,11.55
GS3.1_106,22,14.3
GS3.1_5,9,7.45
GS3.1_15,22,16.2
GS3.1_60,19,15.6
GS3.1_137,14,14.35
GS3.1_165,17,11.85
GS3.1_78,17,13.5
GS3.1_71,8,6.05
GS3.1_29,21,17.7
GS3.1_20,22,18.35
GS3.1_105,20,15
GS3.1_117,17,13.3
GS3.1_138,12,9.7
GS3.1_111,14,10.7
GS3.1_97,12,12.5
GS3.1_23,11,7.1
GS3.1_48,16,13.35
GS3.1_160,12,12.2
GS3.1_58,20,14.15
GS3.1_80,24,21.8
GS3.1_169,16,10.7
GS3.1_168,19,17.6
GS3.1_107,17,15.75
GS3.1_135,26,11.8
GS3.1_66,11,9.25
GS3.1_124,21,14.9
GS3.1_172,20,16.4
GS3.1_131,20,12.85
GS3.1_114,14,14.9
GS3.1_64,17,17.7
GS3.1_118,16,14.1
GS3.1_187,17,15.15
GS3.1_93,23,16.85
GS3.1_133,26,21.05
GS3.1_183,17,8.15
GS3.1_181,23,19.65
GS3.1_56,17,16.95
GS3.1_130,26,22.3
GS3.1_125,24,17.35
GS3.1_176,26,21.5
GS3.1_128,21,15.95
GS3.1_67,21,18.5
GS3.1_115,20,19.15
GS3.1_129,5,3.1
GS3.1_14,16,12.65
GS3.1_191,14,16.1
GS3.1_10,24,18.05
GS3.1_18,24,22.95
GS3.1_159,22,16.4
GS3.1_33,18,13.3
GS3.1_22,21,23.7
GS3.1_152,15,15.75
GS3.1_50,15,16.9
GS3.1_144,9,8
GS3.1_162,14,13.7
GS3.1_61,17,17.25
GS3.1_75,25,21.45
GS3.1_74,12,10.15
GS3.1_76,24,18.05
GS3.1_91,15,10.95
GS3.1_44,13,11.2
GS3.1_35,25,27.25
GS3.1_142,7,6.2
GS3.1_126,17,13.85
GS3.1_132,18,15.95
GS3.1_121,13,8.8
GS3.1_7,29,28.5
GS3.1_175,24,19.1
GS3.1_65,21,13.85
GS3.1_41,12,11.45
