"EntryID","Skin","Weight","Length","Width","X","Y","Z"
"17-184_1B.01","B",601.2,14,9,52.859,49.608,9.154
"17-184_1B.02","B",677.7,15,9,49.584,48.036,9.234
"17-184_1B.03","B",762.9,17,8.5,50.696,49.032,10.374
"17-184_1B.04","B",271.3,12,7.5,55.691,53.528,12.189
"17-184_1B.05","B",171.1,10.5,6,51.738,51.104,13.535
"17-187_1-1B.01","H",636.2,14,9.5,44.057,38.665,4.97
"17-187_1-1B.02","H",677.6,13,10,47.606,42.506,6.499
"17-187_1-1B.03","B",823.7,17,10,41.942,36.834,4.224
"17-187_1-1B.04","H",843.7,16.5,10,42.555,38.229,6.257
"17-187_1-1B.05","H",566,15.5,8,41.322,35.161,4.61
"17-187_1-1B.06","B",575.9,14,9,43.552,39.397,5.318
"17-187_1-1B.07","H",579.1,12.5,8.5,45.945,40.77,6.347
"17-187_1-1B.08","H",813,14.5,10,46.367,41.436,5.612
"17-187_1-1B.09","B",198.8,9.5,6.5,47.344,43.745,9.352
"17-187_1-1B.10","H",599.4,13.5,9.5,45.936,40.846,5.333
"17-187_1-1B.11","H",685.3,14,9.5,42.753,37.154,4.343
"17-187_1-1B.12","H",736.6,17,10,40.888,34.7,4.952
"17-187_1-1B.13","H",781.4,15.5,10.5,44.945,39.358,5.733
"17-187_1-1B.14","H",577.7,18.5,9,41.863,36.147,3.724
"17-187_1-1B.15","H",414.3,15.5,9,44.438,39.763,4.906
"17-187_1-1B.16","H",1023.3,16,11,44.803,39.798,5.003
"17-187_1-1B.17","H",780.2,17,9,43.174,38.089,4.047
"17-187_1-1B.18","H",774.1,15.5,9.5,42.152,37.231,5.385
"17-187_1-1B.19","H",591.7,19,9,40.97,35.242,3.446
"17-187_1-1B.20","H",633.4,15,9,43.088,38.18,4.644
"17-187_1-1B.21","B",455.6,13,7.5,47.306,42.821,6.985
"17-187_1-1B.22","H",330.7,13.5,8,43.532,37.954,6.762
"17-187_1-1B.23","H",435.9,14.5,8,43.742,38.699,5.627
"17-187_1-1B.24","H",618.8,14.5,10,42.588,36.82,3.669
"17-180_1-2B.01","B",812.4,16,10,44.586,39.686,6.463
"17-180_1-2B.02","H",421.9,15,8,44.592,39.118,6.97
"17-180_1-2B.03","H",591.8,14.5,8,48.185,45.096,8.228
"17-180_1-2B.04","H",452.4,12,8,48.137,44.649,9.031
"17-180_1-2B.05","H",355.8,13,7,48.438,44.839,8.195
"17-180_1-2B.06","H",919.2,16.5,9,42.275,35.543,3.984
"17-180_1-2B.07","H",552,15,8.5,42.482,37.209,6.817
"17-180_1-2B.08","H",357.5,13.5,7.5,45.109,40.318,6.598
"17-180_1-2B.09","H",679.7,15.5,8.5,40.091,33.888,4.336
"17-180_1-2B.10","B",433.4,15.5,8.5,43.042,37.048,5.467
"17-180_1-2B.11","B",488,14.5,8.5,45.23,40.209,6.651
"17-180_1-2B.12","B",653.3,15,9,45.735,40.01,5.959
"17-180_1-2B.13","H",621.4,14,8.5,47.402,41.166,5.197
"17-180_1-2B.14","H",556.6,15.5,9,44.26,38.685,6.922
"17-180_1-2B.15","H",760.3,16.5,9,46.24,39.775,4.47
"17-180_1-2B.16","H",512.2,14.5,9,47.491,42.556,6.61
"17-180_1-2B.17","H",572.9,14.5,9,47.522,43.175,8.837
"17-180_1-2B.18","H",675.8,14,9,43.017,36.309,5.537
"17-180_1-2B.19","H",756.8,16,9.5,46.547,41.405,5.741
"17-180_1-2B.20","B",475.5,14.5,8.5,40.622,35.023,4.853
"17-180_1-2B.21","B",753.4,15,9,42.828,37.309,5.218
"17-180_1-2B.22","B",451.6,15.5,8.5,43.594,37.913,5.721
"17-180_1-2B.23","H",577.8,16,8.5,42.171,37.071,7.369
"17-180_1-2B.24","H",439.7,13.5,8.5,48.623,44.934,9.985
"17-180_1-2B.25","H",478.9,15,8,42.463,37.344,5.819
"17-180_1-1B.01","H",329.3,12,7.5,42.296,36.877,4.898
