FruitID,Dry
GS3_31.2,2.42
GS3_55.8,1.8
GS3_30.7,1.6
GS3_31.1,2.37
GS3_9.1,1.66
GS3_9.3,1.87
GS3_31.5,2.37
GS3_30.1,2.47
GS3_30.3,2.39
GS3_31.6,2.66
GS3_31.4,2.63
GS3_30.10,1.84
GS3_30.5,2.6
GS3_31.3,2.78
GS3_14.7,1.56
GS3_30.4,2.19
GS3_30.8,2.05
GS3_30.2,1.92
GS3_2.4,2
GS3_30.9,1.9
GS3_30.6,2.16
GS3_2.8,1.89
GS3_14.4,1.76
GS3_55.2,1.6
GS3_55.9,1.72
GS3_76.4,1.86
GS3_76.3,1.87
GS3_2.5,1.38
GS3_14.5,1.45
GS3_2.6,1.68
GS3_2.1,1.4
GS3_2.3,1.45
GS3_2.7,1.9
GS3_14.6,1.83
GS3_55.4,1.58
GS3_2.2,1.49
GS3_14.8,1.39
GS3_29.1,1.38
GS3_76.5,1.4
GS3_29.2,1.15
GS3_14.1,2.08
GS3_76.10,1.7
GS3_76.8,1.88
GS3_76.7,1.43
GS3_76.6,2
GS3_76.9,1.77
GS3_14.3,1.97
GS3_2.10,1.84
GS3_14.2,1.91
GS3_14.10,2.13
GS3_55.10,1.55
GS3_76.2,2.19
GS3_29.5,1.34
GS3_55.5,1.58
GS3_14.9,1.69
GS3_19.3,1.97
GS3_55.6,1.83
GS3_29.3,1.35
GS3_8.3,1.6
GS3_29.8,1.4
GS3_19.1,2.09
GS3_8.5,1.97
GS3_55.1,1.63
GS3_2.9,1.5
GS3_19.4,1.62
GS3_8.1,2.04
GS3_29.7,1.19
GS3_55.7,1.38
GS3_29.4,1.27
GS3_19.2,1.57
GS3_29.6,1.73
GS3_8.2,1.67
GS3_29.10,1.62
GS3_29.9,1.53
GS3_55.3,1.53
GS3_8.4,1.64
GS3_9.10,1.65
GS3_25.6,1.8
GS3_25.1,1.5
GS3_25.8,1.64
GS3_25.7,1.66
GS3_9.9,1.86
GS3_9.6,2
GS3_9.7,2.33
GS3_9.8,1.89
GS3_25.2,1.73
GS3_25.5,1.79
GS3_25.3,1.65
GS3_25.10,1.6
GS3_9.5,1.68
GS3_25.9,2.22
GS3_25.4,2.17
GS3_9.4,1.53
GS3_9.2,1.65
GS3_17.7,1.33
GS3_37.7,2.28
GS3_37.6,2.05
GS3_37.4,2.11
GS3_16.6,1.74
GS3_37.5,2.53
GS3_40.1,1.62
GS3_169.8,1.79
GS3_79.3,1.86
GS3_169.1,1.54
