Plant,gid,Brix,Dry_matter,a,Time_processed
GS1_1.01,GS1_1,13.3,17.8723404255,32.5694118685,5
GS1_1.02,GS1_1,10.7,15.46875,26.4906323005,5
GS1_1.03,GS1_1,12.8,20.3533568905,32.139784854,5
GS1_1.04,GS1_1,12,15.9604519774,31.7655612231,5
GS1_1.05,GS1_1,13,22.6720647773,30.5870135095,5
GS1_1.06,GS1_1,12.8,17.5591531756,34.6860823731,5
GS1_2.01,GS1_2,10.7,15.3649167734,25.7173558096,9
GS1_2.02,GS1_2,12,15.5161881491,25.8957239916,9
GS1_2.03,GS1_2,11,15.1307596513,26.3093043114,9
GS1_2.04,GS1_2,12.4,15.1515151515,25.3904932692,9
GS1_2.05,GS1_2,12.8,19.4278903456,27.1389647118,9
GS1_2.06,GS1_2,12,15.0187734668,29.3588233758,9
GS1_3.01,GS1_3,11.3,14.519293656,28.1036974052,11
GS1_3.02,GS1_3,11.9,16.6146158651,26.5718076234,11
GS1_3.03,GS1_3,12.2,14.2392717815,30.299502091,11
GS1_3.04,GS1_3,12.3,16.3265306122,32.333714682,11
GS1_3.05,GS1_3,13.2,20.8274894811,27.57919658,11
GS1_3.06,GS1_3,12,15.9214092141,27.9790785334,11
GS1_4.01,GS1_4,12.2,18.1818181818,27.1919181679,5
GS1_4.02,GS1_4,11.6,16.5542611895,26.3666298601,5
GS1_4.03,GS1_4,7.8,11.6534472239,25.4390956052,5
GS1_4.04,GS1_4,11.8,14.4040790312,25.3041720695,5
GS1_4.05,GS1_4,11.2,14.4429160935,26.380862988,5
GS1_4.06,GS1_4,10.5,13.4591194969,25.4171051815,5
GS1_5.01,GS1_5,11.4,19.6169088507,24.9992364496,7
GS1_5.02,GS1_5,13.3,20.2380952381,25.9352193241,7
GS1_5.03,GS1_5,10.2,14.3861892583,28.2909778888,7
GS1_5.04,GS1_5,12.8,15.5852417303,28.5201223259,7
GS1_5.05,GS1_5,11,15.5263157895,27.6783878783,7
GS1_5.06,GS1_5,11.4,13.963963964,30.2157114274,7
GS1_6.01,GS1_6,11,13.3648728563,23.9806984604,6
GS1_6.02,GS1_6,10,12.6557377049,26.2751117053,6
GS1_6.03,GS1_6,11.8,16.4606376057,26.4845823947,6
GS1_6.04,GS1_6,10.1,14.4466534129,25.2338148979,6
GS1_6.05,GS1_6,11,16.2866449511,26.9584778188,6
