"rowSums(GS3.1_asreml_predictions[, 2:4])"	"gid"
3.02482530458786	"GS3.1_51"
2.57789658312269	"GS3.1_160"
2.50447504406822	"GS3.1_107"
2.45757395223496	"GS3.1_74"
2.38351414660624	"GS3.1_155"
2.21807598499037	"GS3.1_60"
2.20108085058645	"GS3.1_148"
2.14489834133149	"GS3.1_90"
2.08708337517588	"GS3.1_100"
2.01028354155897	"GS3.1_46"
1.99928730901052	"GS3.1_41"
1.89111280586496	"GS3.1_45"
1.8902150029452	"GS3.1_153"
1.82878369974678	"GS3.1_13"
1.82683811206456	"GS3.1_132"
1.82594603938419	"GS3.1_59"
1.81688944837482	"GS3.1_19"
1.7865004020511	"GS3.1_56"
1.7808283015946	"GS3.1_53"
1.76978687443652	"GS3.1_62"
