GID,P1,P2
GS1_1,NA,NA
GS1_2,NA,NA
GS1_3,NA,NA
GS1_4,NA,NA
GS1_5,NA,NA
GS1_6,NA,NA
GS1_7,NA,NA
GS1_8,NA,NA
GS1_9,NA,NA
GS1_10,NA,NA
GS1_11,NA,NA
GS1_12,NA,NA
GS1_13,NA,NA
GS1_14,NA,NA
GS1_15,NA,NA
GS1_16,NA,NA
GS1_17,NA,NA
GS1_18,NA,NA
GS1_19,NA,NA
GS1_20,NA,NA
GS1_21,NA,NA
GS1_22,NA,NA
GS1_23,NA,NA
GS1_24,NA,NA
GS1_25,NA,NA
GS1_26,NA,NA
GS1_27,NA,NA
GS1_28,NA,NA
GS1_29,NA,NA
GS1_30,NA,NA
GS1_31,NA,NA
GS1_32,NA,NA
GS1_33,NA,NA
GS1_34,NA,NA
GS1_35,NA,NA
GS1_36,NA,NA
GS1_37,NA,NA
GS1_38,NA,NA
GS1_39,NA,NA
GS1_40,NA,NA
GS1_41,NA,NA
GS1_42,NA,NA
GS1_43,NA,NA
GS1_44,NA,NA
GS1_45,NA,NA
GS1_46,NA,NA
GS1_47,NA,NA
GS1_48,NA,NA
GS1_49,NA,NA
GS1_50,NA,NA
GS1_51,NA,NA
GS1_52,NA,NA
GS1_53,NA,NA
GS1_54,NA,NA
GS1_55,NA,NA
GS1_56,NA,NA
GS1_57,NA,NA
GS1_58,NA,NA
GS1_59,NA,NA
GS1_60,NA,NA
GS1_61,NA,NA
GS1_62,NA,NA
GS1_63,NA,NA
GS1_64,NA,NA
GS1_65,NA,NA
GS1_66,NA,NA
GS1_67,NA,NA
GS1_68,NA,NA
GS1_69,NA,NA
GS1_70,NA,NA
GS1_71,NA,NA
GS1_72,NA,NA
GS1_73,NA,NA
GS1_74,NA,NA
GS1_75,NA,NA
GS1_76,NA,NA
GS1_77,NA,NA
GS1_78,NA,NA
GS1_79,NA,NA
GS1_80,NA,NA
GS1_81,NA,NA
GS1_82,NA,NA
GS1_83,NA,NA
GS1_84,NA,NA
GS1_85,NA,NA
GS1_86,NA,NA
GS1_87,NA,NA
GS1_88,NA,NA
GS1_89,NA,NA
GS1_90,NA,NA
GS1_91,NA,NA
GS1_92,NA,NA
GS1_93,NA,NA
GS1_94,NA,NA
GS1_95,NA,NA
GS1_96,NA,NA
GS1_97,NA,NA
GS1_98,NA,NA
GS1_99,NA,NA
GS1_100,NA,NA
GS1_101,NA,NA
GS1_102,NA,NA
GS1_103,NA,NA
GS1_104,NA,NA
GS1_105,NA,NA
GS1_106,NA,NA
GS1_107,NA,NA
GS1_108,NA,NA
GS1_109,NA,NA
GS1_110,NA,NA
GS1_111,NA,NA
GS1_112,NA,NA
GS1_113,NA,NA
GS1_114,NA,NA
GS1_115,NA,NA
GS1_116,NA,NA
GS1_117,NA,NA
GS1_118,NA,NA
GS1_119,NA,NA
GS1_120,NA,NA
GS1_121,NA,NA
GS1_122,NA,NA
GS1_123,NA,NA
GS1_124,NA,NA
GS1_125,NA,NA
GS1_126,NA,NA
GS1_127,NA,NA
GS1_128,NA,NA
GS1_129,NA,NA
GS1_130,NA,NA
GS1_131,NA,NA
GS1_132,NA,NA
GS1_133,NA,NA
GS1_134,NA,NA
GS1_135,NA,NA
GS1_136,NA,NA
GS1_137,NA,NA
GS1_138,NA,NA
GS1_139,NA,NA
GS1_140,NA,NA
GS1_141,NA,NA
GS1_142,NA,NA
GS1_143,NA,NA
GS1_144,NA,NA
GS1_145,NA,NA
GS1_146,NA,NA
GS1_147,NA,NA
GS1_148,NA,NA
GS1_149,NA,NA
GS1_150,NA,NA
GS1_151,NA,NA
GS1_152,NA,NA
GS1_153,NA,NA
GS1_154,NA,NA
GS1_155,NA,NA
GS1_156,NA,NA
GS1_157,NA,NA
GS1_158,NA,NA
GS1_159,NA,NA
GS1_160,NA,NA
GS1_161,NA,NA
GS1_162,NA,NA
GS1_163,NA,NA
GS1_164,NA,NA
GS1_165,NA,NA
GS1_166,NA,NA
GS1_167,NA,NA
GS1_168,NA,NA
GS1_169,NA,NA
GS1_170,NA,NA
GS1_171,NA,NA
GS1_172,NA,NA
GS1_173,NA,NA
GS1_174,NA,NA
GS1_175,NA,NA
GS1_176,NA,NA
GS1_177,NA,NA
GS1_178,NA,NA
GS1_179,NA,NA
GS1_180,NA,NA
GS1_181,NA,NA
GS1_182,NA,NA
GS1_183,NA,NA
GS1_184,NA,NA
GS1_185,NA,NA
GS1_186,NA,NA
GS1_187,NA,NA
GS1_188,NA,NA
GS1_189,NA,NA
GS2.1_1,GS1_96,NA
GS2.1_2,GS1_28,NA
GS2.1_3,GS1_9,NA
GS2.1_4,GS1_71,NA
GS2.1_5,GS1_13,NA
GS2.1_6,GS1_9,NA
GS2.1_7,GS1_28,NA
GS2.1_8,GS1_89,NA
GS2.1_9,GS1_71,NA
GS2.1_10,GS1_167,NA
GS2.1_11,GS1_54,NA
GS2.1_12,GS1_42,NA
GS2.1_13,GS1_167,NA
GS2.1_14,GS1_97,NA
GS2.1_15,GS1_140,NA
GS2.1_16,GS1_96,NA
GS2.1_17,GS1_26,NA
GS2.1_18,GS1_179,NA
GS2.1_19,GS1_179,NA
GS2.1_20,GS1_96,NA
GS2.1_21,GS1_56,NA
GS2.1_22,GS1_54,NA
GS2.1_23,GS1_54,NA
GS2.1_24,GS1_13,NA
GS2.1_25,GS1_42,NA
GS2.1_26,GS1_101,NA
GS2.1_27,GS1_89,NA
GS2.1_28,GS1_179,NA
GS2.1_29,GS1_140,NA
GS2.1_30,GS1_28,NA
GS2.1_31,GS1_101,NA
GS2.1_32,GS1_26,NA
GS2.1_33,GS1_91,NA
GS2.1_34,GS1_101,NA
GS2.1_35,GS1_28,NA
GS2.1_36,GS1_71,NA
GS2.1_37,GS1_79,NA
GS2.1_38,GS1_140,NA
GS2.1_39,GS1_79,NA
GS2.1_40,GS1_56,NA
GS2.1_41,GS1_89,NA
GS2.1_42,GS1_96,NA
GS2.1_43,GS1_79,NA
GS2.1_44,GS1_69,NA
GS2.1_45,GS1_97,NA
GS2.1_46,GS1_167,NA
GS2.1_47,GS1_28,NA
GS2.1_48,GS1_26,NA
GS2.1_49,GS1_56,NA
GS2.1_50,GS1_91,NA
GS2.1_51,GS1_16,NA
GS2.1_52,GS1_56,NA
GS2.1_53,GS1_13,NA
GS2.1_54,GS1_69,NA
GS2.1_55,GS1_79,NA
GS2.1_56,GS1_26,NA
GS2.1_57,GS1_9,NA
GS2.1_58,GS1_16,NA
GS2.1_59,GS1_179,NA
GS2.1_60,GS1_56,NA
GS2.1_61,GS1_179,NA
GS2.1_62,GS1_91,NA
GS2.1_63,GS1_179,NA
GS2.1_64,GS1_16,NA
GS2.1_65,GS1_79,NA
GS2.1_66,GS1_58,NA
GS2.1_67,GS1_91,NA
GS2.1_68,GS1_13,NA
GS2.1_69,GS1_9,NA
GS2.1_70,GS1_96,NA
GS2.1_71,GS1_58,NA
GS2.1_72,GS1_69,NA
GS2.1_73,GS1_96,NA
GS2.1_74,GS1_26,NA
GS2.1_75,GS1_42,NA
GS2.1_76,GS1_96,NA
GS2.1_77,GS1_97,NA
GS2.1_78,GS1_179,NA
GS2.1_79,GS1_16,NA
GS2.1_80,GS1_101,NA
GS2.1_81,GS1_69,NA
GS2.1_82,GS1_13,NA
GS2.1_83,GS1_9,NA
GS2.1_84,GS1_89,NA
GS2.1_85,GS1_26,NA
GS2.1_86,GS1_16,NA
GS2.1_87,GS1_28,NA
GS2.1_88,GS1_54,NA
GS2.1_89,GS1_97,NA
GS2.1_90,GS1_42,NA
GS2.1_91,GS1_16,NA
GS2.1_92,GS1_58,NA
GS2.1_93,GS1_179,NA
GS2.1_94,GS1_179,NA
GS2.1_95,GS1_42,NA
GS2.1_96,GS1_42,NA
GS2.1_97,GS1_101,NA
GS2.1_98,GS1_26,NA
GS2.1_99,GS1_54,NA
GS2.1_100,GS1_56,NA
GS2.1_101,GS1_69,NA
GS2.1_102,GS1_101,NA
GS2.1_103,GS1_58,NA
GS2.1_104,GS1_13,NA
GS2.1_105,GS1_13,NA
GS2.1_106,GS1_42,NA
GS2.1_107,GS1_69,NA
GS2.1_108,GS1_69,NA
GS2.1_109,GS1_9,NA
GS2.1_110,GS1_28,NA
GS2.1_111,GS1_26,NA
GS2.1_112,GS1_28,NA
GS2.1_113,GS1_96,NA
GS2.1_114,GS1_13,NA
GS2.1_115,GS1_91,NA
GS2.1_116,GS1_28,NA
GS2.1_117,GS1_69,NA
GS2.1_118,GS1_54,NA
GS2.1_119,GS1_16,NA
GS2.1_120,GS1_58,NA
GS2.1_121,GS1_167,NA
GS2.1_122,GS1_167,NA
GS2.1_123,GS1_42,NA
GS2.1_124,GS1_54,NA
GS2.1_125,GS1_91,NA
GS2.1_126,GS1_167,NA
GS2.1_127,GS1_89,NA
GS2.1_128,GS1_16,NA
GS2.1_129,GS1_16,NA
GS2.1_130,GS1_91,NA
GS2.1_131,GS1_56,NA
GS2.1_132,GS1_101,NA
GS2.1_133,GS1_101,NA
GS2.1_134,GS1_58,NA
GS2.1_135,GS1_9,NA
GS2.1_136,GS1_140,NA
GS2.1_137,GS1_56,NA
GS2.1_138,GS1_89,NA
GS2.1_139,GS1_89,NA
GS2.1_140,GS1_28,NA
GS2.1_141,GS1_140,NA
GS2.1_142,GS1_89,NA
GS2.1_143,GS1_71,NA
GS2.1_144,GS1_91,NA
GS2.1_145,GS1_26,NA
GS2.1_146,GS1_42,NA
GS2.1_147,GS1_71,NA
GS2.1_148,GS1_54,NA
GS2.1_149,GS1_79,NA
GS2.1_150,GS1_58,NA
GS2.1_151,GS1_71,NA
GS2.1_152,GS1_179,NA
GS2.1_153,GS1_97,NA
GS2.1_154,GS1_97,NA
GS2.1_155,GS1_79,NA
GS2.1_156,GS1_89,NA
GS2.1_157,GS1_101,NA
GS2.1_158,GS1_97,NA
GS2.1_159,GS1_89,NA
GS2.1_160,GS1_58,NA
GS2.1_161,GS1_91,NA
GS2.1_162,GS1_71,NA
GS2.1_163,GS1_167,NA
GS2.1_164,GS1_9,NA
GS2.1_165,GS1_79,NA
GS2.1_166,GS1_79,NA
GS2.1_167,GS1_56,NA
GS2.1_168,GS1_13,NA
GS2.1_169,GS1_91,NA
GS2.1_170,GS1_96,NA
GS2.1_171,GS1_71,NA
GS2.1_172,GS1_71,NA
GS2.1_173,GS1_69,NA
GS2.1_174,GS1_97,NA
GS2.1_175,GS1_96,NA
GS2.1_176,GS1_167,NA
GS2.1_177,GS1_79,NA
GS2.1_178,GS1_58,NA
GS2.1_179,GS1_56,NA
GS2.1_180,GS1_26,NA
GS2.1_181,GS1_140,NA
GS2.1_182,GS1_167,NA
GS2.1_183,GS1_9,NA
GS2.1_184,GS1_101,NA
GS2.1_185,GS1_13,NA
GS2.1_186,GS1_9,NA
GS2.1_187,GS1_16,NA
GS2.1_188,GS1_69,NA
GS2.1_189,GS1_97,NA
GS2.1_190,GS1_42,NA
GS2.1_191,GS1_71,NA
GS2.1_192,GS1_140,NA
GS2.1_193,GS1_167,NA
GS2.1_194,GS1_58,NA
GS2.1_195,GS1_140,NA
GS2.1_196,GS1_140,NA
GS2.1_197,GS1_54,NA
GS2.1_198,GS1_97,NA
GS2.1_199,GS1_140,NA
GS2.1_200,GS1_54,NA
GS3.1_1,GS2.1_108,NA
GS3.1_2,GS2.1_115,NA
GS3.1_3,GS2.1_112,NA
GS3.1_4,GS2.1_115,NA
GS3.1_5,GS2.1_159,NA
GS3.1_6,GS2.1_34,NA
GS3.1_7,GS2.1_31,NA
GS3.1_8,GS2.1_41,NA
GS3.1_9,GS2.1_25,NA
GS3.1_10,GS2.1_77,NA
GS3.1_11,GS2.1_25,NA
GS3.1_12,GS2.1_152,NA
GS3.1_13,GS2.1_77,NA
GS3.1_14,GS2.1_63,NA
GS3.1_15,GS2.1_185,NA
GS3.1_16,GS2.1_72,NA
GS3.1_17,GS2.1_43,NA
